"","country","origin","system","status","url","date_recorded","sysID","imageID","statusID","matID","Date"
"245","Russia","Soviet Union","T-72B","captured","https://i.postimg.cc/bvPSDZfV/1009-t72b.jpg","2022-09-10",6,233,4,"7-62334","09/10/2022"
"318","Russia","Russia","7 T-72BA","captured","https://i.postimg.cc/hjHCk489/1014-t72ba.jpg","2022-09-10",8,302,4,"7-83024","09/10/2022"
"400","Russia","Russia","T-72B3","destroyed","https://twitter.com/RALee85/status/1568587749359513605","2022-09-10",9,383,1,"7-93831","09/10/2022"
"401","Russia","Russia","T-72B3","destroyed","https://i.postimg.cc/mhx5hGDQ/1006-t72b3.jpg","2022-09-10",9,384,1,"7-93841","09/10/2022"
"408","Russia","Russia","T-72B3","damaged","https://twitter.com/RALee85/status/1568608823421865985","2022-09-10",9,390,2,"7-93902","09/10/2022"
"475","Russia","Russia","T-72B3","captured","https://i.postimg.cc/3RFfpFjq/1014-t72b3.jpg","2022-09-10",9,449,4,"7-94494","09/10/2022"
"543","Russia","Russia","T-72B3 Obr. 2016","destroyed","https://twitter.com/UAWeapons/status/1568644104724090881","2022-09-10",10,513,1,"7-105131","09/10/2022"
"621","Russia","Russia","T-72B3 Obr. 2016","captured","https://twitter.com/UAWeapons/status/1568578522125303814","2022-09-10",10,581,4,"7-105814","09/10/2022"
"622","Russia","Russia","T-72B3 Obr. 2016","captured","https://i.postimg.cc/c1Vxfgtc/1005-t72b3m.png","2022-09-10",10,582,4,"7-105824","09/10/2022"
"658","Russia","Soviet Union","48 Unknown T-72","damaged","https://twitter.com/UAWeapons/status/1568696183836577798","2022-09-10",11,617,2,"7-116172","09/10/2022"
"659","Russia","Soviet Union","48 Unknown T-72","captured","https://i.postimg.cc/wx0H0JpY/1019-unkn-t72.jpg","2022-09-10",11,618,4,"7-116184","09/10/2022"
"834","Russia","Russia","36 T-80BVM","destroyed","https://twitter.com/UAWeapons/status/1568644104724090881","2022-09-10",18,513,1,"7-185131","09/10/2022"
"1233","Russia","Soviet Union","MT-LB","captured","https://i.postimg.cc/hj8F3KDf/1025-mtlb.jpg","2022-09-10",24,1156,4,"7-2411564","09/10/2022"
"1520","Russia","Russia","Unknown AFV","destroyed","https://twitter.com/UAWeapons/status/1568691333405249539","2022-09-10",35,1431,1,"7-3514311","09/10/2022"
"1661","Russia","Soviet Union","137 BMP-1(P)","captured","https://i.postimg.cc/pLTnN0j2/1001-bmp1.jpg","2022-09-10",36,1557,4,"7-3615574","09/10/2022"
"1662","Russia","Soviet Union","137 BMP-1(P)","captured","https://i.postimg.cc/bwkF47Zn/1014-bmp2.jpg","2022-09-10",36,1558,4,"7-3615584","09/10/2022"
"1663","Russia","Soviet Union","137 BMP-1(P)","captured","https://i.postimg.cc/PqwnYm0b/1024-bmp1.jpg","2022-09-10",36,1559,4,"7-3615594","09/10/2022"
"1664","Russia","Soviet Union","137 BMP-1(P)","captured","https://i.postimg.cc/ZnJGGXnj/1026-bmp1.jpg","2022-09-10",36,1560,4,"7-3615604","09/10/2022"
"1929","Russia","Soviet Union","BMP-2(K)","destroyed","https://i.postimg.cc/TPdLB7x0/1007-bmp2.jpg","2022-09-10",38,1815,1,"7-3818151","09/10/2022"
"2075","Russia","Soviet Union","BMP-2(K)","captured","https://twitter.com/UAWeapons/status/1568342410043826177","2022-09-10",38,1934,4,"7-3819344","09/10/2022"
"2076","Russia","Soviet Union","BMP-2(K)","captured","https://i.postimg.cc/MHn95Nkv/1017-bmp2.jpg","2022-09-10",38,1935,4,"7-3819354","09/10/2022"
"2077","Russia","Soviet Union","BMP-2(K)","captured","https://i.postimg.cc/6pGXWmGB/1020-bmp2.jpg","2022-09-10",38,1936,4,"7-3819364","09/10/2022"
"2078","Russia","Soviet Union","BMP-2(K)","captured","https://i.postimg.cc/mk24TZ7n/1024-bmp2.jpg","2022-09-10",38,1937,4,"7-3819374","09/10/2022"
"2079","Russia","Soviet Union","BMP-2(K)","captured","https://i.postimg.cc/L8VmdxCy/1000-bmp2.png","2022-09-10",38,1938,4,"7-3819384","09/10/2022"
"2080","Russia","Soviet Union","BMP-2(K)","captured","https://i.postimg.cc/9FnyQgwf/1015-bmp2.jpg","2022-09-10",38,1939,4,"7-3819394","09/10/2022"
"2217","Russia","Russia","BMP-3","destroyed","https://i.postimg.cc/DwZCNtKv/1006-bmp3.jpg","2022-09-10",42,2069,1,"7-4220691","09/10/2022"
"2279","Russia","Russia","BMP-3","captured","https://twitter.com/UAWeapons/status/1568649942113337345","2022-09-10",42,2124,4,"7-4221244","09/10/2022"
