"","country","origin","system","status","url","sysID","imageID","statusID","matID","Date"
"3","Russia","Soviet Union","T-64BV","captured","https://i.postimg.cc/VL4dSdk8/32133.png",1,3,2,"7-132","2022-03-14"
"4","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/Prr1LXqZ/58.png",2,4,3,"7-243","2022-03-14"
"5","Russia","Soviet Union","T-72A","destroyed","https://i.postimg.cc/mrQPXJDB/e1.png",2,5,3,"7-253","2022-03-14"
"10","Russia","Soviet Union","T-72A","captured","https://i.postimg.cc/8zcL9Jbz/40.png",2,10,2,"7-2102","2022-03-14"
"13","Russia","Soviet Union","T-72AV","captured","https://i.postimg.cc/Y0ZfvWm2/d67.png",3,13,2,"7-3132","2022-03-14"
"23","Russia","Soviet Union","T-72B","damaged","https://i.postimg.cc/HLqxBrSK/4fa.png",4,22,1,"7-4221","2022-03-14"
"44","Russia","Soviet Union","T-72B","captured","https://i.postimg.cc/y8Cgm71v/366.png",4,41,2,"7-4412","2022-03-14"
"48","Russia","Soviet Union","T-72B","captured","https://i.postimg.cc/rmsL0R73/4f1.png",4,45,2,"7-4452","2022-03-14"
"51","Russia","Soviet Union","T-72B","captured","https://i.postimg.cc/Kcs8NxNt/5h.png",4,47,2,"7-4472","2022-03-14"
"61","Russia","Russia","T-72B3","destroyed","https://i.postimg.cc/htc1rXFj/d31.png",6,57,3,"7-6573","2022-03-14"
"66","Russia","Russia","T-72B3","abandoned","https://i.postimg.cc/sDXVZcxD/d31.png",6,62,4,"7-6624","2022-03-14"
"122","Russia","Russia","T-72B3 Obr. 2016","captured","https://i.postimg.cc/L4CtS5dJ/52.png",7,115,2,"7-71152","2022-03-14"
"123","Russia","Russia","T-72B3 Obr. 2016","captured","https://i.postimg.cc/FzV5CVy1/435.png",7,116,2,"7-71162","2022-03-14"
"170","Russia","Russia","T-80U","captured","https://i.postimg.cc/nc7CpXxk/4y8.png",9,160,2,"7-91602","2022-03-14"
"176","Russia","Russia","T-80BVM","destroyed","https://i.postimg.cc/N0gj4tCc/4315.png",11,165,3,"7-111653","2022-03-14"
"186","Russia","Russia","T-80BVM","captured","https://i.postimg.cc/NMNZPpZN/gl.png",11,175,2,"7-111752","2022-03-14"
"208","Russia","Russia","Unknown tank","destroyed","https://i.postimg.cc/vHgrmVJg/4g.png",13,195,3,"7-131953","2022-03-14"
"209","Russia","Russia","Unknown tank","destroyed","https://i.postimg.cc/mkVQqZYG/578.png",13,196,3,"7-131963","2022-03-14"
"228","Russia","Soviet Union","MT-LB","destroyed","https://i.postimg.cc/prBcbgMK/4131.png",16,215,3,"7-162153","2022-03-14"
"229","Russia","Soviet Union","MT-LB","destroyed","https://i.postimg.cc/gJ24TR94/457.png",16,216,3,"7-162163","2022-03-14"
"230","Russia","Soviet Union","MT-LB","destroyed","https://i.postimg.cc/kg4dJZ3y/23.png",16,217,3,"7-162173","2022-03-14"
"243","Russia","Soviet Union","MT-LB","abandoned","https://i.postimg.cc/44Pdb9wn/48.png",16,229,4,"7-162294","2022-03-14"
"278","Russia","Soviet Union","MT-LB","captured","https://i.postimg.cc/XYqqkLzv/549.png",16,264,2,"7-162642","2022-03-14"
"279","Russia","Soviet Union","MT-LB","captured","https://i.postimg.cc/R08pWBP4/4f13.png",16,265,2,"7-162652","2022-03-14"
"280","Russia","Soviet Union","MT-LB","captured","https://i.postimg.cc/zBV1Nswm/4178.png",16,266,2,"7-162662","2022-03-14"
"281","Russia","Soviet Union","MT-LB","captured","https://i.postimg.cc/YS5g7HgZ/589.png",16,267,2,"7-162672","2022-03-14"
"282","Russia","Soviet Union","MT-LB","captured","https://i.postimg.cc/MT0c8jzf/589.png",16,268,2,"7-162682","2022-03-14"
"297","Russia","Russia","Vityaz DT-30 articulated tracked carrier","destroyed","https://i.postimg.cc/qRYCwdBj/16.png",22,283,3,"7-222833","2022-03-14"
"298","Russia","Russia","Vityaz DT-30 articulated tracked carrier","abandoned","https://i.postimg.cc/nrSm0HNP/5g.png",22,284,4,"7-222844","2022-03-14"
"302","Russia","Soviet Union","BMD-1KSh-A command vehicle","destroyed","https://i.postimg.cc/VNbkpMH1/6899.png",25,288,3,"7-252883","2022-03-14"
"307","Russia","Russia","R-149MA1 unified command and staff vehicle","abandoned","https://postlmg.cc/DWr360St",26,292,4,"7-262924","2022-03-14"
"338","Russia","Russia","Unknown AFV","abandoned","https://i.postimg.cc/yNKDhgkN/5g.png",31,322,4,"7-313224","2022-03-14"
"367","Russia","Soviet Union","BMP-2","destroyed","https://i.postimg.cc/tJXqrWt2/5y8.png",33,350,3,"7-333503","2022-03-14"
"384","Russia","Soviet Union","BMP-2","destroyed","https://i.postimg.cc/wxFtfg1F/jo.png",33,367,3,"7-333673","2022-03-14"
"385","Russia","Soviet Union","BMP-2","destroyed","https://i.postimg.cc/rmjBhWPy/5y5.png",33,368,3,"7-333683","2022-03-14"
"420","Russia","Soviet Union","BMP-2","captured","https://i.postimg.cc/QtzzhVSs/3212.png",33,398,2,"7-333982","2022-03-14"
"431","Russia","Russia","BMP-3","destroyed","https://i.postimg.cc/Cx9Ydf9d/5247.png",35,409,3,"7-354093","2022-03-14"
"432","Russia","Russia","BMP-3","destroyed","https://i.postimg.cc/2jtWWXx0/41.png",35,410,3,"7-354103","2022-03-14"
"433","Russia","Russia","BMP-3","destroyed","https://i.postimg.cc/XNkCNvTf/389.png",35,411,3,"7-354113","2022-03-14"
"490","Russia","Soviet Union","BMD-2","captured","https://i.postimg.cc/KjKZnxbf/42d.png",36,463,2,"7-364632","2022-03-14"
"491","Russia","Soviet Union","BMD-2","captured","https://i.postimg.cc/8cbYfsyx/752.png",36,464,2,"7-364642","2022-03-14"
"502","Russia","Russia","BMD-4M","captured","https://i.postimg.cc/xjPG7QK8/d136.png",37,475,2,"7-374752","2022-03-14"
"503","Russia","Russia","BMD-4M","captured","https://i.postimg.cc/9QLv6jFV/315.png",37,476,2,"7-374762","2022-03-14"
"516","Russia","Russia","BTR-82A","destroyed","https://i.postimg.cc/yYfdBtrV/5hs.png",38,489,3,"7-384893","2022-03-14"
"517","Russia","Russia","BTR-82A","damaged","https://i.postimg.cc/RZQbNvvr/54.jpg",38,490,1,"7-384901","2022-03-14"
"591","Russia","Soviet Union","BTR-D","captured","https://i.postimg.cc/vmpSy8RR/312.png",40,558,2,"7-405582","2022-03-14"
"597","Russia","Russia","KamAZ-63968 'Typhoon'","destroyed","https://i.postimg.cc/xCPDKLvR/542.jpg",42,564,3,"7-425643","2022-03-14"
"603","Russia","Russia","K-53949 Typhoon-K","captured","https://postimg.cc/fVK20jGS",43,570,2,"7-435702","2022-03-14"
"604","Russia","Russia","K-53949 'Linza'","captured","https://i.postimg.cc/2yzDTBZz/627.png",44,571,2,"7-445712","2022-03-14"
"620","Russia","Russia","GAZ Tigr-M","destroyed","https://i.postimg.cc/qRSdjptb/3211.jpg",45,587,3,"7-455873","2022-03-14"
"635","Russia","Russia","GAZ Tigr-M","captured","https://i.postimg.cc/q7CHr66G/4890.png",45,602,2,"7-456022","2022-03-14"
"657","Russia","Soviet Union","UR-77 'Meterorit' mine clearing vehicle","captured","https://i.postimg.cc/L5KQWwN3/dfg.png",54,623,2,"7-546232","2022-03-14"
"667","Russia","Soviet Union","IMR-2 combat engineering vehicle","abandoned","https://i.postimg.cc/Y2Jw09RD/684.png",61,633,4,"7-616334","2022-03-14"
"679","Russia","Russia","MTU-72 bridge layer","captured","https://i.postimg.cc/15PH69LH/3g.png",63,644,2,"7-636442","2022-03-14"
"715","Russia","Soviet Union","9K38 Igla","captured","https://i.postimg.cc/ZKxBCQvB/36.jpg",75,670,2,"7-756702","2022-03-14"
"740","Russia","Soviet Union","120mm 2S34 Khosta","captured","https://i.postimg.cc/NFwX6m7d/763.png",83,694,2,"7-836942","2022-03-14"
