"","system","country","origin","status","url","class","Date"
"1","122mm 2S1 Gvozdika",NA,"Soviet Union","captured","https://web.archive.org/web/20220225233528/https://postimg.cc/dh3pzgQm","Self-Propelled Artillery","02/25/2022"
"2","122mm 2S1 Gvozdika",NA,"Soviet Union","captured","https://web.archive.org/web/20220225233528/https://i.postimg.cc/x1nDQ4cP/Screenshot-8055.png","Self-Propelled Artillery","02/25/2022"
"3","122mm BM-21 'Grad'",NA,"Soviet Union","captured","https://web.archive.org/web/20220225233528/https://i.postimg.cc/xCF0twG5/b6.png","Multiple Rocket Launchers","02/25/2022"
"4","122mm BM-21 'Grad'",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220225233528/https://i.postimg.cc/B65zvHbK/b6.png","Multiple Rocket Launchers","02/25/2022"
"5","122mm BM-21 'Grad'",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220225233528/https://i.postimg.cc/8c0jfFn1/b6.png","Multiple Rocket Launchers","02/25/2022"
"6","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220225233528/https://i.postimg.cc/prGV0k4f/Screenshot-8069.png","Towed Artillery","02/25/2022"
"7","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220225233528/https://i.postimg.cc/05cN22jz/Screenshot-8075.png","Towed Artillery","02/25/2022"
"8","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","damaged","https://web.archive.org/web/20220225233528/https://i.postimg.cc/yYx8J43v/Screenshot-8073.png","Towed Artillery","02/25/2022"
"9","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","captured","https://web.archive.org/web/20220225233528/https://postimg.cc/q6CYJkkd","Towed Artillery","02/25/2022"
"10","1L22 'Parol'",NA,"Soviet Union","damaged","https://web.archive.org/web/20220225233528/https://postimg.cc/9Dcvz02c","Radars","02/25/2022"
"11","1L22 'Parol'",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220225233528/https://i.postimg.cc/SRjk0C96/6659.png","Radars","02/25/2022"
"12","2K22M1 Tunguska",NA,"Russia","damaged","https://web.archive.org/web/20220225233528/https://i.postimg.cc/9MqLyHJZ/764.png","Self-Propelled Anti-Aircraft Guns","02/25/2022"
"13","5P85D (launcher for S-300PS)",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220225233528/https://i.postimg.cc/50rg9crH/4488.png","Surface-To-Air Missile Systems","02/25/2022"
"14","9K33 Osa",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220225233528/https://i.postimg.cc/wM1d9gZR/b8.png","Trucks, Vehicles, and Jeeps","02/25/2022"
"15","9P149 Shturm-S ATGM carrier",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220225233528/https://i.postimg.cc/FKPZs7Ws/874.png","Armoured Fighting Vehicles","02/25/2022"
"16","An-26 transport aircraft",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220225233528/https://i.postimg.cc/R0ppMFNQ/448.png","Aircraft","02/25/2022"
"17","An-26 transport aircraft",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220225233528/https://i.postimg.cc/rmdB2PLQ/489.png","Aircraft","02/25/2022"
"18","BMP-2",NA,"Soviet Union","captured","https://web.archive.org/web/20220225233528/https://i.postimg.cc/T1HJcX0f/776.png","Infantry Fighting Vehicles","02/25/2022"
"19","BMP-2",NA,"Soviet Union","damaged","https://web.archive.org/web/20220225233528/https://i.postimg.cc/vBy9TRg0/77699.png","Infantry Fighting Vehicles","02/25/2022"
"20","BMP-2",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220225233528/https://i.postimg.cc/RCtc2sB0/554.png","Infantry Fighting Vehicles","02/25/2022"
