"","system","country","origin","status","url","class","Date"
"1","120mm 2B11/2S12",NA,"Soviet Union","captured","https://web.archive.org/web/20220228231935/https://i.postimg.cc/SKhJwYXP/4703.png","Heavy Mortars","02/28/2022"
"2","120mm 2B11/2S12A",NA,"Russia","captured","https://web.archive.org/web/20220228231935/https://i.postimg.cc/x11CC0NR/550.png","Heavy Mortars","02/28/2022"
"3","120mm 2S9 Nona",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/TPknCLcF/55433.jpg ","Self-Propelled Artillery","02/28/2022"
"4","122mm 2S1 Gvozdika",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/R0r6NcvQ/5577.png","Self-Propelled Artillery","02/28/2022"
"5","122mm 2S1 Gvozdika",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/43cbmftq/4466.png","Self-Propelled Artillery","02/28/2022"
"6","122mm 2S1 Gvozdika",NA,"Soviet Union","captured","https://web.archive.org/web/20220228231935/https://i.postimg.cc/x1nDQ4cP/Screenshot-8055.png","Self-Propelled Artillery","02/28/2022"
"7","122mm 2S1 Gvozdika",NA,"Soviet Union","captured","https://web.archive.org/web/20220228231935/https://postimg.cc/dh3pzgQm","Self-Propelled Artillery","02/28/2022"
"8","122mm 2S1 Gvozdika",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220228231935/https://i.postimg.cc/MKTfGGmK/334.png","Self-Propelled Artillery","02/28/2022"
"9","122mm BM-21 'Grad'",NA,"Soviet Union","captured","https://web.archive.org/web/20220228231935/https://i.postimg.cc/DZ0Q5pHc/6652.png","Multiple Rocket Launchers","02/28/2022"
"10","122mm BM-21 'Grad'",NA,"Soviet Union","captured","https://web.archive.org/web/20220228231935/https://i.postimg.cc/xCF0twG5/b6.png","Multiple Rocket Launchers","02/28/2022"
"11","122mm BM-21 'Grad'",NA,"Soviet Union","damaged","https://web.archive.org/web/20220228231935/https://i.postimg.cc/s2wR9DPH/768.png","Multiple Rocket Launchers","02/28/2022"
"12","122mm BM-21 'Grad'",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/8c0jfFn1/b6.png","Multiple Rocket Launchers","02/28/2022"
"13","122mm BM-21 'Grad'",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/B65zvHbK/b6.png","Multiple Rocket Launchers","02/28/2022"
"14","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/05cN22jz/Screenshot-8075.png","Towed Artillery","02/28/2022"
"15","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","captured","https://web.archive.org/web/20220228231935/https://postimg.cc/q6CYJkkd","Towed Artillery","02/28/2022"
"16","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","damaged","https://web.archive.org/web/20220228231935/https://i.postimg.cc/yYx8J43v/Screenshot-8073.png","Towed Artillery","02/28/2022"
"17","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220228231935/https://i.postimg.cc/zfBM7CWN/Screenshot-8227.png","Towed Artillery","02/28/2022"
"18","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220228231935/https://i.postimg.cc/gj9TG17c/Screenshot-8228.png","Towed Artillery","02/28/2022"
"19","152mm 2A65 Msta-B howitzer",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/prGV0k4f/Screenshot-8069.png","Towed Artillery","02/28/2022"
"20","152mm 2S19 Msta-S",NA,"Soviet Union","captured","https://web.archive.org/web/20220228231935/https://i.postimg.cc/2Sk1L977/66534.jpg","Self-Propelled Artillery","02/28/2022"
"21","152mm 2S19 Msta-S",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220228231935/https://i.postimg.cc/VkNQR04y/2r.jpg","Self-Propelled Artillery","02/28/2022"
"22","152mm 2S3 Akatsiya",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220228231935/https://i.postimg.cc/XqKGyZDp/Screenshot-8354.png","Self-Propelled Artillery","02/28/2022"
"23","152mm 2S3 Akatsiya",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220228231935/https://i.postimg.cc/zD2FmSBx/j76.png","Self-Propelled Artillery","02/28/2022"
"24","1L22 'Parol'",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/SRjk0C96/6659.png","Radars","02/28/2022"
"25","1L22 'Parol'",NA,"Soviet Union","damaged","https://web.archive.org/web/20220228231935/https://postimg.cc/9Dcvz02c","Radars","02/28/2022"
"26","1V13 battery fire control center",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220228231935/https://i.postimg.cc/CxMBs7WF/436.png","Armoured Fighting Vehicles","02/28/2022"
"27","2K22M1 Tunguska",NA,"Russia","abandoned","https://web.archive.org/web/20220228231935/https://i.postimg.cc/Qt3jK6LJ/66577.png","Self-Propelled Anti-Aircraft Guns","02/28/2022"
"28","2K22M1 Tunguska",NA,"Russia","damaged","https://web.archive.org/web/20220228231935/https://i.postimg.cc/9MqLyHJZ/764.png","Self-Propelled Anti-Aircraft Guns","02/28/2022"
"29","5P85D (launcher for S-300PS)",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/50rg9crH/4488.png","Surface-To-Air Missile Systems","02/28/2022"
"30","9A310M1 TELAR (for Buk-M1-2)",NA,"Russia","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/fTyMWpmn/5432.png","Surface-To-Air Missile Systems","02/28/2022"
"31","9A310M1 TELAR (for Buk-M1-2)",NA,"Russia","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/7LmZpjbQ/3k.png","Surface-To-Air Missile Systems","02/28/2022"
"32","9A310M1 TELAR (for Buk-M1-2)",NA,"Russia","damaged","https://web.archive.org/web/20220228231935/https://i.postimg.cc/DZXDG2k3/779.png","Surface-To-Air Missile Systems","02/28/2022"
"33","9A39M1 TEL (for Buk-M1-2)",NA,"Russia","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/fTyMWpmn/5432.png","Surface-To-Air Missile Systems","02/28/2022"
"34","9A39M1 TEL (for Buk-M1-2)",NA,"Russia","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/T1P7tLF4/3k.png","Surface-To-Air Missile Systems","02/28/2022"
"35","9K310 Igla-1",NA,"Soviet Union","captured","https://web.archive.org/web/20220228231935/https://postlmg.cc/PNLkmdpw","Man-Portable Air Defense Systems","02/28/2022"
"36","9K310 Igla-1",NA,"Soviet Union","captured","https://web.archive.org/web/20220228231935/https://i.postimg.cc/4xhpF2Yg/5549.png","Man-Portable Air Defense Systems","02/28/2022"
"37","9K33 Osa",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220228231935/https://i.postimg.cc/3RKjWRVn/6657.png","Trucks, Vehicles, and Jeeps","02/28/2022"
"38","9K33 Osa",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/wM1d9gZR/b8.png","Trucks, Vehicles, and Jeeps","02/28/2022"
"39","9K33 Osa",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/9F6xPsMT/5547.png","Trucks, Vehicles, and Jeeps","02/28/2022"
"40","9K33 Osa",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220228231935/https://i.postimg.cc/YqGy7H0G/5567.png","Trucks, Vehicles, and Jeeps","02/28/2022"
"41","9K33 Osa",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/ncjkcdJN/589.png","Trucks, Vehicles, and Jeeps","02/28/2022"
"42","9K33 Osa",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/xChnM7jX/n2.png ","Trucks, Vehicles, and Jeeps","02/28/2022"
"43","9K35 Strela-10",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220228231935/https://i.postimg.cc/rmQmjFmn/542.png","Surface-To-Air Missile Systems","02/28/2022"
"44","9K35 Strela-10",NA,"Soviet Union","captured","https://web.archive.org/web/20220228231935/https://i.postimg.cc/C5cvXW27/6656.png","Surface-To-Air Missile Systems","02/28/2022"
"45","9K35 Strela-10",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/XqQbB43w/4436.png ","Surface-To-Air Missile Systems","02/28/2022"
"46","9K35 Strela-10",NA,"Soviet Union","abandoned","https://web.archive.org/web/20220228231935/https://i.postimg.cc/FKXqgKZj/n8.jpg","Surface-To-Air Missile Systems","02/28/2022"
"47","9K38 Igla",NA,"Soviet Union","captured","https://web.archive.org/web/20220228231935/https://i.postimg.cc/4xhpF2Yg/5549.png","Man-Portable Air Defense Systems","02/28/2022"
"48","9K38 Igla",NA,"Soviet Union","captured","https://web.archive.org/web/20220228231935/https://i.postimg.cc/HLgyxQ2D/v2.png","Man-Portable Air Defense Systems","02/28/2022"
"49","9M113 Konkurs",NA,"Soviet Union","captured","https://web.archive.org/web/20220228231935/https://i.postimg.cc/1RfB2NxM/347.png","Anti-Tank Guided Missiles","02/28/2022"
"50","9M113 Konkurs",NA,"Soviet Union","captured","https://web.archive.org/web/20220228231935/https://i.postimg.cc/W4N1CS83/v1.png","Anti-Tank Guided Missiles","02/28/2022"
"51","9P148 Konkurs ATGM carrier",NA,"Soviet Union","captured","https://web.archive.org/web/20220228231935/https://i.postimg.cc/7PV70ZVz/4366.png","Armoured Fighting Vehicles","02/28/2022"
"52","9P148 Konkurs ATGM carrier",NA,"Soviet Union","destroyed","https://web.archive.org/web/20220228231935/https://i.postimg.cc/8cpL1BtZ/k2.png","Armoured Fighting Vehicles","02/28/2022"
