"","system","country","origin","status","url","class","Date"
"1","100mm MT-12 anti-tank gun","Ukraine","Soviet Union","abandoned","https://web.archive.org/web/20220304235636/https://i.postimg.cc/MGrVpjLq/n2.png","Towed Artillery","03/04/2022"
"2","100mm MT-12 anti-tank gun","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220304235636/https://i.postimg.cc/rwkdKVj0/g5d.png","Towed Artillery","03/04/2022"
"3","120mm 2B11/2S12","Russia","Soviet Union","captured","https://web.archive.org/web/20220304235636/https://i.postimg.cc/Xv95D8vY/579.png","Heavy Mortars","03/04/2022"
"4","120mm 2B11/2S12","Russia","Soviet Union","captured","https://web.archive.org/web/20220304235636/https://i.postimg.cc/SKhJwYXP/4703.png","Heavy Mortars","03/04/2022"
"5","120mm 2B11/2S12A","Russia","Russia","captured","https://web.archive.org/web/20220304235636/https://i.postimg.cc/x11CC0NR/550.png","Heavy Mortars","03/04/2022"
"6","120mm 2S9 Nona","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220304235636/https://i.postimg.cc/KcgFMz7v/543.png","Self-Propelled Artillery","03/04/2022"
"7","120mm 2S9 Nona","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220304235636/https://i.postimg.cc/TPknCLcF/55433.jpg ","Self-Propelled Artillery","03/04/2022"
"8","122mm 2B17 Tornado-G","Russia","Russia","destroyed","https://web.archive.org/web/20220304235636/https://i.postimg.cc/fbsfnMYf/bb3.jpg","Multiple Rocket Launchers","03/04/2022"
"9","122mm 2S1 Gvozdika","Ukraine","Soviet Union","destroyed","https://web.archive.org/web/20220304235636/https://i.postimg.cc/R0r6NcvQ/5577.png","Self-Propelled Artillery","03/04/2022"
"10","122mm 2S1 Gvozdika","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220304235636/https://i.postimg.cc/qBYJLRq1/63.png ","Self-Propelled Artillery","03/04/2022"
"11","122mm 2S1 Gvozdika","Ukraine","Soviet Union","destroyed","https://web.archive.org/web/20220304235636/https://i.postimg.cc/43cbmftq/4466.png","Self-Propelled Artillery","03/04/2022"
"12","122mm 2S1 Gvozdika","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220304235636/https://i.postimg.cc/x1nDQ4cP/Screenshot-8055.png","Self-Propelled Artillery","03/04/2022"
