"","system","country","origin","status","url","class","Date"
"1","(Unknown) vehicle","Russia","Russia","captured","https://web.archive.org/web/20220310201012/https://i.postimg.cc/WbLxNxYp/f1.jpg","Trucks, Vehicles, and Jeeps","03/10/2022"
"2","(Unknown) vehicle","Russia","Russia","destroyed","https://web.archive.org/web/20220310201012/https://i.postimg.cc/cLy31D99/557.png","Trucks, Vehicles, and Jeeps","03/10/2022"
"3","(Unknown) vehicle","Russia","Russia","destroyed","https://web.archive.org/web/20220310201012/https://i.postimg.cc/L5WpLtHC/370.png","Trucks, Vehicles, and Jeeps","03/10/2022"
"4","(Unknown) vehicle","Russia","Russia","destroyed","https://web.archive.org/web/20220310201012/https://i.postimg.cc/v8Jyk5sf/4k.png","Trucks, Vehicles, and Jeeps","03/10/2022"
"5","100mm MT-12 anti-tank gun","Ukraine","Soviet Union","captured","https://web.archive.org/web/20220310201012/https://i.postimg.cc/rwkdKVj0/g5d.png","Towed Artillery","03/10/2022"
"6","100mm MT-12 anti-tank gun","Ukraine","Soviet Union","abandoned","https://web.archive.org/web/20220310201012/https://i.postimg.cc/MGrVpjLq/n2.png","Towed Artillery","03/10/2022"
"7","120mm 2B11/2S12","Russia","Soviet Union","captured","https://web.archive.org/web/20220310201012/https://i.postimg.cc/Xv95D8vY/579.png","Heavy Mortars","03/10/2022"
"8","120mm 2B11/2S12","Russia","Soviet Union","captured","https://web.archive.org/web/20220310201012/https://i.postimg.cc/SNc6Bh3F/524.png","Heavy Mortars","03/10/2022"
"9","120mm 2B11/2S12","Russia","Soviet Union","captured","https://web.archive.org/web/20220310201012/https://i.postimg.cc/SKhJwYXP/4703.png","Heavy Mortars","03/10/2022"
"10","120mm 2B11/2S12","Russia","Soviet Union","captured","https://web.archive.org/web/20220310201012/https://i.postimg.cc/mrwKqRw8/Screenshot-8952.png","Heavy Mortars","03/10/2022"
"11","120mm 2B11/2S12A","Russia","Russia","captured","https://web.archive.org/web/20220310201012/https://i.postimg.cc/x11CC0NR/550.png","Heavy Mortars","03/10/2022"
"12","120mm 2B16 Nona-K howitzer","Russia","Soviet Union","captured","https://web.archive.org/web/20220310201012/https://i.postimg.cc/wx2TJysb/4f2.jpg ","Towed Artillery","03/10/2022"
"13","120mm 2S9 Nona","Russia","Soviet Union","captured","https://web.archive.org/web/20220310201012/https://i.postimg.cc/Nfx4tqpS/5580.png","Self-Propelled Artillery","03/10/2022"
"14","120mm 2S9 Nona","Russia","Soviet Union","captured","https://web.archive.org/web/20220310201012/https://i.postimg.cc/bwPz8VWX/6522.jpg","Self-Propelled Artillery","03/10/2022"
"15","120mm 2S9 Nona","Russia","Soviet Union","abandoned","https://web.archive.org/web/20220310201012/https://i.postimg.cc/KcgFMz7v/543.png","Self-Propelled Artillery","03/10/2022"
"16","120mm 2S9 Nona","Russia","Soviet Union","captured","https://web.archive.org/web/20220310201012/https://i.postimg.cc/hvz00pQc/432u.png","Self-Propelled Artillery","03/10/2022"
"17","120mm 2S9 Nona","Russia","Soviet Union","destroyed","https://web.archive.org/web/20220310201012/https://i.postimg.cc/TPknCLcF/55433.jpg ","Self-Propelled Artillery","03/10/2022"
"18","122mm 2B17 Tornado-G","Russia","Russia","destroyed","https://web.archive.org/web/20220310201012/https://i.postimg.cc/fbsfnMYf/bb3.jpg","Multiple Rocket Launchers","03/10/2022"
"19","122mm 2S1 Gvozdika","Ukraine","Soviet Union","destroyed","https://web.archive.org/web/20220310201012/https://i.postimg.cc/kG6swKK7/760.png","Self-Propelled Artillery","03/10/2022"
