"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","Date"
"1","Russia","All Types",25,2,20,5,52,2022-02-25
"2","Russia","Tanks",1,0,1,0,2,2022-02-25
"3","Russia","Armoured Fighting Vehicles",3,0,4,0,7,2022-02-25
"4","Russia","Infantry Fighting Vehicles",2,1,1,0,4,2022-02-25
"5","Russia","Mine-resistant Ambush Protected",0,0,1,0,1,2022-02-25
"6","Russia","Infantry Mobility Vehicles",1,0,3,1,5,2022-02-25
"7","Russia","Engineering Vehicles",1,0,2,0,3,2022-02-25
"8","Russia","Mortars",0,0,1,0,1,2022-02-25
"9","Russia","Artillery",2,0,2,0,4,2022-02-25
"10","Russia","Multiple Rocket Launchers",3,0,1,0,4,2022-02-25
"11","Russia","Surface-To-Air Missile Systems",1,1,0,0,2,2022-02-25
"12","Russia","Aircraft",3,0,0,0,3,2022-02-25
"13","Russia","Helicopters",1,0,0,1,2,2022-02-25
"14","Russia","Trucks, Vehicles and Jeeps",7,0,10,2,19,2022-02-25
"15","Ukraine","All Types",27,10,17,5,59,2022-02-25
"16","Ukraine","Tanks",2,1,0,1,4,2022-02-25
"17","Ukraine","Armoured Fighting Vehicles",0,1,1,0,2,2022-02-25
"18","Ukraine","
",0,0,0,0,0,2022-02-25
"19","Ukraine","Infantry Fighting Vehicles",0,4,2,0,6,2022-02-25
"20","Ukraine","Armoured Personnel Carriers",0,1,1,0,2,2022-02-25
"21","Ukraine","Infantry Mobility Vehicles",1,0,0,0,1,2022-02-25
"22","Ukraine","Anti-tank Guided Missiles",0,0,1,0,1,2022-02-25
"23","Ukraine","Self-Propelled Artillery",0,0,2,0,2,2022-02-25
"24","Ukraine","Surface-To-Air Missile Systems
",3,0,0,0,3,2022-02-25
"25","Ukraine","Radars",3,0,0,2,5,2022-02-25
"26","Ukraine","
",0,0,0,0,0,2022-02-25
"27","Ukraine","Aircraft",3,0,0,0,3,2022-02-25
"28","Ukraine","Trucks, Vehicles and Jeeps",12,1,11,2,26,2022-02-25
