"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","Date"
"1","Russia","All Types",1351,237,982,38,2608,"2022-04-07"
"2","Russia","Tanks",219,41,182,6,448,"2022-04-07"
"3","Russia","Armoured Fighting Vehicles",134,32,118,0,284,"2022-04-07"
"4","Russia","Infantry Fighting Vehicles",272,32,159,2,465,"2022-04-07"
"5","Russia","Armoured Personnel Carriers",27,17,45,1,90,"2022-04-07"
"6","Russia","Mine-Resistant Ambush Protected",11,3,7,0,21,"2022-04-07"
"7","Russia","Infantry Mobility Vehicles",48,5,26,2,81,"2022-04-07"
"8","Russia","Communications Stations",8,5,6,0,19,"2022-04-07"
"9","Russia","Engineering Vehicles And Equipment",28,15,43,0,86,"2022-04-07"
"10","Russia","Heavy Mortars",3,0,8,0,11,"2022-04-07"
"11","Russia","Towed Artillery",10,5,33,4,52,"2022-04-07"
"12","Russia","Self-Propelled Artillery",30,15,35,3,83,"2022-04-07"
"13","Russia","Multiple Rocket Launchers",21,5,23,0,49,"2022-04-07"
"14","Russia","Anti-Aircraft Guns",0,0,4,0,4,"2022-04-07"
"15","Russia","Self-Propelled Anti-Aircraft Guns",5,3,5,0,13,"2022-04-07"
"16","Russia","Surface-To-Air Missile Systems",25,7,18,1,51,"2022-04-07"
"17","Russia","Radars",3,0,6,0,9,"2022-04-07"
"18","Russia","Jammers And Deception Systems",3,0,2,2,7,"2022-04-07"
"19","Russia","Aircraft",19,0,0,1,20,"2022-04-07"
"20","Russia","Helicopters",28,1,1,2,32,"2022-04-07"
"21","Russia","Unmanned Aerial Vehicles",15,0,7,0,22,"2022-04-07"
"22","Russia","Naval Ships",1,0,0,2,3,"2022-04-07"
"23","Russia","Logistics Trains",2,0,0,0,2,"2022-04-07"
"24","Russia","Trucks, Vehicles and Jeeps",451,61,224,14,750,"2022-04-07"
"25","Ukraine","All Types",311,37,325,24,697,"2022-04-07"
"26","Ukraine","Tanks",38,9,44,2,93,"2022-04-07"
"27","Ukraine","Armoured Fighting Vehicles",26,4,35,0,65,"2022-04-07"
"28","Ukraine","Infantry Fighting Vehicles",32,9,30,3,74,"2022-04-07"
"29","Ukraine","Armoured Personnel Carriers",6,2,22,1,31,"2022-04-07"
"30","Ukraine","Infantry Mobility Vehicles",15,1,32,1,49,"2022-04-07"
"31","Ukraine","Engineering Vehicles",3,0,7,0,10,"2022-04-07"
"32","Ukraine","Towed Artillery",8,3,11,3,25,"2022-04-07"
"33","Ukraine","Self-Propelled Artillery",8,1,7,4,20,"2022-04-07"
"34","Ukraine","Multiple Rocket Launchers",10,0,5,0,15,"2022-04-07"
"35","Ukraine","Anti-Aircraft Guns",0,0,2,0,2,"2022-04-07"
"36","Ukraine","Self-Propelled Anti-Aircraft Guns
",0,0,1,0,1,"2022-04-07"
"37","Ukraine","Surface-To-Air Missile Systems
",32,1,5,0,38,"2022-04-07"
"38","Ukraine","Radars And Communications Equipment",9,1,4,3,17,"2022-04-07"
"39","Ukraine","Aircraft",14,0,0,1,15,"2022-04-07"
"40","Ukraine","Helicopters",2,0,1,0,3,"2022-04-07"
"41","Ukraine","Unmanned Aerial Vehicles",10,0,2,0,12,"2022-04-07"
"42","Ukraine","Naval Ships",2,0,12,1,15,"2022-04-07"
"43","Ukraine","Trucks, Vehicles and Jeeps",83,5,117,5,210,"2022-04-07"
