"","country","system","captured","abandoned","destroyed","damaged","total","Date"
"1","Russia","1 T-62 Obr. 1967",1,0,0,0,1,"02/18/2024"
"2","Russia","1 T-62 Obr. 1972",0,1,0,0,1,"02/18/2024"
"3","Russia","1 Unknown T-54/55",0,0,1,0,1,"02/18/2024"
"4","Russia","19 T-62MV",8,2,7,4,21,"02/18/2024"
"5","Russia","2 T-55A",0,0,1,1,2,"02/18/2024"
"6","Russia","3 T-64A",0,0,2,1,3,"02/18/2024"
"7","Russia","4 T-62MV Obr. 2022",0,0,3,1,4,"02/18/2024"
"8","Russia","76 T-62M",35,3,29,11,78,"02/18/2024"
"9","Russia","81 T-64BV",4,6,60,13,83,"02/18/2024"
"10","Russia","T-62M Obr. 2022",0,2,4,1,7,"02/18/2024"
"11","Ukraine","(Unknown) truck",11,2,135,6,154,"02/18/2024"
"12","Ukraine","1 120mm 2B16 Nona-K gun mortar",0,0,1,0,1,"02/18/2024"
"13","Ukraine","1 122mm Bastion-1",0,0,1,0,1,"02/18/2024"
"14","Ukraine","1 130mm M-46 field gun",0,0,0,1,1,"02/18/2024"
"15","Ukraine","1 155mm Panzerhaubitze 2000",0,0,0,1,1,"02/18/2024"
"16","Ukraine","1 1B44-1 (RPMK-1) radiosonde weather radar",0,0,1,0,1,"02/18/2024"
"17","Ukraine","1 1L119 Nebo-SVU VHF multi-functional radar",0,0,1,0,1,"02/18/2024"
"18","Ukraine","1 1L220UK Zoopark-3 counter-battery radar",0,0,0,1,1,"02/18/2024"
"19","Ukraine","1 1RL239 Ark-1(M) counter-battery radar",0,0,1,0,1,"02/18/2024"
"20","Ukraine","1 1V1003 command and observation vehicle (for 1V198 artillery fire control system)",1,0,0,0,1,"02/18/2024"
"21","Ukraine","1 1V110 BM-21 Grad battery command vehicle",1,0,1,0,2,"02/18/2024"
"22","Ukraine","1 1V16 battalion fire direction vehicle",1,0,0,0,1,"02/18/2024"
"23","Ukraine","1 220mm Bureviy",0,0,1,0,1,"02/18/2024"
"24","Ukraine","1 227mm M142 HIMARS",0,0,0,1,1,"02/18/2024"
"25","Ukraine","1 23mm 23 ItK 61",1,0,0,0,1,"02/18/2024"
"26","Ukraine","1 2F77M transloading vehicle for 2K22M Tunguska-M",1,0,0,1,2,"02/18/2024"
"27","Ukraine","1 2K22M Tunguska-M",1,0,1,0,2,"02/18/2024"
"28","Ukraine","1 50P6E TEL (for S-350)",0,0,0,1,1,"02/18/2024"
"29","Ukraine","1 55K6A command post for S-400",0,0,1,0,1,"02/18/2024"
"30","Ukraine","1 55Zh6U Nebo-U air surveillance radar",0,0,0,1,1,"02/18/2024"
"31","Ukraine","1 5N63-1 'Flap Lid A' on 40V6M mast (for S-300PT)",1,0,0,0,1,"02/18/2024"
"32","Ukraine","1 5N63S <U+201C>Flap Lid B<U+201D> engagement and tracking radar of the S-300",0,0,1,0,1,"02/18/2024"
"33","Ukraine","1 79K6 'Pelikan' 3D surveillance radar",0,0,1,0,1,"02/18/2024"
"34","Ukraine","1 80K6M Mobile 3D Radar",0,0,1,0,1,"02/18/2024"
"35","Ukraine","1 80mm B-8 makeshift MRL",0,0,1,0,1,"02/18/2024"
"36","Ukraine","1 92N6A (for S-400)",0,0,1,0,1,"02/18/2024"
"37","Ukraine","1 9A330 Tor TLAR (for 9K330 Tor)",0,0,0,1,1,"02/18/2024"
"38","Ukraine","1 9A331MU TLAR for 9K331MU Tor-M1-2U (Tor-M2U)",0,0,1,0,1,"02/18/2024"
"39","Ukraine","1 9K132 Shturm-SM",0,0,1,0,1,"02/18/2024"
"40","Ukraine","1 9S19M2 (for S-300V)",0,0,0,1,1,"02/18/2024"
"41","Ukraine","1 9S32M1 (for S-300V)",0,0,0,1,1,"02/18/2024"
"42","Ukraine","1 9S470M1 command vehicle for Buk-M1",0,0,1,0,1,"02/18/2024"
"43","Ukraine","1 AK-04-9A 'Porosha' airfield air conditioner based on KamAZ-5320",0,0,1,0,1,"02/18/2024"
"44","Ukraine","1 AN-MPQ-64 Sentinel radr",0,0,1,0,1,"02/18/2024"
"45","Ukraine","1 AP-2 mobile emergency room based on KamAZ 6x6",1,0,0,0,1,"02/18/2024"
"46","Ukraine","1 APA-80 engine starting vehicle",0,0,1,0,1,"02/18/2024"
"47","Ukraine","1 ARTHUR counter-battery radar",0,0,1,0,1,"02/18/2024"
"48","Ukraine","1 ATs-10-260 Fuel Tanker",0,0,1,0,1,"02/18/2024"
"49","Ukraine","1 AeroVironment Quantix Recon UAV",1,0,0,0,1,"02/18/2024"
"50","Ukraine","1 Avenger",0,0,1,0,1,"02/18/2024"
"51","Ukraine","1 BATT UMG",0,0,0,1,1,"02/18/2024"
"52","Ukraine","1 BMP-1 765-SB3KDZ",0,0,1,0,1,"02/18/2024"
"53","Ukraine","1 BMP-1U 'Shkval'",0,0,1,0,1,"02/18/2024"
"54","Ukraine","1 BMP-1U Shkval",1,0,0,0,1,"02/18/2024"
"55","Ukraine","1 BMR-2 mine-clearing tank",0,1,0,0,1,"02/18/2024"
"56","Ukraine","1 BTR-50 with BPU-1 turret",0,1,0,1,2,"02/18/2024"
"57","Ukraine","1 BTR-60PB",0,0,0,1,1,"02/18/2024"
"58","Ukraine","1 BTR-60PU-12command vehicle",1,0,0,0,1,"02/18/2024"
"59","Ukraine","1 BTR-80 with 57mm UB-32 unguided aircraft rocket pods",0,0,0,1,1,"02/18/2024"
"60","Ukraine","1 BTR-80-based ZS-88 PsyOps vehicle",0,0,1,0,1,"02/18/2024"
"61","Ukraine","1 BTR-90",0,1,0,1,2,"02/18/2024"
"62","Ukraine","1 BTR-ZD Skrezhet",1,0,1,0,2,"02/18/2024"
"63","Ukraine","1 Bandvagn BvS 10",0,0,1,0,1,"02/18/2024"
"64","Ukraine","1 Bergepanzer 2 armoured recovery vehicle",0,0,0,1,1,"02/18/2024"
"65","Ukraine","1 Beriev A-50",0,0,1,0,1,"02/18/2024"
"66","Ukraine","1 Command vehicle for Podlet-K1 low-altitude S-band surveillance radar",0,0,1,0,1,"02/18/2024"
"67","Ukraine","1 Downgraded Mowag Eagle II",0,0,1,0,1,"02/18/2024"
"68","Ukraine","1 ED2x30-T400-3RA mobile generator",0,0,0,1,1,"02/18/2024"
"69","Ukraine","1 Eleron T-16",1,0,0,0,1,"02/18/2024"
"70","Ukraine","1 Eleron-3SV",0,0,1,0,1,"02/18/2024"
"71","Ukraine","1 Elf",0,0,1,0,1,"02/18/2024"
"72","Ukraine","1 Forpost-RU",0,0,1,0,1,"02/18/2024"
"73","Ukraine","1 GAZ-3307",0,0,1,0,1,"02/18/2024"
"74","Ukraine","1 GAZ-3937 Vodnik",1,0,0,0,1,"02/18/2024"
"75","Ukraine","1 GAZ-51",1,0,0,0,1,"02/18/2024"
"76","Ukraine","1 GAZ-66 with Zu-23-2",0,0,1,0,1,"02/18/2024"
"77","Ukraine","1 Granat-3",0,0,1,0,1,"02/18/2024"
"78","Ukraine","1 Grifon-12",1,0,0,0,1,"02/18/2024"
"79","Ukraine","1 HMMWV with MRLS",0,0,1,0,1,"02/18/2024"
"80","Ukraine","1 IMR-1 combat engineering vehicle",0,0,1,0,1,"02/18/2024"
"81","Ukraine","1 IRM 'Zhuk' engineer reconnaissance vehicle",1,0,0,0,1,"02/18/2024"
"82","Ukraine","1 Iveco Magirus 90-16 AW 4x4",0,0,1,0,1,"02/18/2024"
"83","Ukraine","1 KamAZ 8x8 tanker",0,0,1,0,1,"02/18/2024"
"84","Ukraine","1 KamAZ Patrol",0,0,1,0,1,"02/18/2024"
"85","Ukraine","1 KamAZ tank low-loader",0,0,1,0,1,"02/18/2024"
"86","Ukraine","1 KamAZ-63501 with KS-55729-7M 32-ton crane",0,0,1,0,1,"02/18/2024"
"87","Ukraine","1 KrAZ-214",0,0,1,0,1,"02/18/2024"
"88","Ukraine","1 KrAZ-255B with KS-3575 crane",0,0,1,0,1,"02/18/2024"
"89","Ukraine","1 KrAZ-260 KT-L recovery vehicle",0,0,1,0,1,"02/18/2024"
"90","Ukraine","1 KrAZ-6322 Master mobile workshop",1,0,0,0,1,"02/18/2024"
"91","Ukraine","1 KrAZ-65055",0,0,1,0,1,"02/18/2024"
"92","Ukraine","1 KrAZ-Forpost",0,0,1,0,1,"02/18/2024"
"93","Ukraine","1 LAV Super Bison",0,0,1,0,1,"02/18/2024"
"94","Ukraine","1 Lancet loitering munition launcher and control station",0,0,1,0,1,"02/18/2024"
"95","Ukraine","1 Leopard 1A5",0,0,0,1,1,"02/18/2024"
"96","Ukraine","1 M58 MICLIC mine clearing system",0,0,1,0,1,"02/18/2024"
"97","Ukraine","1 MAN KAT 4x4",0,0,1,0,1,"02/18/2024"
"98","Ukraine","1 MAZ AC-8-500A Tanker",0,0,1,0,1,"02/18/2024"
"99","Ukraine","1 MAZ TZ-500 tanker",0,0,1,0,1,"02/18/2024"
"100","Ukraine","1 MAZ-5337 fuel tanker",0,0,2,0,2,"02/18/2024"
"101","Ukraine","1 MT-LB with 14.5mm 2M-7 naval gun mount",1,0,0,0,1,"02/18/2024"
"102","Ukraine","1 MT-LB with 25mm 2M-3 naval gun",0,0,1,0,1,"02/18/2024"
"103","Ukraine","1 MT-LB with 85mm D-44 gun",0,0,1,0,1,"02/18/2024"
"104","Ukraine","1 MT-LB with AZP S-60 AA gun",0,0,1,0,1,"02/18/2024"
"105","Ukraine","1 MT-LB with BPU-1 turret",0,0,1,0,1,"02/18/2024"
"106","Ukraine","1 MT-T multi-purpose tracked transporter",0,0,0,1,1,"02/18/2024"
"107","Ukraine","1 MTO-AG-3M mobile workshop",0,0,1,0,1,"02/18/2024"
"108","Ukraine","1 MTO-UB2 maintenance vehicle",0,0,1,0,1,"02/18/2024"
"109","Ukraine","1 Mobile generator for Podlet-K1 low-altitude S-band surveillance radar",0,0,1,0,1,"02/18/2024"
"110","Ukraine","1 Oncilla",0,0,1,0,1,"02/18/2024"
"111","Ukraine","1 Orlan-10 UAV control station",0,0,1,0,1,"02/18/2024"
"112","Ukraine","1 P-18T surveillance radar",0,0,1,0,1,"02/18/2024"
"113","Ukraine","1 P-240 digital communications vehicle",0,0,1,0,1,"02/18/2024"
"114","Ukraine","1 P-260 Redut-2US communication system",0,0,1,0,1,"02/18/2024"
"115","Ukraine","1 P-37 'Mech' early warning radar",1,0,0,0,1,"02/18/2024"
"116","Ukraine","1 PAK-200M mobile field kitchen",1,0,0,0,1,"02/18/2024"
"117","Ukraine","1 PRP-4A Argus artillery reconnaissance vehicle",1,0,0,0,1,"02/18/2024"
"118","Ukraine","1 PRV-16ML height-finder radar",0,0,1,0,1,"02/18/2024"
"119","Ukraine","1 PZM-2 trench-digging vehicle",1,0,0,0,1,"02/18/2024"
"120","Ukraine","1 Plastun-SN",0,0,1,0,1,"02/18/2024"
"121","Ukraine","1 Predel coastal defence radar",0,0,1,0,1,"02/18/2024"
"122","Ukraine","1 Primoco One 150",0,0,1,0,1,"02/18/2024"
"123","Ukraine","1 Project 1176 Ondatra-class landing craft",0,0,0,1,1,"02/18/2024"
"124","Ukraine","1 Project 12411 Tarantul-III-class corvette",0,0,1,0,1,"02/18/2024"
"125","Ukraine","1 Project 1258 Yevgenya-class minesweeper",0,0,1,0,1,"02/18/2024"
"126","Ukraine","1 Project 22800 Karakurt-class corvette",0,0,1,0,1,"02/18/2024"
"127","Ukraine","1 Project 266M Natya-class minesweeper",0,0,0,1,1,"02/18/2024"
"128","Ukraine","1 Project 58181 Centaur-class fast assault boat",0,0,1,0,1,"02/18/2024"
"129","Ukraine","1 Punisher",0,0,1,0,1,"02/18/2024"
"130","Ukraine","1 Quantum Vector UAV",0,0,1,0,1,"02/18/2024"
"131","Ukraine","1 R-145BM command vehicle",1,0,0,0,1,"02/18/2024"
"132","Ukraine","1 R-145BMA command vehicle",1,0,1,0,2,"02/18/2024"
"133","Ukraine","1 R-149BMRg command and signals vehicle",0,0,1,0,1,"02/18/2024"
"134","Ukraine","1 R-161 signals vehicle",0,0,1,0,1,"02/18/2024"
"135","Ukraine","1 R-325BMV jamming station",0,0,1,0,1,"02/18/2024"
"136","Ukraine","1 R-330M1P Diabazol",0,0,1,0,1,"02/18/2024"
"137","Ukraine","1 R-405M radio station vehicle",0,0,1,0,1,"02/18/2024"
"138","Ukraine","1 R-409A radio station vehicle",0,0,1,0,1,"02/18/2024"
"139","Ukraine","1 R-441 SatCom station",0,0,1,0,1,"02/18/2024"
