"","country","system","captured","destroyed","abandoned","damaged","total","Date"
"1",NA,"120mm 2B11/2S12",1,0,0,0,1,2022-03-01
"2",NA,"120mm 2B11/2S12A",1,0,0,0,1,2022-03-01
"3",NA,"120mm 2S9 Nona",0,1,0,0,1,2022-03-01
"4",NA,"122mm 2S1 Gvozdika",2,2,1,0,5,2022-03-01
"5",NA,"122mm BM-21 'Grad'",3,2,0,1,6,2022-03-01
"6",NA,"152mm 2A65 Msta-B howitzer",2,2,2,1,7,2022-03-01
"7",NA,"152mm 2S19 Msta-S",1,0,2,0,3,2022-03-01
"8",NA,"152mm 2S3 Akatsiya",0,0,2,0,2,2022-03-01
"9",NA,"1L22 'Parol'",0,1,0,1,2,2022-03-01
"10",NA,"1V13 battery fire control center",0,0,1,0,1,2022-03-01
"11",NA,"220mm TOS-1",1,0,0,0,1,2022-03-01
"12",NA,"2K22M1 Tunguska",0,0,2,1,3,2022-03-01
"13",NA,"2S1 Gvozdika with ZU-23 AA gun",1,0,0,0,1,2022-03-01
"14",NA,"5P85D (launcher for S-300PS)",0,1,0,0,1,2022-03-01
"15",NA,"9A310M1 TELAR (for Buk-M1-2)",0,2,0,1,3,2022-03-01
"16",NA,"9A39M1 TEL (for Buk-M1-2)",0,2,0,0,2,2022-03-01
"17",NA,"9K310 Igla-1",2,0,0,0,2,2022-03-01
"18",NA,"9K33 Osa",2,4,1,0,7,2022-03-01
"19",NA,"9K35 Strela-10",1,1,2,0,4,2022-03-01
"20",NA,"9K38 Igla",2,0,0,0,2,2022-03-01
"21",NA,"9M113 Konkurs",3,0,0,0,3,2022-03-01
"22",NA,"9P148 Konkurs ATGM carrier",1,2,0,0,3,2022-03-01
"23",NA,"9P149 Shturm-S ATGM carrier",0,1,0,0,1,2022-03-01
"24",NA,"9T452 transporter-loader (for BM-27 'Uragan' MRL)",0,1,0,0,1,2022-03-01
"25",NA,"9М131F Metis-M1",1,0,0,0,1,2022-03-01
"26",NA,"An-26 transport aircraft",0,2,0,0,2,2022-03-01
"27",NA,"Armoured KamAZ 6x6",0,1,0,0,1,2022-03-01
"28",NA,"BMD-2",3,1,5,2,11,2022-03-01
"29",NA,"BMD-4M",0,1,1,0,2,2022-03-01
"30",NA,"BMP-1",0,3,5,1,9,2022-03-01
"31",NA,"BMP-1Khs",0,0,1,0,1,2022-03-01
"32",NA,"BMP-1P",1,0,0,0,1,2022-03-01
"33",NA,"BMP-2",4,6,9,4,23,2022-03-01
"34",NA,"BMP-3",2,0,2,0,4,2022-03-01
"35",NA,"BRDM-2",3,3,8,0,14,2022-03-01
"36",NA,"BREM-K armoured recovery vehicle",1,0,0,0,1,2022-03-01
"37",NA,"BRM-1K",2,1,0,1,4,2022-03-01
"38",NA,"BSEM-4K",0,1,0,0,1,2022-03-01
"39",NA,"BTR-3",1,1,0,0,2,2022-03-01
"40",NA,"BTR-4",2,5,1,0,8,2022-03-01
"41",NA,"BTR-60",1,0,0,0,1,2022-03-01
"42",NA,"BTR-70",2,0,1,0,3,2022-03-01
"43",NA,"BTR-80",4,3,0,0,7,2022-03-01
"44",NA,"BTR-82A",3,4,5,2,14,2022-03-01
"45",NA,"BTR-D",1,4,5,0,10,2022-03-01
"46",NA,"Buk-M1",0,1,0,0,1,2022-03-01
"47",NA,"Fuel train",0,2,0,0,2,2022-03-01
"48",NA,"GAZ Sobol",0,1,1,0,2,2022-03-01
"49",NA,"GAZ Tigr-M",5,9,1,1,16,2022-03-01
"50",NA,"GAZ Tigr-M with Arbalet-DM turret",0,1,0,0,1,2022-03-01
"51",NA,"GAZ-3308",0,0,2,0,2,2022-03-01
"52",NA,"GAZ-66",4,2,3,3,12,2022-03-01
"53",NA,"HMMWV",0,1,0,0,1,2022-03-01
"54",NA,"IMR-2 combat engineering vehicle",0,1,0,0,1,2022-03-01
"55",NA,"Iveco LMV 'Rys'",1,2,1,0,4,2022-03-01
"56",NA,"Ka-52 'Alligator'",0,1,0,1,2,2022-03-01
"57",NA,"KamAZ",0,1,0,0,1,2022-03-01
"58",NA,"KamAZ 6x6",11,26,8,1,46,2022-03-01
"59",NA,"KamAZ-5350 with crane",0,1,0,0,1,2022-03-01
"60",NA,"KamAZ-5350 with EOV-3523 excavator",3,0,0,0,3,2022-03-01
"61",NA,"KamAZ-6350 8x8 artillery tractor",2,2,0,2,6,2022-03-01
"62",NA,"KamAZ-63968 Typhoon",2,1,0,0,3,2022-03-01
"63",NA,"Kozak-2",0,1,0,0,1,2022-03-01
"64",NA,"KrAZ-6322",5,1,0,0,6,2022-03-01
"65",NA,"MAZ",0,3,1,1,5,2022-03-01
"66",NA,"MAZ-537",0,1,0,0,1,2022-03-01
"67",NA,"MBT LAW 'NLAW'",3,0,0,0,3,2022-03-01
"68",NA,"Mi-24",0,1,0,0,1,2022-03-01
"69",NA,"Mi-35M",0,1,0,0,1,2022-03-01
"70",NA,"MT-LB",8,5,2,0,15,2022-03-01
"71",NA,"MT-LB Ambulance",0,0,1,0,1,2022-03-01
"72",NA,"MT-LB with ZU-23 AA gun",0,1,0,0,1,2022-03-01
"73",NA,"MT-LBu",1,1,5,1,8,2022-03-01
"74",NA,"P-14 'Tall King'",0,0,0,1,1,2022-03-01
"75",NA,"P-35/37 'Bar Lock'",0,1,0,0,1,2022-03-01
"76",NA,"Pantsir-S1",1,0,0,0,1,2022-03-01
"77",NA,"PMP floating bridge",0,1,0,0,1,2022-03-01
"78",NA,"PRV-13 'Odd Pair'",0,1,0,0,1,2022-03-01
"79",NA,"R-149MA1 unified command and staff vehicle",2,1,1,0,4,2022-03-01
"80",NA,"R-330BMV Borisoglebsk-2B",0,0,0,1,1,2022-03-01
"81",NA,"R-419L1 communications station",0,0,1,0,1,2022-03-01
"82",NA,"Su-25 attack aircraft",0,2,0,0,2,2022-03-01
"83",NA,"Su-25 strike aircraft",0,1,0,0,1,2022-03-01
"84",NA,"Su-27 fighter aircraft",0,2,0,0,2,2022-03-01
"85",NA,"Su-30SM",0,1,0,0,1,2022-03-01
"86",NA,"T-64BV",0,5,6,1,12,2022-03-01
"87",NA,"T-72B",0,1,3,1,5,2022-03-01
"88",NA,"T-72B Obr. 1989",1,0,1,0,2,2022-03-01
"89",NA,"T-72B3",1,2,0,1,4,2022-03-01
"90",NA,"T-72B3M",2,4,4,0,10,2022-03-01
"91",NA,"T-80BV",3,1,3,1,8,2022-03-01
"92",NA,"T-80BVM",0,1,0,0,1,2022-03-01
"93",NA,"T-80U",2,2,8,0,12,2022-03-01
"94",NA,"T-80UD",1,1,1,0,3,2022-03-01
"95",NA,"T-90A",0,2,3,0,5,2022-03-01
"96",NA,"TMM-3 bridge layer",5,1,0,1,7,2022-03-01
"97",NA,"Tor-M2",0,1,1,0,2,2022-03-01
"98",NA,"UAZ-469",1,0,0,0,1,2022-03-01
"99",NA,"Unknown AFV",0,1,0,0,1,2022-03-01
"100",NA,"Unknown BTR",0,0,1,0,1,2022-03-01
"101",NA,"Unknown BTR-D/BMD-2",0,6,0,0,6,2022-03-01
"102",NA,"Unknown communications station",0,1,0,0,1,2022-03-01
