"","country","system","captured","destroyed","abandoned","damaged","total","Date"
"1","Russia","'Orlan-20' reconnaissance UAV",1,2,0,0,3,"06/12/2022"
"2","Russia","(Unknown) truck",11,128,3,5,147,"06/12/2022"
"3","Russia","(Unknown) vehicle",1,26,0,3,30,"06/12/2022"
"4","Russia","100mm MT-12 anti-tank gun",1,1,0,0,2,"06/12/2022"
"5","Russia","120mm 2B11/2S12",5,3,0,0,8,"06/12/2022"
"6","Russia","120mm 2B11/2S12A",1,1,0,0,2,"06/12/2022"
"7","Russia","120mm 2B16 Nona-K howitzer",4,0,3,1,8,"06/12/2022"
"8","Russia","120mm 2S23 Nona-SVK",1,0,0,0,1,"06/12/2022"
"9","Russia","120mm 2S34 Khosta",2,0,0,0,2,"06/12/2022"
"10","Russia","120mm 2S9 Nona",4,3,1,0,8,"06/12/2022"
"11","Russia","122mm 2B17 Tornado-G",2,3,0,0,5,"06/12/2022"
"12","Russia","122mm 2S1 Gvozdika",4,11,1,0,16,"06/12/2022"
"13","Russia","122mm BM-21 Grad",21,22,4,4,51,"06/12/2022"
"14","Russia","122mm D-30 howitzer 2A18",8,1,2,0,11,"06/12/2022"
"15","Russia","152mm 2A65 Msta-B howitzer",9,9,1,3,22,"06/12/2022"
"16","Russia","152mm 2S19 Msta-S",23,21,9,0,53,"06/12/2022"
"17","Russia","152mm 2S3(M) Akatsiya",10,18,6,1,35,"06/12/2022"
"18","Russia","152mm 2S33 Msta-SM2",3,0,0,0,3,"06/12/2022"
"19","Russia","152mm D-20 gun-howitzer",0,1,0,0,1,"06/12/2022"
"20","Russia","1L261 (for 1L260 Zoopark-1M counter-battery radar complex)",1,1,0,0,2,"06/12/2022"
"21","Russia","1L262E Rtut-BM",0,1,0,0,1,"06/12/2022"
"22","Russia","1RL257 Krasukha-4 (command post)",1,0,0,0,1,"06/12/2022"
"23","Russia","1V119 artillery fire direction vehicle",5,2,0,0,7,"06/12/2022"
"24","Russia","1V13(M) battery fire control center",5,4,3,0,12,"06/12/2022"
"25","Russia","1V14 battery command and forward observer vehicle",4,0,1,1,6,"06/12/2022"
"26","Russia","220mm BM-27 Uragan",4,7,0,0,11,"06/12/2022"
"27","Russia","220mm TOS-1A",4,0,0,3,7,"06/12/2022"
"28","Russia","23mm ZU-23",5,2,0,0,7,"06/12/2022"
"29","Russia","240mm 2S4 Tyulpan",0,1,0,0,1,"06/12/2022"
"30","Russia","2K22M1 Tunguska",0,3,4,1,8,"06/12/2022"
"31","Russia","2S1 with ZU-23 AA gun",1,0,0,0,1,"06/12/2022"
"32","Russia","9A310M1-2 TELAR (for Buk-M1-2)",0,2,0,1,3,"06/12/2022"
"33","Russia","9A316 TEL (for Buk-M2)",3,1,0,0,4,"06/12/2022"
"34","Russia","9A317 TELAR (for Buk-M2)",1,5,0,0,6,"06/12/2022"
"35","Russia","9A330 Tor TLAR (for 9K330 Tor)",6,0,2,4,12,"06/12/2022"
"36","Russia","9A331 TLAR (for 9K331 Tor-M1)",1,3,1,0,5,"06/12/2022"
"37","Russia","9A331M TLAR (for 9K332 Tor-M2)",1,1,0,0,2,"06/12/2022"
"38","Russia","9A39M1-2 TEL (for Buk-M1-2)",0,5,0,0,5,"06/12/2022"
"39","Russia","9K33 Osa",2,2,2,1,7,"06/12/2022"
"40","Russia","9K35 Strela-10",4,6,3,0,13,"06/12/2022"
"41","Russia","9P148 Konkurs",0,2,0,0,2,"06/12/2022"
"42","Russia","9P149 Shturm-S",8,4,4,0,16,"06/12/2022"
"43","Russia","9P163M-1 Kornet-T",0,1,0,0,1,"06/12/2022"
"44","Russia","9S18<U+041C>1(-2) (for Buk-M2)",1,0,0,0,1,"06/12/2022"
"45","Russia","9S18<U+041C>1(-3) (for Buk-M3)",0,1,0,0,1,"06/12/2022"
"46","Russia","9S36 (for Buk-M2)",1,1,0,0,2,"06/12/2022"
"47","Russia","9S470M1 (or variant thereof) command post (for Buk-M1/2)",0,1,0,0,1,"06/12/2022"
"48","Russia","9S932-2 intelligence, control and command vehicle (for Barnaul-T)",0,0,1,0,1,"06/12/2022"
"49","Russia","9T217 transloader (for 9K33 Osa)",1,1,0,0,2,"06/12/2022"
"50","Russia","9T244 transloader (for 9A330/1 Tor)",1,1,0,1,3,"06/12/2022"
"51","Russia","9T452 transporter-loader (for BM-27 'Uragan' MRL)",5,10,0,0,15,"06/12/2022"
"52","Russia","APE-5 command post",0,1,0,0,1,"06/12/2022"
"53","Russia","An-26 transport aircraft",0,1,0,0,1,"06/12/2022"
"54","Russia","Armoured SUV",1,0,0,1,2,"06/12/2022"
"55","Russia","BAT-2 heavy engineering vehicle",2,2,0,0,4,"06/12/2022"
"56","Russia","BMD-1KSh-A command vehicle",0,2,0,0,2,"06/12/2022"
"57","Russia","BMD-2",42,57,7,4,110,"06/12/2022"
"58","Russia","BMD-4M",12,24,1,0,37,"06/12/2022"
"59","Russia","BMK-130M/BMK-150 towing and motor boat",1,0,1,0,2,"06/12/2022"
"60","Russia","BMK-460 towing and motor boat",0,2,5,0,7,"06/12/2022"
"61","Russia","BMO-T",0,1,0,0,1,"06/12/2022"
"62","Russia","BMP-1(P)",21,49,9,5,84,"06/12/2022"
"63","Russia","BMP-1AM",0,4,3,1,8,"06/12/2022"
"64","Russia","BMP-1KSh command and staff vehicle",3,3,0,0,6,"06/12/2022"
"65","Russia","BMP-2(K)",66,173,28,12,279,"06/12/2022"
"66","Russia","BMP-3",39,56,1,7,103,"06/12/2022"
"67","Russia","BREM-1 armoured recovery vehicle",8,0,3,0,11,"06/12/2022"
"68","Russia","BREM-2 armoured recovery vehicle",1,0,0,0,1,"06/12/2022"
"69","Russia","BREM-Ch ''BREM-4'' armoured recovery vehicle",1,3,1,0,5,"06/12/2022"
"70","Russia","BREM-K armoured recovery vehicle",2,0,0,0,2,"06/12/2022"
"71","Russia","BRM-1K reconnaissance vehicle",1,8,0,0,9,"06/12/2022"
"72","Russia","BTR-60PU-12M air defence command vehicle",1,0,0,0,1,"06/12/2022"
"73","Russia","BTR-70",0,1,0,0,1,"06/12/2022"
"74","Russia","BTR-80",29,24,6,4,63,"06/12/2022"
"75","Russia","BTR-82A(M)",53,86,10,10,159,"06/12/2022"
"76","Russia","BTR-D",21,13,7,1,42,"06/12/2022"
"77","Russia","BTR-MDM 'Rakushka'",7,2,0,1,10,"06/12/2022"
"78","Russia","BTR-ZD Skrezhet",2,1,0,0,3,"06/12/2022"
"79","Russia","BTS-4A armoured recovery vehicle",1,0,0,0,1,"06/12/2022"
"80","Russia","Barnaul-T 9<U+0421>932-1 automated system for air defence units",4,0,1,0,5,"06/12/2022"
"81","Russia","Civilian KamAZ 6x6 converted for military use",2,1,0,0,3,"06/12/2022"
"82","Russia","Eleron-3 reconnaissance UAV",9,1,0,0,10,"06/12/2022"
"83","Russia","Fara ground surveillance radar",1,0,0,0,1,"06/12/2022"
"84","Russia","Forpost reconnaissance UAV",0,1,0,0,1,"06/12/2022"
"85","Russia","Fuel train",0,2,0,0,2,"06/12/2022"
"86","Russia","GAZ Sobol",0,1,1,0,2,"06/12/2022"
"87","Russia","GAZ Tigr",2,3,1,0,6,"06/12/2022"
"88","Russia","GAZ Tigr-M",27,45,3,5,80,"06/12/2022"
"89","Russia","GAZ-3308",0,1,3,0,4,"06/12/2022"
