"","country","system","abandoned","damaged","captured","destroyed","total","Date"
"71","Ukraine","1 Forpost-RU",0,0,0,1,1,"02/28/2024"
"72","Ukraine","1 GAZ-3307",0,0,0,1,1,"02/28/2024"
"73","Ukraine","1 GAZ-3937 Vodnik",0,0,1,0,1,"02/28/2024"
"74","Ukraine","1 GAZ-51",0,0,1,0,1,"02/28/2024"
"75","Ukraine","1 GAZ-66 with Zu-23-2",0,0,0,1,1,"02/28/2024"
"76","Ukraine","1 Granat-3",0,0,0,1,1,"02/28/2024"
"77","Ukraine","1 Grifon-12",0,0,1,0,1,"02/28/2024"
"78","Ukraine","1 HMMWV with MRLS",0,0,0,1,1,"02/28/2024"
"79","Ukraine","1 IMR-1 combat engineering vehicle",0,0,0,1,1,"02/28/2024"
"80","Ukraine","1 IRM 'Zhuk' engineer reconnaissance vehicle",0,0,1,0,1,"02/28/2024"
"81","Ukraine","1 Iveco Magirus 90-16 AW 4x4",0,0,0,1,1,"02/28/2024"
"82","Ukraine","1 KamAZ 8x8 tanker",0,0,0,1,1,"02/28/2024"
"83","Ukraine","1 KamAZ Patrol",0,0,0,1,1,"02/28/2024"
"84","Ukraine","1 KamAZ tank low-loader",0,0,0,1,1,"02/28/2024"
"85","Ukraine","1 KamAZ-63501 with KS-55729-7M 32-ton crane",0,0,0,1,1,"02/28/2024"
"86","Ukraine","1 KrAZ-214",0,0,0,1,1,"02/28/2024"
"87","Ukraine","1 KrAZ-255B with KS-3575 crane",0,0,0,1,1,"02/28/2024"
"88","Ukraine","1 KrAZ-260 KT-L recovery vehicle",0,0,0,1,1,"02/28/2024"
"89","Ukraine","1 KrAZ-6322 Master mobile workshop",0,0,1,0,1,"02/28/2024"
"90","Ukraine","1 KrAZ-65055",0,0,0,1,1,"02/28/2024"
"91","Ukraine","1 KrAZ-Forpost",0,0,0,1,1,"02/28/2024"
"92","Ukraine","1 LAV Super Bison",0,0,0,1,1,"02/28/2024"
"93","Ukraine","1 Lancet loitering munition launcher and control station",0,0,0,1,1,"02/28/2024"
"94","Ukraine","1 Leopard 1A5",0,1,0,0,1,"02/28/2024"
"95","Ukraine","1 M1150 Assault Breacher",0,0,0,1,1,"02/28/2024"
"96","Ukraine","1 M1A1 SA Abrams",0,0,0,1,1,"02/28/2024"
"97","Ukraine","1 M58 MICLIC mine clearing system",0,0,0,1,1,"02/28/2024"
"98","Ukraine","1 MAN KAT 4x4",0,0,0,1,1,"02/28/2024"
"99","Ukraine","1 MAZ AC-8-500A Tanker",0,0,0,1,1,"02/28/2024"
"100","Ukraine","1 MAZ TZ-500 tanker",0,0,0,1,1,"02/28/2024"
"101","Ukraine","1 MT-LB with 14.5mm 2M-7 naval gun mount",0,0,1,0,1,"02/28/2024"
"102","Ukraine","1 MT-LB with 25mm 2M-3 naval gun",0,0,0,1,1,"02/28/2024"
"103","Ukraine","1 MT-LB with 85mm D-44 gun",0,0,0,1,1,"02/28/2024"
"104","Ukraine","1 MT-LB with AZP S-60 AA gun",0,0,0,1,1,"02/28/2024"
"105","Ukraine","1 MT-LB with BPU-1 turret",0,0,0,1,1,"02/28/2024"
"106","Ukraine","1 MT-LB-AT",0,0,0,1,1,"02/28/2024"
"107","Ukraine","1 MT-T multi-purpose tracked transporter",0,1,0,0,1,"02/28/2024"
"108","Ukraine","1 MTO-AG-3M mobile workshop",0,0,0,1,1,"02/28/2024"
"109","Ukraine","1 MTO-UB2 maintenance vehicle",0,0,0,1,1,"02/28/2024"
"110","Ukraine","1 Mobile generator for Podlet-K1 low-altitude S-band surveillance radar",0,0,0,1,1,"02/28/2024"
"111","Ukraine","1 NASAMS launcher",0,0,0,1,1,"02/28/2024"
"112","Ukraine","1 Oncilla",0,0,0,1,1,"02/28/2024"
"113","Ukraine","1 Orlan-10 UAV control station",0,0,0,1,1,"02/28/2024"
"114","Ukraine","1 P-18T surveillance radar",0,0,0,1,1,"02/28/2024"
"115","Ukraine","1 P-240 digital communications vehicle",0,0,0,1,1,"02/28/2024"
"116","Ukraine","1 P-260 Redut-2US communication system",0,0,0,1,1,"02/28/2024"
"117","Ukraine","1 P-37 'Mech' early warning radar",0,0,1,0,1,"02/28/2024"
"118","Ukraine","1 PAK-200M mobile field kitchen",0,0,1,0,1,"02/28/2024"
"119","Ukraine","1 PRP-4A Argus artillery reconnaissance vehicle",0,0,1,0,1,"02/28/2024"
"120","Ukraine","1 PRV-16ML height-finder radar",0,0,0,1,1,"02/28/2024"
"121","Ukraine","1 PZM-2 trench-digging vehicle",0,0,1,0,1,"02/28/2024"
"122","Ukraine","1 Plastun-SN",0,0,0,1,1,"02/28/2024"
"123","Ukraine","1 Predel coastal defence radar",0,0,0,1,1,"02/28/2024"
"124","Ukraine","1 Primoco One 150",0,0,0,1,1,"02/28/2024"
"125","Ukraine","1 Project 1176 Ondatra-class landing craft",0,1,0,0,1,"02/28/2024"
"126","Ukraine","1 Project 12411 Tarantul-III-class corvette",0,0,0,1,1,"02/28/2024"
"127","Ukraine","1 Project 1258 Yevgenya-class minesweeper",0,0,0,1,1,"02/28/2024"
"128","Ukraine","1 Project 22800 Karakurt-class corvette",0,0,0,1,1,"02/28/2024"
"129","Ukraine","1 Project 266M Natya-class minesweeper",0,1,0,0,1,"02/28/2024"
"130","Ukraine","1 Project 58181 Centaur-class fast assault boat",0,0,0,1,1,"02/28/2024"
"131","Ukraine","1 Quantum Vector UAV",0,0,0,1,1,"02/28/2024"
"132","Ukraine","1 R-145BM command vehicle",0,0,1,0,1,"02/28/2024"
