"","country","system","captured","destroyed","abandoned","damaged","total","Date"
"1","Russia","(Unknown) vehicle",1,6,0,0,7,2022-03-17
"2","Russia","100mm MT-12 anti-tank gun",1,0,0,0,1,2022-03-17
"3","Russia","120mm 2B11/2S12",4,0,0,0,4,2022-03-17
"4","Russia","120mm 2B11/2S12A",1,0,0,0,1,2022-03-17
"5","Russia","120mm 2B16 Nona-K howitzer",1,0,1,0,2,2022-03-17
"6","Russia","120mm 2S34 Khosta",1,0,0,0,1,2022-03-17
"7","Russia","120mm 2S9 Nona",3,1,1,0,5,2022-03-17
"8","Russia","122mm 2B17 Tornado-G",0,1,0,0,1,2022-03-17
"9","Russia","122mm 2S1 Gvozdika",2,2,1,0,5,2022-03-17
"10","Russia","122mm BM-21 'Grad'",9,5,4,1,19,2022-03-17
"11","Russia","122mm D-30 howitzer 2A18",3,1,3,0,7,2022-03-17
"12","Russia","152mm 2A65 Msta-B howitzer",1,3,1,2,7,2022-03-17
"13","Russia","152mm 2S19 Msta-S",4,4,9,0,17,2022-03-17
"14","Russia","152mm 2S3 Akatsiya",1,2,2,0,5,2022-03-17
"15","Russia","152mm 2S33 Msta-SM2",1,0,0,0,1,2022-03-17
"16","Russia","1V119 artillery battalion fire direction vehicle",3,1,0,0,4,2022-03-17
"17","Russia","1V13 battery fire control center",1,0,1,0,2,2022-03-17
"18","Russia","220mm BM-27 'Uragan'",2,3,0,0,5,2022-03-17
"19","Russia","220mm TOS-1A",1,0,0,0,1,2022-03-17
"20","Russia","23mm ZU-23",2,0,0,0,2,2022-03-17
"21","Russia","2K22M1 Tunguska",0,2,5,1,8,2022-03-17
"22","Russia","2S1 with ZU-23 AA gun",1,0,0,0,1,2022-03-17
"23","Russia","9A310M1 TELAR (for Buk-M1-2)",0,2,0,1,3,2022-03-17
"24","Russia","9A310M2 TELAR (for Buk-M2)",0,3,0,0,3,2022-03-17
"25","Russia","9A330 Tor TLAR (for 9K330 Tor-M)",2,0,2,1,5,2022-03-17
"26","Russia","9A331 TLAR (for 9K331 Tor-M1)",1,2,1,0,4,2022-03-17
"27","Russia","9A331M TLAR (for 9K332 Tor-M2)",1,1,0,0,2,2022-03-17
"28","Russia","9A39M1 TEL (for Buk-M1-2)",0,1,0,0,1,2022-03-17
"29","Russia","9A39M2 TEL (for Buk-M2)",0,1,0,0,1,2022-03-17
"30","Russia","9K33 Osa",2,2,2,1,7,2022-03-17
"31","Russia","9K333 Verba",1,0,0,0,1,2022-03-17
"32","Russia","9K35 Strela-10",1,0,3,0,4,2022-03-17
"33","Russia","9K38 Igla",4,0,0,0,4,2022-03-17
"34","Russia","9M111 Fagot",3,0,0,0,3,2022-03-17
"35","Russia","9M113 Konkurs",14,0,0,0,14,2022-03-17
"36","Russia","9M113M Konkurs-M",1,0,0,0,1,2022-03-17
"37","Russia","9M114 Kokon",0,0,2,0,2,2022-03-17
