"","country","system","destroyed","abandoned","captured","damaged","total","Date"
"1","Russia","'Orlan-20' reconnaissance UAV",1,0,0,0,1,"05/05/2022"
"2","Russia","(Unknown) truck",101,2,11,4,118,"05/05/2022"
"3","Russia","(Unknown) vehicle",25,0,1,2,28,"05/05/2022"
"4","Russia","100mm MT-12 anti-tank gun",0,0,1,0,1,"05/05/2022"
"5","Russia","120mm 2B11/2S12",4,0,5,0,9,"05/05/2022"
"6","Russia","120mm 2B11/2S12A",0,0,1,0,1,"05/05/2022"
"7","Russia","120mm 2B16 Nona-K howitzer",0,3,3,1,7,"05/05/2022"
"8","Russia","120mm 2S23 Nona-SVK",0,0,1,0,1,"05/05/2022"
"9","Russia","120mm 2S34 Khosta",0,0,2,0,2,"05/05/2022"
"10","Russia","120mm 2S9 Nona",2,1,4,0,7,"05/05/2022"
"11","Russia","122mm 2B17 Tornado-G",3,0,2,0,5,"05/05/2022"
"12","Russia","122mm 2S1 Gvozdika",7,1,3,0,11,"05/05/2022"
"13","Russia","122mm BM-21 'Grad'",15,4,19,3,41,"05/05/2022"
"14","Russia","122mm D-30 howitzer 2A18",1,2,8,0,11,"05/05/2022"
"15","Russia","152mm 2A65 Msta-B howitzer",7,1,9,3,20,"05/05/2022"
"16","Russia","152mm 2S19 Msta-S",21,10,19,1,51,"05/05/2022"
"17","Russia","152mm 2S3 Akatsiya",13,6,8,1,28,"05/05/2022"
"18","Russia","152mm 2S33 Msta-SM2",0,0,3,0,3,"05/05/2022"
"19","Russia","1L261 (for 1L260 Zoopark-1M counter-battery radar complex)",1,0,1,0,2,"05/05/2022"
"20","Russia","1L262E Rtut-BM",1,0,0,0,1,"05/05/2022"
"21","Russia","1RL257 Krasukha-4 (command post)",0,0,1,0,1,"05/05/2022"
"22","Russia","1V119 artillery fire direction vehicle",2,0,5,0,7,"05/05/2022"
"23","Russia","1V13 battery fire control center",3,3,3,0,9,"05/05/2022"
"24","Russia","1V14 battery command and forward observer vehicle",0,1,3,1,5,"05/05/2022"
"25","Russia","220mm BM-27 'Uragan'",7,0,4,0,11,"05/05/2022"
"26","Russia","220mm TOS-1A",0,1,4,3,8,"05/05/2022"
"27","Russia","23mm ZU-23",2,0,4,0,6,"05/05/2022"
"28","Russia","2K22M1 Tunguska",2,4,1,2,9,"05/05/2022"
"29","Russia","2S1 with ZU-23 AA gun",0,0,1,0,1,"05/05/2022"
"30","Russia","9A310M1-2 TELAR (for Buk-M1-2)",2,0,0,1,3,"05/05/2022"
"31","Russia","9A316 TEL (for Buk-M2)",1,0,3,0,4,"05/05/2022"
"32","Russia","9A317 TELAR (for Buk-M2)",5,0,1,0,6,"05/05/2022"
"33","Russia","9A330 Tor TLAR (for 9K330 Tor)",0,2,6,4,12,"05/05/2022"
"34","Russia","9A331 TLAR (for 9K331 Tor-M1)",2,1,1,0,4,"05/05/2022"
"35","Russia","9A331M TLAR (for 9K332 Tor-M2)",1,0,1,0,2,"05/05/2022"
"36","Russia","9A39M1-2 TEL (for Buk-M1-2)",5,0,0,0,5,"05/05/2022"
"37","Russia","9K33 Osa",2,2,2,1,7,"05/05/2022"
"38","Russia","9K35 Strela-10",4,3,3,0,10,"05/05/2022"
"39","Russia","9P149 Shturm-S ATGM carrier",3,3,5,0,11,"05/05/2022"
"40","Russia","9P163M-1 'Kornet-T' ATGM carrier",1,0,0,0,1,"05/05/2022"
"41","Russia","9S18<U+041C>1(-2) (for Buk-M2)",0,0,1,0,1,"05/05/2022"
"42","Russia","9S18<U+041C>1(-3) (for Buk-M3)",1,0,0,0,1,"05/05/2022"
"43","Russia","9S36 (for Buk-M2)",1,0,1,0,2,"05/05/2022"
"44","Russia","9S470M1 (or variant thereof) command post (for Buk-M1/2)",1,0,0,0,1,"05/05/2022"
"45","Russia","9S932-2 intelligence, control and command vehicle (for Barnaul-T)",0,1,0,0,1,"05/05/2022"
"46","Russia","9T217 transloader (for 9K33 Osa)",1,0,1,0,2,"05/05/2022"
"47","Russia","9T244 transloader (for 9A330/1 Tor)",1,0,1,1,3,"05/05/2022"
"48","Russia","9T452 transporter-loader (for BM-27 'Uragan' MRL)",7,0,5,0,12,"05/05/2022"
"49","Russia","APE-5 command post",1,0,0,0,1,"05/05/2022"
"50","Russia","An-26 transport aircraft",1,0,0,0,1,"05/05/2022"
"51","Russia","Armoured SUV",0,0,1,1,2,"05/05/2022"
"52","Russia","BAT-2 heavy engineering vehicle",2,0,1,0,3,"05/05/2022"
"53","Russia","BMD-1KSh-A command vehicle",2,0,0,0,2,"05/05/2022"
"54","Russia","BMD-2",50,7,42,2,101,"05/05/2022"
"55","Russia","BMD-4M",23,1,11,0,35,"05/05/2022"
"56","Russia","BMK-130M/BMK-150 towing and motor boat",0,1,1,0,2,"05/05/2022"
"57","Russia","BMO-T",1,0,0,0,1,"05/05/2022"
"58","Russia","BMP-1(P)",24,1,15,2,42,"05/05/2022"
"59","Russia","BMP-1KSh command and staff vehicle",2,0,3,0,5,"05/05/2022"
"60","Russia","BMP-2",143,24,59,10,236,"05/05/2022"
"61","Russia","BMP-2K",0,1,0,0,1,"05/05/2022"
"62","Russia","BMP-3",47,0,36,4,87,"05/05/2022"
"63","Russia","BREM-1 armoured recovery vehicle",0,1,7,0,8,"05/05/2022"
"64","Russia","BREM-2 armoured recovery vehicle",0,0,1,0,1,"05/05/2022"
"65","Russia","BREM-Ch ''BREM-4'' armoured recovery vehicle",3,1,1,0,5,"05/05/2022"
"66","Russia","BREM-K armoured recovery vehicle",0,0,2,0,2,"05/05/2022"
"67","Russia","BRM-1K",8,0,2,0,10,"05/05/2022"
"68","Russia","BTR-60PU-12M air defence command vehicle",0,0,1,0,1,"05/05/2022"
"69","Russia","BTR-70",1,0,0,0,1,"05/05/2022"
"70","Russia","BTR-80",20,6,27,3,56,"05/05/2022"
"71","Russia","BTR-82A",77,8,50,8,143,"05/05/2022"
"72","Russia","BTR-D",12,7,21,1,41,"05/05/2022"
"73","Russia","BTR-MDM 'Rakushka'",2,0,7,1,10,"05/05/2022"
"74","Russia","BTR-ZD 'Skrezhet'",1,0,2,0,3,"05/05/2022"
"75","Russia","BTS-4A armoured recovery vehicle",0,0,1,0,1,"05/05/2022"
"76","Russia","Barnaul-T 9<U+0421>932-1 automated system for air defence units",0,1,4,0,5,"05/05/2022"
"77","Russia","Civilian KamAZ 6x6 converted for military use",1,0,2,0,3,"05/05/2022"
"78","Russia","E95M target drone (likely used as unmanned bait in order for Ukraine to reveal the location of air defence systems)",0,0,1,0,1,"05/05/2022"
"79","Russia","Eleron-3 reconnaissance UAV",0,0,6,0,6,"05/05/2022"
"80","Russia","Fara ground surveillance radar",0,0,1,0,1,"05/05/2022"
"81","Russia","Forpost reconnaissance UAV",1,0,0,0,1,"05/05/2022"
"82","Russia","Fuel train",2,0,0,0,2,"05/05/2022"
"83","Russia","GAZ Sobol",1,1,0,0,2,"05/05/2022"
"84","Russia","GAZ Tigr",3,1,2,0,6,"05/05/2022"
"85","Russia","GAZ Tigr-M",42,3,26,5,76,"05/05/2022"
"86","Russia","GAZ-3308",0,3,0,0,3,"05/05/2022"
"87","Russia","GAZ-3344-20 'Aleut' articulated tracked carrier",2,0,0,0,2,"05/05/2022"
"88","Russia","GAZ-66",5,1,6,0,12,"05/05/2022"
"89","Russia","GMZ-3 minelayer",0,0,1,0,1,"05/05/2022"
"90","Russia","IMR-2 combat engineering vehicle",2,2,5,0,9,"05/05/2022"
"91","Russia","IMR-3 combat engineering vehicle",0,0,1,0,1,"05/05/2022"
"92","Russia","Iveco LMV 'Rys'",16,1,3,2,22,"05/05/2022"
"93","Russia","K-53949 'Linza'",1,0,3,0,4,"05/05/2022"
"94","Russia","K-53949 'Typhoon-K'",5,1,2,0,8,"05/05/2022"
"95","Russia","KBLA-IVT target drone (likely used as unmanned bait in order for Ukraine to reveal the location of air defence systems)",1,0,0,0,1,"05/05/2022"
