"","country","system","abandoned","captured","destroyed","damaged","total","Date"
"1",NA,"100mm MT-12 anti-tank gun",1,0,0,0,1,2022-03-02
"2",NA,"120mm 2B11/2S12",0,1,0,0,1,2022-03-02
"3",NA,"120mm 2B11/2S12A",0,1,0,0,1,2022-03-02
"4",NA,"120mm 2S9 Nona",1,0,1,0,2,2022-03-02
"5",NA,"122mm 2B17 Tornado-G",0,0,1,0,1,2022-03-02
"6",NA,"122mm 2S1 Gvozdika",1,3,2,0,6,2022-03-02
"7",NA,"122mm BM-21 'Grad'",1,3,2,1,7,2022-03-02
"8",NA,"122mm D-30 howitzer 2A18",2,0,0,0,2,2022-03-02
"9",NA,"152mm 2A65 Msta-B howitzer",2,2,2,1,7,2022-03-02
"10",NA,"152mm 2S19 Msta-S",4,1,0,0,5,2022-03-02
"11",NA,"152mm 2S3 Akatsiya",2,0,1,0,3,2022-03-02
"12",NA,"1L22 'Parol'",0,0,1,1,2,2022-03-02
"13",NA,"1V119 artillery battalion fire direction vehicle",0,1,0,0,1,2022-03-02
"14",NA,"1V13 battery fire control center",1,0,0,0,1,2022-03-02
"15",NA,"220mm TOS-1A",0,1,0,0,1,2022-03-02
"16",NA,"2K22M1 Tunguska",2,1,0,1,4,2022-03-02
"17",NA,"2S1 with ZU-23 AA gun",0,1,0,0,1,2022-03-02
"18",NA,"5P85D (launcher for S-300PS)",0,0,1,0,1,2022-03-02
"19",NA,"9A310M1 TELAR (for Buk-M1-2)",0,0,1,1,2,2022-03-02
"20",NA,"9A310M2 TELAR (for Buk-M2)",0,0,1,0,1,2022-03-02
"21",NA,"9A39M1 TEL (for Buk-M1-2)",0,0,1,0,1,2022-03-02
"22",NA,"9A39M2 TEL (for Buk-M2)",0,0,1,0,1,2022-03-02
"23",NA,"9K310 Igla-1",0,2,0,0,2,2022-03-02
"24",NA,"9K33 Osa",1,2,4,0,7,2022-03-02
"25",NA,"9K35 Strela-10",3,1,1,0,5,2022-03-02
"26",NA,"9K38 Igla",0,2,0,0,2,2022-03-02
"27",NA,"9M113 Konkurs",0,3,0,0,3,2022-03-02
"28",NA,"9M114 Kokon",0,1,0,0,1,2022-03-02
"29",NA,"9P148 Konkurs ATGM carrier",0,1,2,0,3,2022-03-02
"30",NA,"9P149 Shturm-S ATGM carrier",1,0,1,0,2,2022-03-02
"31",NA,"9T452 transporter-loader (for BM-27 'Uragan' MRL)",0,0,1,0,1,2022-03-02
"32",NA,"9М131F Metis-M1",0,1,0,0,1,2022-03-02
"33",NA,"An-26 transport aircraft",0,0,2,0,2,2022-03-02
"34",NA,"BAT-2 heavy engineering vehicle",0,0,1,0,1,2022-03-02
"35",NA,"BMD-2",5,3,2,2,12,2022-03-02
"36",NA,"BMD-4M",1,1,1,0,3,2022-03-02
"37",NA,"BMP-1",5,0,3,1,9,2022-03-02
"38",NA,"BMP-1(P)",0,3,0,0,3,2022-03-02
"39",NA,"BMP-1Khs",1,0,0,0,1,2022-03-02
"40",NA,"BMP-2",10,5,8,4,27,2022-03-02
"41",NA,"BMP-2K",1,0,0,0,1,2022-03-02
"42",NA,"BMP-3",2,4,0,0,6,2022-03-02
"43",NA,"BRDM-2",8,3,3,0,14,2022-03-02
"44",NA,"BREM-K armoured recovery vehicle",0,2,0,0,2,2022-03-02
"45",NA,"BRM-1K",0,2,1,1,4,2022-03-02
"46",NA,"BSEM-4K",0,0,1,0,1,2022-03-02
"47",NA,"BTR-3",0,1,1,0,2,2022-03-02
"48",NA,"BTR-4",1,2,5,0,8,2022-03-02
"49",NA,"BTR-60",0,1,0,0,1,2022-03-02
"50",NA,"BTR-70",1,3,0,0,4,2022-03-02
"51",NA,"BTR-80",2,7,4,0,13,2022-03-02
"52",NA,"BTR-82A",5,5,5,2,17,2022-03-02
"53",NA,"BTR-D",7,1,4,0,12,2022-03-02
"54",NA,"BTR-MDM",0,1,0,0,1,2022-03-02
"55",NA,"Buk-M1",0,0,1,0,1,2022-03-02
"56",NA,"E95M (likely used as unmanned bait in order for Ukraine to reveal the location of air defence systems)",0,1,0,0,1,2022-03-02
"57",NA,"Fuel train",0,0,2,0,2,2022-03-02
"58",NA,"GAZ Sobol",1,0,1,0,2,2022-03-02
"59",NA,"GAZ Tigr-M",1,6,9,1,17,2022-03-02
"60",NA,"GAZ Tigr-M with Arbalet-DM turret",0,0,1,0,1,2022-03-02
"61",NA,"GAZ-3308",2,0,0,0,2,2022-03-02
"62",NA,"GAZ-66",3,4,2,3,12,2022-03-02
"63",NA,"HMMWV",0,0,1,0,1,2022-03-02
"64",NA,"IMR-2 combat engineering vehicle",0,0,1,0,1,2022-03-02
"65",NA,"Iveco LMV 'Rys'",1,1,3,0,5,2022-03-02
"66",NA,"Ka-52 'Alligator'",2,0,1,2,5,2022-03-02
"67",NA,"KamAZ",0,0,1,0,1,2022-03-02
"68",NA,"KamAZ 6x6",13,15,34,2,64,2022-03-02
"69",NA,"KamAZ Avtozaks",0,1,1,0,2,2022-03-02
"70",NA,"KamAZ-5350 with crane",0,0,1,0,1,2022-03-02
"71",NA,"KamAZ-5350 with EOV-3523 excavator",0,3,1,0,4,2022-03-02
"72",NA,"KamAZ-5350 with KS-45719-7M crane",0,0,1,0,1,2022-03-02
"73",NA,"KamAZ-6350 8x8 artillery tractor",0,2,2,2,6,2022-03-02
"74",NA,"KamAZ-63968 Typhoon",0,2,1,0,3,2022-03-02
"75",NA,"Kozak-2",1,0,1,0,2,2022-03-02
"76",NA,"KrAZ-6322",0,5,1,0,6,2022-03-02
"77",NA,"MAZ",1,0,6,1,8,2022-03-02
"78",NA,"MAZ-537",0,0,1,0,1,2022-03-02
"79",NA,"MBT LAW 'NLAW'",0,3,0,0,3,2022-03-02
"80",NA,"Mi-24",0,0,1,0,1,2022-03-02
"81",NA,"Mi-35M",0,0,1,0,1,2022-03-02
"82",NA,"MP-2IM signals vehicle",1,0,0,0,1,2022-03-02
"83",NA,"MT-LB",7,11,8,0,26,2022-03-02
"84",NA,"MT-LB Ambulance",1,0,0,0,1,2022-03-02
"85",NA,"MT-LB with ZU-23 AA gun",0,0,1,0,1,2022-03-02
"86",NA,"MT-LBu",4,2,3,1,10,2022-03-02
"87",NA,"MZKT-74295 tank transporter",0,0,1,0,1,2022-03-02
"88",NA,"P-14 'Tall King'",0,0,0,1,1,2022-03-02
"89",NA,"P-35/37 'Bar Lock'",0,0,1,0,1,2022-03-02
"90",NA,"Pantsir-S1",0,1,1,0,2,2022-03-02
"91",NA,"PMP floating bridge",0,0,2,0,2,2022-03-02
"92",NA,"PRV-13 'Odd Pair'",0,0,1,0,1,2022-03-02
"93",NA,"R-149MA1 unified command and staff vehicle",1,2,1,0,4,2022-03-02
"94",NA,"R-166-0.5 signals vehicle",1,0,0,0,1,2022-03-02
"95",NA,"R-330BMV Borisoglebsk-2B",0,0,0,1,1,2022-03-02
"96",NA,"R-419L1 communications station",1,0,0,0,1,2022-03-02
"97",NA,"Su-25 attack aircraft",0,0,2,0,2,2022-03-02
"98",NA,"Su-25 strike aircraft",0,0,2,0,2,2022-03-02
"99",NA,"Su-27 fighter aircraft",0,0,2,0,2,2022-03-02
"100",NA,"Su-30SM",0,0,1,0,1,2022-03-02
"101",NA,"T-64BV",7,2,6,1,16,2022-03-02
"102",NA,"T-72A",0,1,0,0,1,2022-03-02
"103",NA,"T-72B",3,1,2,1,7,2022-03-02
"104",NA,"T-72B Obr. 1989",1,1,0,0,2,2022-03-02
"105",NA,"T-72B3",0,1,2,1,4,2022-03-02
"106",NA,"T-72B3M",6,3,6,0,15,2022-03-02
"107",NA,"T-80BV",3,3,1,1,8,2022-03-02
"108",NA,"T-80BVM",0,2,1,0,3,2022-03-02
"109",NA,"T-80U",9,2,3,0,14,2022-03-02
"110",NA,"T-80UD",1,1,1,0,3,2022-03-02
"111",NA,"T-90A",2,0,2,0,4,2022-03-02
"112",NA,"TMM-3 bridge layer",2,4,1,1,8,2022-03-02
"113",NA,"Tor-M2",0,1,1,0,2,2022-03-02
"114",NA,"UAZ Patriot",1,0,0,0,1,2022-03-02
"115",NA,"UAZ-469",0,1,0,0,1,2022-03-02
"116",NA,"Unknown AFV",0,0,1,0,1,2022-03-02
"117",NA,"Unknown BTR",1,0,0,0,1,2022-03-02
"118",NA,"Unknown BTR-D/BMD-2",0,0,6,0,6,2022-03-02
"119",NA,"Unknown communications station",0,0,1,0,1,2022-03-02
"120",NA,"Unknown communications station based on the KamAZ 6x6",0,1,0,1,2,2022-03-02
"121",NA,"Unknown Mi-24/35",0,0,1,1,2,2022-03-02
"122",NA,"Unknown tank",1,0,0,0,1,2022-03-02
"123",NA,"Unknown truck",3,3,8,2,16,2022-03-02
"124",NA,"Unknown vehicle",0,0,3,0,3,2022-03-02
"125",NA,"UR-77 'Meterorit'",1,0,0,0,1,2022-03-02
"126",NA,"Ural Federal",3,0,1,0,4,2022-03-02
"127",NA,"Ural-375D",0,1,1,0,2,2022-03-02
"128",NA,"Ural-4320",7,26,15,3,51,2022-03-02
"129",NA,"Ural-4320 Wrecker",0,1,0,1,2,2022-03-02
"130",NA,"Ural-43206",1,3,1,0,5,2022-03-02
"131",NA,"Varta",0,5,0,0,5,2022-03-02
"132",NA,"ZiL-131",3,0,3,0,6,2022-03-02
