"","country","system","captured","damaged","destroyed","abandoned","total","Date"
"1","Russia","100mm MT-12 anti-tank gun",8,6,25,0,39,"05/24/2026"
"2","Russia","107mm Type 75 towed MRL",0,2,9,0,11,"05/24/2026"
"3","Russia","120mm 2B16 Nona-K gun mortar",8,4,3,2,17,"05/24/2026"
"4","Russia","120mm 2S23 Nona-SVK",3,0,11,0,14,"05/24/2026"
"5","Russia","120mm 2S34 Khosta",2,0,2,0,4,"05/24/2026"
"6","Russia","120mm 2S9 Nona",5,5,73,0,83,"05/24/2026"
"7","Russia","122mm 2B17 Tornado-G",8,5,11,0,24,"05/24/2026"
"8","Russia","122mm 2B26 Grad-K",0,1,7,0,8,"05/24/2026"
"9","Russia","122mm 2S1 Gvozdika",8,3,157,1,169,"05/24/2026"
"10","Russia","122mm 9P138 Grad-1",1,6,34,0,41,"05/24/2026"
"11","Russia","122mm 9P139 (for 9K55 'Grad-1')",0,0,2,0,2,"05/24/2026"
"12","Russia","122mm BM-21 Grad",34,24,252,3,313,"05/24/2026"
"13","Russia","122mm D-30 howitzer",16,48,112,2,178,"05/24/2026"
"14","Russia","122mm D-74 field gun",0,1,2,0,3,"05/24/2026"
"15","Russia","122mm howitzer M1938 (M-30)",0,1,0,0,1,"05/24/2026"
"16","Russia","130mm M-46 field gun",0,1,8,0,9,"05/24/2026"
"17","Russia","152mm 2A36 Giatsint-B field-gun",9,10,43,0,62,"05/24/2026"
"18","Russia","152mm 2A65 Msta-B howitzer",33,21,72,1,127,"05/24/2026"
"19","Russia","152mm 2S19 Msta-S",32,14,196,5,247,"05/24/2026"
"20","Russia","152mm 2S3(M) Akatsiya",30,9,146,3,188,"05/24/2026"
"21","Russia","152mm 2S33 Msta-SM2",17,4,33,0,54,"05/24/2026"
"22","Russia","152mm 2S43 Malva",0,1,2,0,3,"05/24/2026"
"23","Russia","152mm 2S44 Giatsint-K",0,0,1,0,1,"05/24/2026"
"24","Russia","152mm 2S5 Giatsint-S",5,8,76,0,89,"05/24/2026"
"25","Russia","152mm D-20 gun-howitzer",2,14,37,0,53,"05/24/2026"
"26","Russia","170mm Chuch'ep'o (M-1989 'Koksan')",0,0,2,0,2,"05/24/2026"
"27","Russia","1B44-1 (for RPMK-1 'Ulybka' radiosonde weather radar)",0,0,1,0,1,"05/24/2026"
"28","Russia","1K148 ""Yastreb-AV"" artillery reconnaissance complex",0,2,4,0,6,"05/24/2026"
"29","Russia","1L119 Nebo-SVU VHF multi-functional radar",0,2,2,0,4,"05/24/2026"
"30","Russia","1L125 'Niobium-SV' multi-functional radar",0,0,1,0,1,"05/24/2026"
"31","Russia","1L259 (for Zoopark-1 counter-battery radar complex)",0,2,5,0,7,"05/24/2026"
"32","Russia","1L261 (for 1L260 Zoopark-1M counter-battery radar complex)",2,5,8,0,15,"05/24/2026"
"33","Russia","1L262E Rtut-BM",0,0,1,0,1,"05/24/2026"
"34","Russia","1L271 Aistyonok portable mortar locating reconnaissance radar",1,0,2,0,3,"05/24/2026"
"35","Russia","1RL110 P-35 'Saturn' or 1RL139 P-37 'Mech' radar",0,0,1,0,1,"05/24/2026"
"36","Russia","1RL131-2 P-18-2 'Prima' early warning radar",0,0,1,0,1,"05/24/2026"
"37","Russia","1RL239 Ark-1(M) counter-battery radar",0,0,1,0,1,"05/24/2026"
"38","Russia","1RL257 Krasukha-4 (command post)",1,0,0,0,1,"05/24/2026"
"39","Russia","1V1003 command and observation vehicle (for 1V198 artillery fire control system)",1,0,0,0,1,"05/24/2026"
"40","Russia","1V110 BM-21 Grad battery command vehicle",2,0,1,0,3,"05/24/2026"
"41","Russia","1V119 artillery fire direction vehicle",8,0,4,0,12,"05/24/2026"
"42","Russia","1V12(M) 'Mashina-S'/'Faltset' fire control system",0,0,3,0,3,"05/24/2026"
"43","Russia","1V125/145 PRP-4(M) 'Nard'/'Deyteriy' artillery reconnaissance vehicle",0,0,7,0,7,"05/24/2026"
"44","Russia","1V13(M) battery fire control center",14,1,11,2,28,"05/24/2026"
"45","Russia","1V14 battery command and forward observer vehicle",12,1,7,1,21,"05/24/2026"
"46","Russia","1V15M fire control and observation vehicle",0,0,2,0,2,"05/24/2026"
"47","Russia","1V16 battalion fire direction vehicle",1,0,1,0,2,"05/24/2026"
"48","Russia","1V18 'Klyon-1' artillery command and forward observer vehicle",0,0,6,0,6,"05/24/2026"
"49","Russia","1Zh3 PRP-3 'Val' artillery reconnaissance vehicle",0,0,7,0,7,"05/24/2026"
"50","Russia","203 T-72B Obr. 2022",1,29,159,39,228,"05/24/2026"
"51","Russia","203mm 2S7(M) Pion/Malka",1,5,34,0,40,"05/24/2026"
"52","Russia","220mm 9K57-1 'Uragan-1'",0,0,3,0,3,"05/24/2026"
"53","Russia","220mm BM-27 Uragan",8,4,74,0,86,"05/24/2026"
"54","Russia","220mm TOS-1A",3,8,27,0,38,"05/24/2026"
"55","Russia","23mm ZU-23-2",16,1,6,0,23,"05/24/2026"
"56","Russia","240mm 2S4 Tyulpan",0,3,59,0,62,"05/24/2026"
"57","Russia","240mm Chuch'e (M-1991)",0,0,1,0,1,"05/24/2026"
"58","Russia","240mm Chuch'e (M-2024)",0,0,1,0,1,"05/24/2026"
"59","Russia","2F510 transport vehicle for 2S12 'Sani' mortar on Ural-43206 chassis",0,0,13,0,13,"05/24/2026"
"60","Russia","2F77M transloading vehicle for 2K22M Tunguska-M",1,1,0,0,2,"05/24/2026"
"61","Russia","2K22M1 Tunguska",1,3,9,3,16,"05/24/2026"
"62","Russia","2S1 with ZU-23 AA gun",1,0,0,0,1,"05/24/2026"
"63","Russia","300mm 9A54 combat vehicle (for 9K515 'Tornado-S')",0,0,1,0,1,"05/24/2026"
"64","Russia","300mm BM-30 Smerch",0,1,6,0,7,"05/24/2026"
"65","Russia","36D6 ST-68U surveillance radar",0,2,0,0,2,"05/24/2026"
"66","Russia","39N6 'Kasta-2E2' surveillance radar",0,1,0,0,1,"05/24/2026"
"67","Russia","3S55 K-340P TEL (for 3K55 K300P 'Bastion-P')",0,0,1,0,1,"05/24/2026"
"68","Russia","40V6M universal mobile mast",0,0,1,0,1,"05/24/2026"
"69","Russia","48Ya6-K1 Podlet-K1 low-altitude S-band surveillance radar",0,4,3,0,7,"05/24/2026"
"70","Russia","50N6A multi-functional radar (for 50R6A S-350 'Vityaz')",0,0,1,0,1,"05/24/2026"
"71","Russia","50P6E TEL (for S-350)",0,1,0,0,1,"05/24/2026"
"72","Russia","51P6 TEL (launcher for 40R6 S-400 'Triumf')",0,0,1,0,1,"05/24/2026"
"73","Russia","55K6A command post for S-400",0,0,2,0,2,"05/24/2026"
"74","Russia","55Zh6U Nebo-U air surveillance radar",0,3,1,0,4,"05/24/2026"
"75","Russia","57mm AZP S-60",0,0,3,0,3,"05/24/2026"
"76","Russia","5I57(A) diesel power plant or 63T6A converter",0,1,7,0,8,"05/24/2026"
"77","Russia","5N63S <U+201C>Flap Lid B<U+201D> engagement and tracking radar of the S-300",0,0,2,0,2,"05/24/2026"
"78","Russia","5N84A Oborona-14 VHF early warning radar",0,0,1,0,1,"05/24/2026"
"79","Russia","5P85SD/SM (launcher for S-300 PMU(-1))",0,0,2,0,2,"05/24/2026"
"80","Russia","5P85SM2-01 (launcher for S-400)",0,1,21,0,22,"05/24/2026"
"81","Russia","5P85T2 (launcher for S-400)",0,0,1,0,1,"05/24/2026"
"82","Russia","82mm 2B9 Vasilek automatic gun mortar",7,2,13,0,22,"05/24/2026"
"83","Russia","91N6A surveillance and tracking radar (for 40R6 S-400 'Triumf')",0,1,1,0,2,"05/24/2026"
"84","Russia","920mm 9P78-1 (for 9K720 'Iskander')",0,0,3,0,3,"05/24/2026"
"85","Russia","92N6A engagement radar (for S-400)",0,3,7,0,10,"05/24/2026"
"86","Russia","96L6-TsP acquisition radar (for S-400/S-500)",0,0,5,0,5,"05/24/2026"
"87","Russia","9A310M1-2 TELAR (for Buk-M1-2)",0,9,45,0,54,"05/24/2026"
"88","Russia","9A316 TEL (for Buk-M2)",3,0,14,0,17,"05/24/2026"
"89","Russia","9A317 TELAR (for Buk-M2)",1,2,16,0,19,"05/24/2026"
"90","Russia","9A317M TELAR (for Buk-M3)",0,4,13,0,17,"05/24/2026"
"91","Russia","9A330 TLAR (for 9K330 Tor)",7,5,2,0,14,"05/24/2026"
