"","country","system","damaged","captured","abandoned","destroyed","total","Date"
"71","Ukraine","1 GAZ-3937 Vodnik",0,1,0,0,1,"12/27/2023"
"72","Ukraine","1 GAZ-51",0,1,0,0,1,"12/27/2023"
"73","Ukraine","1 Granat-3",0,0,0,1,1,"12/27/2023"
"74","Ukraine","1 Grifon-12",0,1,0,0,1,"12/27/2023"
"75","Ukraine","1 IMR-1 combat engineering vehicle",0,0,0,1,1,"12/27/2023"
"76","Ukraine","1 IRM 'Zhuk' engineer reconnaissance vehicle",0,1,0,0,1,"12/27/2023"
"77","Ukraine","1 Iveco Magirus 90-16 AW 4x4",0,0,0,1,1,"12/27/2023"
"78","Ukraine","1 KamAZ 8x8 tanker",0,0,0,1,1,"12/27/2023"
"79","Ukraine","1 KamAZ Patrol",0,0,0,1,1,"12/27/2023"
"80","Ukraine","1 KamAZ tank low-loader",0,0,0,1,1,"12/27/2023"
"81","Ukraine","1 KamAZ-63501 with KS-55729-7M 32-ton crane",0,0,0,1,1,"12/27/2023"
"82","Ukraine","1 KrAZ-214",0,0,0,1,1,"12/27/2023"
"83","Ukraine","1 KrAZ-255B with KS-3575 crane",0,0,0,1,1,"12/27/2023"
"84","Ukraine","1 KrAZ-260 KT-L recovery vehicle",0,0,0,1,1,"12/27/2023"
"85","Ukraine","1 KrAZ-6322 Master mobile workshop",0,1,0,0,1,"12/27/2023"
"86","Ukraine","1 KrAZ-Forpost",0,0,0,1,1,"12/27/2023"
"87","Ukraine","1 Lancet loitering munition launcher and control station",0,0,0,1,1,"12/27/2023"
"88","Ukraine","1 Leopard 1A5",1,0,0,0,1,"12/27/2023"
"89","Ukraine","1 MAZ AC-8-500A Tanker",0,0,0,1,1,"12/27/2023"
"90","Ukraine","1 MAZ TZ-500 tanker",0,0,0,1,1,"12/27/2023"
"91","Ukraine","1 MT-LB with 14.5mm 2M-7 naval gun mount",0,1,0,0,1,"12/27/2023"
"92","Ukraine","1 MT-LB with 25mm 2M-3 naval gun",0,0,0,1,1,"12/27/2023"
"93","Ukraine","1 MT-LB with 85mm D-44 gun",0,0,0,1,1,"12/27/2023"
"94","Ukraine","1 MT-LB with AZP S-60 AA gun",0,0,0,1,1,"12/27/2023"
"95","Ukraine","1 MT-LB with BPU-1 turret",0,0,0,1,1,"12/27/2023"
"96","Ukraine","1 MT-T multi-purpose tracked transporter",1,0,0,0,1,"12/27/2023"
"97","Ukraine","1 MTO-AG-3M mobile workshop",0,0,0,1,1,"12/27/2023"
"98","Ukraine","1 MTO-UB2 maintenance vehicle",0,0,0,1,1,"12/27/2023"
"99","Ukraine","1 Mi-17V5",0,0,0,1,1,"12/27/2023"
"100","Ukraine","1 Mobile generator for Podlet-K1 low-altitude S-band surveillance radar",0,0,0,1,1,"12/27/2023"
"101","Ukraine","1 Oncilla",0,0,0,1,1,"12/27/2023"
"102","Ukraine","1 Orlan-10 UAV control station",0,0,0,1,1,"12/27/2023"
"103","Ukraine","1 P-18T surveillance radar",0,0,0,1,1,"12/27/2023"
"104","Ukraine","1 P-240 digital communications vehicle",0,0,0,1,1,"12/27/2023"
"105","Ukraine","1 P-260 Redut-2US communication system",0,0,0,1,1,"12/27/2023"
"106","Ukraine","1 PRP-4A Argus artillery reconnaissance vehicle",0,1,0,0,1,"12/27/2023"
"107","Ukraine","1 PRV-16ML height-finder radar",0,0,0,1,1,"12/27/2023"
"108","Ukraine","1 PZM-2 trench-digging vehicle",0,1,0,0,1,"12/27/2023"
"109","Ukraine","1 Plastun-SN",0,0,0,1,1,"12/27/2023"
"110","Ukraine","1 Predel coastal defence radar",0,0,0,1,1,"12/27/2023"
"111","Ukraine","1 Primoco One 150",0,0,0,1,1,"12/27/2023"
"112","Ukraine","1 Project 1176 Ondatra-class landing craft",1,0,0,0,1,"12/27/2023"
"113","Ukraine","1 Project 1258 Yevgenya-class minesweeper",0,0,0,1,1,"12/27/2023"
"114","Ukraine","1 Project 22800 Karakurt-class corvette",0,0,0,1,1,"12/27/2023"
"115","Ukraine","1 Project 266M Natya-class minesweeper",1,0,0,0,1,"12/27/2023"
"116","Ukraine","1 Project 58181 Centaur-class fast assault boat",0,0,0,1,1,"12/27/2023"
"117","Ukraine","1 Punisher",0,0,0,1,1,"12/27/2023"
"118","Ukraine","1 Quantum Vector UAV",0,0,0,1,1,"12/27/2023"
"119","Ukraine","1 R-145BM command vehicle",0,1,0,0,1,"12/27/2023"
"120","Ukraine","1 R-145BMA command vehicle",0,1,0,1,2,"12/27/2023"
"121","Ukraine","1 R-149BMRg command and signals vehicle",0,0,0,1,1,"12/27/2023"
"122","Ukraine","1 R-161 signals vehicle",0,0,0,1,1,"12/27/2023"
"123","Ukraine","1 R-325BMV jamming station",0,0,0,1,1,"12/27/2023"
"124","Ukraine","1 R-330M1P Diabazol",0,0,0,1,1,"12/27/2023"
"125","Ukraine","1 R-405M radio station vehicle",0,0,0,1,1,"12/27/2023"
"126","Ukraine","1 R-409A radio station vehicle",0,0,0,1,1,"12/27/2023"
"127","Ukraine","1 R-441 SatCom station",0,0,0,1,1,"12/27/2023"
"128","Ukraine","1 R-845 radio station",0,0,0,1,1,"12/27/2023"
"129","Ukraine","1 RP-377LA Lorandit",0,0,0,1,1,"12/27/2023"
"130","Ukraine","1 RQ-35 Heidrun",0,0,0,1,1,"12/27/2023"
"131","Ukraine","1 Radio relay station for the TB2 UCAV",0,0,0,1,1,"12/27/2023"
"132","Ukraine","1 Renault TRM-2000",0,0,0,1,1,"12/27/2023"
"133","Ukraine","1 SkyGuard Aspide control station",0,0,0,1,1,"12/27/2023"
"134","Ukraine","1 Sobolyatnik 1L277 portable ground reconnaissance radar",0,0,0,1,1,"12/27/2023"
