"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","row_id","Date"
"1","Russia","All Types",18697,1221,3171,944,24033,1,"2026-01-28"
"2","Russia","Losses excluding Recon Drones, UGVs, and Trucks - 18705, of which: destroyed: 14432, damaged: 834, abandoned: 1165, captured: 2261",14432,1165,2261,834,18692,2,"2026-01-28"
"3","Russia","Losses of Armoured Combat Vehicles [Tanks, AFVs, IFVs, APCs, and MRAPs] - 13889, of which: destroyed: 10898, damaged: 378, abandoned: 1061, captured: 1552",10898,1061,1552,378,13889,3,"2026-01-28"
"4","Russia","Tanks",3231,398,540,159,4328,4,"2026-01-28"
"5","Russia","Armoured Fighting Vehicles",1945,126,275,38,2384,5,"2026-01-28"
"6","Russia","Infantry Fighting Vehicles",5103,491,632,158,6384,6,"2026-01-28"
"7","Russia","Armoured Personnel Carriers",568,43,94,18,723,7,"2026-01-28"
"8","Russia","Mine-Resistant Ambush Protected",45,1,11,5,62,8,"2026-01-28"
"9","Russia","Infantry Mobility Vehicles",333,12,52,18,415,9,"2026-01-28"
"10","Russia","Command Posts And Communications Stations",218,4,86,5,313,10,"2026-01-28"
"11","Russia","Engineering Vehicles And Equipment",442,63,155,50,710,11,"2026-01-28"
"12","Russia","Unmanned Ground Vehicles",49,0,0,2,51,12,"2026-01-28"
"13","Russia","Self-Propelled Anti-Tank Missile Systems",22,4,20,1,47,13,"2026-01-28"
"14","Russia","Artillery and Missile Support Vehicles And Equipment",109,1,60,2,172,14,"2026-01-28"
"15","Russia","Towed Artillery",339,5,99,102,545,15,"2026-01-28"
"16","Russia","Self-Propelled Artillery",827,7,108,53,995,16,"2026-01-28"
"17","Russia","Rocket and Missile Artillery",449,2,54,45,550,17,"2026-01-28"
"18","Russia","Anti-Aircraft Guns",46,0,19,1,66,18,"2026-01-28"
"19","Russia","Self-Propelled Anti-Aircraft Guns",17,2,7,2,28,19,"2026-01-28"
"20","Russia","Surface-To-Air Missile Systems",280,4,24,64,372,20,"2026-01-28"
"21","Russia","Radars",70,0,10,32,112,21,"2026-01-28"
"22","Russia","Jammers And Deception Systems",71,0,10,13,94,22,"2026-01-28"
"23","Russia","Aircraft",150,0,0,24,174,23,"2026-01-28"
"24","Russia","Helicopters",132,0,2,32,166,24,"2026-01-28"
"25","Russia","Unmanned Combat Aerial Vehicles",17,0,3,1,21,25,"2026-01-28"
"26","Russia","Reconnaissance Unmanned Aerial Vehicles",451,1,323,0,775,26,"2026-01-28"
"27","Russia","Naval Ships and Submarines",21,0,0,8,29,27,"2026-01-28"
"28","Russia","Trucks, Vehicles, Jeeps, and Trains",3750,55,585,108,4498,28,"2026-01-28"
"29","Ukraine","All Types",8572,634,1402,625,11233,1,"2026-01-28"
"30","Ukraine","Losses excluding Recon Drones, UGVs, and Trucks - 9279, of which: destroyed: 7048, damaged: 583, abandoned: 611, captured: 983",7048,611,983,583,9225,2,"2026-01-28"
"31","Ukraine","Losses of Armoured Combat Vehicles [Tanks, AFVs, IFVs, APCs, and MRAPs] - 5559, of which: destroyed: 4216, damaged: 249, abandoned: 466, captured: 628",4216,466,628,249,5559,3,"2026-01-28"
"32","Ukraine","Tanks",1053,100,149,84,1386,4,"2026-01-28"
"33","Ukraine","Armoured Fighting Vehicles",392,15,86,16,509,5,"2026-01-28"
"34","Ukraine","Infantry Fighting Vehicles",1155,143,167,67,1532,6,"2026-01-28"
"35","Ukraine","Armoured Personnel Carriers",936,136,161,40,1273,7,"2026-01-28"
"36","Ukraine","Mine-Resistant Ambush Protected",681,73,65,40,859,8,"2026-01-28"
"37","Ukraine","Infantry Mobility Vehicles",1193,93,173,52,1511,9,"2026-01-28"
"38","Ukraine","Command Posts And Communications Stations",63,11,10,0,84,10,"2026-01-28"
"39","Ukraine","Engineering Vehicles And Equipment",178,31,36,25,270,11,"2026-01-28"
"40","Ukraine","Unmanned Ground Vehicles",139,4,1,3,147,12,"2026-01-28"
"41","Ukraine","Self-Propelled Anti-Tank Missile Systems",7,1,10,1,19,13,"2026-01-28"
"42","Ukraine","Self-Propelled Anti-Tank Missile Systems",7,1,10,1,19,14,"2026-01-28"
"43","Ukraine","Artillery and Missile Support Vehicles And Equipment",22,0,13,0,35,15,"2026-01-28"
"44","Ukraine","Towed Artillery",150,3,22,85,260,16,"2026-01-28"
"45","Ukraine","Self-Propelled Artillery",648,1,26,89,764,17,"2026-01-28"
"46","Ukraine","Rocket and Missile Artillery",71,0,9,20,100,18,"2026-01-28"
"47","Ukraine","Anti-Aircraft Guns",1,0,7,0,8,19,"2026-01-28"
"48","Ukraine","Self-Propelled Anti-Aircraft Guns",38,1,4,5,48,20,"2026-01-28"
"49","Ukraine","Surface-To-Air Missile Systems
",150,1,6,19,176,21,"2026-01-28"
"50","Ukraine","Radars And Communications Equipment",106,1,14,22,143,22,"2026-01-28"
"51","Ukraine","Jammers And Deception Systems",7,0,1,2,10,23,"2026-01-28"
"52","Ukraine","Aircraft",108,0,1,4,113,24,"2026-01-28"
"53","Ukraine","Helicopters",48,0,3,3,54,25,"2026-01-28"
"54","Ukraine","Unmanned Combat Aerial Vehicles",28,0,1,0,29,26,"2026-01-28"
"55","Ukraine","Reconnaissance Unmanned Aerial Vehicles",340,0,212,1,553,27,"2026-01-28"
"56","Ukraine","Naval Ships",15,0,19,8,42,28,"2026-01-28"
"57","Ukraine","Trucks, Vehicles, and Jeeps",1045,18,206,38,1307,29,"2026-01-28"
