"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","row_id","Date"
"1","Russia","All Types",15499,1132,3014,861,20506,1,"2025-02-23"
"2","Russia","Losses excluding Recon Drones and Trucks - 16072, of which: destroyed: 11999, damaged: 758, abandoned: 1079, captured: 2236",11999,1079,2236,758,16072,2,"2025-02-23"
"3","Russia","Losses of Armoured Combat Vehicles [Tanks, AFVs, IFVs, APCs, and MRAPs] - 11908, of which: destroyed: 9021, damaged: 367, abandoned: 984, captured: 1536",9021,984,1536,367,11908,3,"2025-02-23"
"4","Russia","Tanks",2702,380,534,157,3773,4,"2025-02-23"
"5","Russia","Armoured Fighting Vehicles",1519,108,271,35,1933,5,"2025-02-23"
"6","Russia","Infantry Fighting Vehicles",4299,452,628,152,5531,6,"2025-02-23"
"7","Russia","Armoured Personnel Carriers",462,43,92,18,615,7,"2025-02-23"
"8","Russia","Mine-Resistant Ambush Protected",39,1,11,5,56,8,"2025-02-23"
"9","Russia","Infantry Mobility Vehicles",275,10,51,18,354,9,"2025-02-23"
"10","Russia","Command Posts And Communications Stations",205,2,86,5,298,10,"2025-02-23"
"11","Russia","Engineering Vehicles And Equipment",368,58,154,45,625,11,"2025-02-23"
"12","Russia","Unmanned Ground Vehicles",5,0,0,0,5,12,"2025-02-23"
"13","Russia","Self-Propelled Anti-Tank Missile Systems",21,4,20,1,46,13,"2025-02-23"
"14","Russia","Artillery Support Vehicles And Equipment",74,1,55,0,130,14,"2025-02-23"
"15","Russia","Towed Artillery",261,5,98,90,454,15,"2025-02-23"
"16","Russia","Self-Propelled Artillery",726,7,109,48,890,16,"2025-02-23"
"17","Russia","Multiple Rocket Launchers",369,2,54,40,465,17,"2025-02-23"
"18","Russia","Anti-Aircraft Guns",39,0,18,1,58,18,"2025-02-23"
"19","Russia","Self-Propelled Anti-Aircraft Guns",16,2,7,2,27,19,"2025-02-23"
"20","Russia","Surface-To-Air Missile Systems",221,4,24,51,300,20,"2025-02-23"
"21","Russia","Radars",58,0,10,24,92,21,"2025-02-23"
"22","Russia","Jammers And Deception Systems",66,0,9,12,87,22,"2025-02-23"
"23","Russia","Aircraft",120,0,0,16,136,23,"2025-02-23"
"24","Russia","Helicopters",119,0,2,30,151,24,"2025-02-23"
"25","Russia","Unmanned Combat Aerial Vehicles",14,0,3,1,18,25,"2025-02-23"
"26","Russia","Reconnaissance Unmanned Aerial Vehicles",361,1,199,0,561,26,"2025-02-23"
"27","Russia","Naval Ships and Submarines",21,0,0,7,28,27,"2025-02-23"
"28","Russia","Trucks, Vehicles, and Jeeps",3139,52,579,103,3873,28,"2025-02-23"
"29","Ukraine","All Types",5711,437,1205,557,7910,1,"2025-02-23"
"30","Ukraine","Losses excluding Recon Drones and Trucks - 6361, of which: destroyed: 4572, damaged: 524, abandoned: 421, captured: 844",4572,421,844,524,6361,2,"2025-02-23"
"31","Ukraine","Losses of Armoured Combat Vehicles [Tanks, AFVs, IFVs, APCs, and MRAPs] - 3966, of which: destroyed: 2849, damaged: 231, abandoned: 346, captured: 540",2849,346,540,231,3966,3,"2025-02-23"
"32","Ukraine","Tanks",775,86,140,79,1080,4,"2025-02-23"
"33","Ukraine","Armoured Fighting Vehicles",324,11,86,16,437,5,"2025-02-23"
"34","Ukraine","Infantry Fighting Vehicles",901,116,144,62,1223,6,"2025-02-23"
"35","Ukraine","Armoured Personnel Carriers",534,96,127,36,793,7,"2025-02-23"
"36","Ukraine","Mine-Resistant Ambush Protected",315,37,43,38,433,8,"2025-02-23"
"37","Ukraine","Infantry Mobility Vehicles",508,51,142,43,744,9,"2025-02-23"
"38","Ukraine","Command Posts And Communications Stations",26,5,5,0,36,10,"2025-02-23"
"39","Ukraine","Engineering Vehicles And Equipment",142,12,30,23,207,11,"2025-02-23"
"40","Ukraine","Unmanned Ground Vehicles",1,0,0,0,1,12,"2025-02-23"
"41","Ukraine","Self-Propelled Anti-Tank Missile Systems",7,1,10,0,18,13,"2025-02-23"
"42","Ukraine","Artillery Support Vehicles And Equipment",14,0,13,0,27,14,"2025-02-23"
"43","Ukraine","Towed Artillery",137,3,18,75,233,15,"2025-02-23"
"44","Ukraine","Self-Propelled Artillery",376,0,24,73,473,16,"2025-02-23"
"45","Ukraine","Multiple Rocket Launchers",56,0,9,17,82,17,"2025-02-23"
"46","Ukraine","Anti-Aircraft Guns",0,0,4,0,4,18,"2025-02-23"
"47","Ukraine","Self-Propelled Anti-Aircraft Guns",25,1,4,5,35,19,"2025-02-23"
"48","Ukraine","Surface-To-Air Missile Systems
",140,1,6,19,166,20,"2025-02-23"
"49","Ukraine","Radars And Communications Equipment",100,1,14,21,136,21,"2025-02-23"
"50","Ukraine","Jammers And Deception Systems",5,0,1,2,8,22,"2025-02-23"
"51","Ukraine","Aircraft",98,0,1,4,103,23,"2025-02-23"
"52","Ukraine","Helicopters",46,0,3,3,52,24,"2025-02-23"
"53","Ukraine","Unmanned Combat Aerial Vehicles",28,0,1,0,29,25,"2025-02-23"
"54","Ukraine","Reconnaissance Unmanned Aerial Vehicles",303,0,165,1,469,26,"2025-02-23"
"55","Ukraine","Naval Ships",14,0,19,8,41,27,"2025-02-23"
"56","Ukraine","Trucks, Vehicles, and Jeeps",836,16,196,32,1080,28,"2025-02-23"
