,country,equipment_type,destroyed,abandoned,captured,damaged,type_total,row_id,Date
1,Russia,All Types,9654,618,2902,625,13799,1,2024-01-06
2,Russia,Tanks,1725,205,544,145,2619,2,2024-01-06
3,Russia,Armoured Fighting Vehicles,755,60,271,31,1117,3,2024-01-06
4,Russia,Infantry Fighting Vehicles,2281,215,618,131,3245,4,2024-01-06
5,Russia,Armoured Personnel Carriers,264,19,92,13,388,5,2024-01-06
6,Russia,Mine-Resistant Ambush Protected,36,1,10,4,51,6,2024-01-06
7,Russia,Infantry Mobility Vehicles,167,5,51,11,234,7,2024-01-06
8,Russia,Command Posts And Communications Stations,176,2,83,3,264,8,2024-01-06
9,Russia,Engineering Vehicles And Equipment,191,44,124,13,372,9,2024-01-06
10,Russia,Self-Propelled Anti-Tank Missile Systems,18,4,20,1,43,10,2024-01-06
11,Russia,Artillery Support Vehicles And Equipment,57,2,53,0,112,11,2024-01-06
12,Russia,Towed Artillery,194,5,99,38,336,12,2024-01-06
13,Russia,Self-Propelled Artillery,499,7,107,37,650,13,2024-01-06
14,Russia,Multiple Rocket Launchers,248,2,54,28,332,14,2024-01-06
15,Russia,Anti-Aircraft Guns,27,0,17,0,44,15,2024-01-06
16,Russia,Self-Propelled Anti-Aircraft Guns,15,2,8,1,26,16,2024-01-06
17,Russia,Surface-To-Air Missile Systems,140,4,24,30,198,17,2024-01-06
18,Russia,Radars,35,0,10,5,50,18,2024-01-06
19,Russia,Jammers And Deception Systems,49,0,7,10,66,19,2024-01-06
20,Russia,Aircraft,91,0,0,8,99,20,2024-01-06
21,Russia,Helicopters,104,0,2,28,134,21,2024-01-06
22,Russia,Unmanned Combat Aerial Vehicles,11,0,3,0,14,22,2024-01-06
23,Russia,Reconnaissance Unmanned Aerial Vehicles,180,0,133,0,313,23,2024-01-06
24,Russia,Naval Ships and Submarines,13,0,0,7,20,24,2024-01-06
25,Russia,"Trucks, Vehicles, and Jeeps",2371,47,575,74,3067,25,2024-01-06
26,Ukraine,All Types,3406,197,955,398,4956,1,2024-01-06
27,Ukraine,Tanks,490,49,132,58,729,2,2024-01-06
28,Ukraine,Armoured Fighting Vehicles,246,8,80,11,345,3,2024-01-06
29,Ukraine,Infantry Fighting Vehicles,602,58,114,50,824,4,2024-01-06
30,Ukraine,Armoured Personnel Carriers,241,31,93,25,390,5,2024-01-06
31,Ukraine,Mine-Resistant Ambush Protected,136,19,11,27,193,6,2024-01-06
32,Ukraine,Infantry Mobility Vehicles,251,7,114,32,404,7,2024-01-06
33,Ukraine,Command Posts And Communications Stations,14,0,4,0,18,8,2024-01-06
34,Ukraine,Engineering Vehicles And Equipment,58,7,26,12,103,9,2024-01-06
35,Ukraine,Self-Propelled Anti-Tank Missile Systems,8,1,12,0,21,10,2024-01-06
36,Ukraine,Artillery Support Vehicles And Equipment,11,0,13,0,24,11,2024-01-06
37,Ukraine,Towed Artillery,99,2,18,63,182,12,2024-01-06
38,Ukraine,Self-Propelled Artillery,188,0,23,58,269,13,2024-01-06
39,Ukraine,Multiple Rocket Launchers,35,0,8,9,52,14,2024-01-06
40,Ukraine,Anti-Aircraft Guns,0,0,4,0,4,15,2024-01-06
41,Ukraine,Self-Propelled Anti-Aircraft Guns,2,1,3,1,7,16,2024-01-06
42,Ukraine,"Surface-To-Air Missile Systems
",109,1,6,15,131,17,2024-01-06
43,Ukraine,Radars And Communications Equipment,64,1,11,11,87,18,2024-01-06
44,Ukraine,Jammers And Deception Systems,3,0,1,1,5,19,2024-01-06
45,Ukraine,Aircraft,76,0,1,1,78,20,2024-01-06
46,Ukraine,Helicopters,32,0,3,1,36,21,2024-01-06
47,Ukraine,Unmanned Combat Aerial Vehicles,26,0,0,0,26,22,2024-01-06
48,Ukraine,Reconnaissance Unmanned Aerial Vehicles,147,0,79,1,227,23,2024-01-06
49,Ukraine,Naval Ships,9,0,17,2,28,24,2024-01-06
50,Ukraine,"Trucks, Vehicles, and Jeeps",563,13,182,20,778,25,2024-01-06
