"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","row_id","Date"
"1","Russia","All Types",12537,988,2930,760,17215,1,"2024-08-03"
"2","Russia","Tanks",2251,367,522,156,3296,2,"2024-08-03"
"3","Russia","Armoured Fighting Vehicles",1088,99,272,37,1496,3,"2024-08-03"
"4","Russia","Infantry Fighting Vehicles",3250,367,617,147,4381,4,"2024-08-03"
"5","Russia","Armoured Personnel Carriers",329,34,92,18,473,5,"2024-08-03"
"6","Russia","Mine-Resistant Ambush Protected",39,1,11,5,56,6,"2024-08-03"
"7","Russia","Infantry Mobility Vehicles",200,3,53,14,270,7,"2024-08-03"
"8","Russia","Command Posts And Communications Stations",192,2,85,5,284,8,"2024-08-03"
"9","Russia","Engineering Vehicles And Equipment",314,44,152,22,532,9,"2024-08-03"
"10","Russia","Unmanned Ground Vehicles",3,0,0,0,3,10,"2024-08-03"
"11","Russia","Self-Propelled Anti-Tank Missile Systems",19,4,20,1,44,11,"2024-08-03"
"12","Russia","Artillery Support Vehicles And Equipment",70,1,55,0,126,12,"2024-08-03"
"13","Russia","Towed Artillery",241,5,95,52,393,13,"2024-08-03"
"14","Russia","Self-Propelled Artillery",635,5,109,45,794,14,"2024-08-03"
"15","Russia","Multiple Rocket Launchers",308,2,54,35,399,15,"2024-08-03"
"16","Russia","Anti-Aircraft Guns",33,0,18,1,52,16,"2024-08-03"
"17","Russia","Self-Propelled Anti-Aircraft Guns",14,2,7,2,25,17,"2024-08-03"
"18","Russia","Surface-To-Air Missile Systems",194,4,24,45,267,18,"2024-08-03"
"19","Russia","Radars",47,0,10,20,77,19,"2024-08-03"
"20","Russia","Jammers And Deception Systems",62,0,9,12,83,20,"2024-08-03"
"21","Russia","Aircraft",109,0,0,12,121,21,"2024-08-03"
"22","Russia","Helicopters",107,0,2,30,139,22,"2024-08-03"
"23","Russia","Unmanned Combat Aerial Vehicles",11,0,3,1,15,23,"2024-08-03"
"24","Russia","Reconnaissance Unmanned Aerial Vehicles",246,1,152,0,399,24,"2024-08-03"
"25","Russia","Naval Ships and Submarines",19,0,0,7,26,25,"2024-08-03"
"26","Russia","Trucks, Vehicles, and Jeeps",2756,47,568,93,3464,26,"2024-08-03"
"27","Ukraine","All Types",4394,264,1035,518,6211,1,"2024-08-03"
"28","Ukraine","Tanks",606,65,136,73,880,2,"2024-08-03"
"29","Ukraine","Armoured Fighting Vehicles",283,9,82,15,389,3,"2024-08-03"
"30","Ukraine","Infantry Fighting Vehicles",713,79,123,58,973,4,"2024-08-03"
"31","Ukraine","Armoured Personnel Carriers",330,47,96,31,504,5,"2024-08-03"
"32","Ukraine","Mine-Resistant Ambush Protected",170,16,11,33,230,6,"2024-08-03"
"33","Ukraine","Infantry Mobility Vehicles",310,18,120,41,489,7,"2024-08-03"
"34","Ukraine","Command Posts And Communications Stations",15,0,4,0,19,8,"2024-08-03"
"35","Ukraine","Engineering Vehicles And Equipment",116,8,27,21,172,9,"2024-08-03"
"36","Ukraine","Unmanned Ground Vehicles",1,0,0,0,1,10,"2024-08-03"
"37","Ukraine","Self-Propelled Anti-Tank Missile Systems",7,1,10,0,18,11,"2024-08-03"
"38","Ukraine","Artillery Support Vehicles And Equipment",13,0,13,0,26,12,"2024-08-03"
"39","Ukraine","Towed Artillery",124,2,18,74,218,13,"2024-08-03"
"40","Ukraine","Self-Propelled Artillery",280,0,24,72,376,14,"2024-08-03"
"41","Ukraine","Multiple Rocket Launchers",52,0,9,16,77,15,"2024-08-03"
"42","Ukraine","Anti-Aircraft Guns",0,0,4,0,4,16,"2024-08-03"
"43","Ukraine","Self-Propelled Anti-Aircraft Guns",16,1,3,4,24,17,"2024-08-03"
"44","Ukraine","Surface-To-Air Missile Systems
",137,1,6,18,162,18,"2024-08-03"
"45","Ukraine","Radars And Communications Equipment",93,1,13,21,128,19,"2024-08-03"
"46","Ukraine","Jammers And Deception Systems",4,0,1,2,7,20,"2024-08-03"
"47","Ukraine","Aircraft",93,0,1,3,97,21,"2024-08-03"
"48","Ukraine","Helicopters",43,0,3,1,47,22,"2024-08-03"
"49","Ukraine","Unmanned Combat Aerial Vehicles",26,0,1,0,27,23,"2024-08-03"
"50","Ukraine","Reconnaissance Unmanned Aerial Vehicles",248,0,127,1,376,24,"2024-08-03"
"51","Ukraine","Naval Ships",14,0,19,8,41,25,"2024-08-03"
"52","Ukraine","Trucks, Vehicles, and Jeeps",702,15,184,28,929,26,"2024-08-03"
