"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","row_id","Date"
"1","Russia","All Types",14950,1103,3006,825,19884,1,"2025-01-13"
"2","Russia","Losses excluding Recon Drones and Trucks - 15560, of which: destroyed: 11548, damaged: 725, abandoned: 1052, captured: 2235",11548,1052,2235,725,15560,2,"2025-01-13"
"3","Russia","Losses of Armoured Combat Vehicles [Tanks, AFVs, IFVs, APCs, and MRAPs] - 11516, of which: destroyed: 8651, damaged: 366, abandoned: 964, captured: 1535",8651,964,1535,366,11516,3,"2025-01-13"
"4","Russia","Tanks",2624,375,534,157,3690,4,"2025-01-13"
"5","Russia","Armoured Fighting Vehicles",1442,104,271,35,1852,5,"2025-01-13"
"6","Russia","Infantry Fighting Vehicles",4102,442,627,151,5322,6,"2025-01-13"
"7","Russia","Armoured Personnel Carriers",444,42,92,18,596,7,"2025-01-13"
"8","Russia","Mine-Resistant Ambush Protected",39,1,11,5,56,8,"2025-01-13"
"9","Russia","Infantry Mobility Vehicles",257,6,51,18,332,9,"2025-01-13"
"10","Russia","Command Posts And Communications Stations",204,2,86,5,297,10,"2025-01-13"
"11","Russia","Engineering Vehicles And Equipment",356,56,154,45,611,11,"2025-01-13"
"12","Russia","Unmanned Ground Vehicles",5,0,0,0,5,12,"2025-01-13"
"13","Russia","Self-Propelled Anti-Tank Missile Systems",20,4,20,1,45,13,"2025-01-13"
"14","Russia","Artillery Support Vehicles And Equipment",73,1,55,0,129,14,"2025-01-13"
"15","Russia","Towed Artillery",259,5,98,62,424,15,"2025-01-13"
"16","Russia","Self-Propelled Artillery",704,6,109,47,866,16,"2025-01-13"
"17","Russia","Multiple Rocket Launchers",354,2,54,40,450,17,"2025-01-13"
"18","Russia","Anti-Aircraft Guns",38,0,18,1,57,18,"2025-01-13"
"19","Russia","Self-Propelled Anti-Aircraft Guns",16,2,7,2,27,19,"2025-01-13"
"20","Russia","Surface-To-Air Missile Systems",218,4,24,48,294,20,"2025-01-13"
"21","Russia","Radars",55,0,10,24,89,21,"2025-01-13"
"22","Russia","Jammers And Deception Systems",66,0,9,12,87,22,"2025-01-13"
"23","Russia","Aircraft",118,0,0,16,134,23,"2025-01-13"
"24","Russia","Helicopters",119,0,2,30,151,24,"2025-01-13"
"25","Russia","Unmanned Combat Aerial Vehicles",14,0,3,1,18,25,"2025-01-13"
"26","Russia","Reconnaissance Unmanned Aerial Vehicles",339,1,193,0,533,26,"2025-01-13"
"27","Russia","Naval Ships and Submarines",21,0,0,7,28,27,"2025-01-13"
"28","Russia","Trucks, Vehicles, and Jeeps",3063,50,578,100,3791,28,"2025-01-13"
"29","Ukraine","All Types",5499,379,1161,551,7590,1,"2025-01-13"
"30","Ukraine","Losses excluding Recon Drones and Trucks - 5994, of which: destroyed: 4295, damaged: 520, abandoned: 363, captured: 817",4295,363,817,520,5995,2,"2025-01-13"
"31","Ukraine","Losses of Armoured Combat Vehicles [Tanks, AFVs, IFVs, APCs, and MRAPs] - 3703, of which: destroyed: 2655, damaged: 228, abandoned: 301, captured: 519",2655,301,519,228,3703,3,"2025-01-13"
"32","Ukraine","Tanks",737,80,141,78,1036,4,"2025-01-13"
"33","Ukraine","Armoured Fighting Vehicles",309,11,86,16,422,5,"2025-01-13"
"34","Ukraine","Infantry Fighting Vehicles",852,104,137,61,1154,6,"2025-01-13"
"35","Ukraine","Armoured Personnel Carriers",491,77,116,35,719,7,"2025-01-13"
"36","Ukraine","Mine-Resistant Ambush Protected",282,31,40,38,391,8,"2025-01-13"
"37","Ukraine","Infantry Mobility Vehicles",472,44,138,42,696,9,"2025-01-13"
"38","Ukraine","Command Posts And Communications Stations",23,1,4,0,28,10,"2025-01-13"
"39","Ukraine","Engineering Vehicles And Equipment",139,11,30,23,203,11,"2025-01-13"
"40","Ukraine","Unmanned Ground Vehicles",1,0,0,0,1,12,"2025-01-13"
"41","Ukraine","Self-Propelled Anti-Tank Missile Systems",7,1,10,0,18,13,"2025-01-13"
"42","Ukraine","Artillery Support Vehicles And Equipment",14,0,13,0,27,14,"2025-01-13"
"43","Ukraine","Towed Artillery",134,2,18,75,229,15,"2025-01-13"
"44","Ukraine","Self-Propelled Artillery",351,0,24,73,448,16,"2025-01-13"
"45","Ukraine","Multiple Rocket Launchers",54,0,9,17,80,17,"2025-01-13"
"46","Ukraine","Anti-Aircraft Guns",0,0,4,0,4,18,"2025-01-13"
"47","Ukraine","Self-Propelled Anti-Aircraft Guns",25,1,4,5,35,19,"2025-01-13"
"48","Ukraine","Surface-To-Air Missile Systems
",140,1,6,19,166,20,"2025-01-13"
"49","Ukraine","Radars And Communications Equipment",100,1,13,21,135,21,"2025-01-13"
"50","Ukraine","Jammers And Deception Systems",4,0,1,2,7,22,"2025-01-13"
"51","Ukraine","Aircraft",97,0,1,4,102,23,"2025-01-13"
"52","Ukraine","Helicopters",44,0,3,3,50,24,"2025-01-13"
"53","Ukraine","Unmanned Combat Aerial Vehicles",27,0,1,0,28,25,"2025-01-13"
"54","Ukraine","Reconnaissance Unmanned Aerial Vehicles",296,0,154,1,451,26,"2025-01-13"
"55","Ukraine","Naval Ships",14,0,19,8,41,27,"2025-01-13"
"56","Ukraine","Trucks, Vehicles, and Jeeps",810,16,190,30,1046,28,"2025-01-13"
