"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","Date"
"1","Russia","All Types",1456,234,1041,39,2770,"2022-04-11"
"2","Russia","Tanks",236,40,192,8,476,"2022-04-11"
"3","Russia","Armoured Fighting Vehicles",122,28,106,0,256,"2022-04-11"
"4","Russia","Infantry Fighting Vehicles",291,32,172,2,497,"2022-04-11"
"5","Russia","Armoured Personnel Carriers",31,17,47,1,96,"2022-04-11"
"6","Russia","Mine-Resistant Ambush Protected",11,3,7,0,21,"2022-04-11"
"7","Russia","Infantry Mobility Vehicles",56,5,28,2,91,"2022-04-11"
"8","Russia","Command Posts And Communications Stations",29,8,24,0,61,"2022-04-11"
"9","Russia","Engineering Vehicles And Equipment",31,15,55,0,101,"2022-04-11"
"10","Russia","Heavy Mortars",3,0,8,0,11,"2022-04-11"
"11","Russia","Towed Artillery",10,5,34,4,53,"2022-04-11"
"12","Russia","Self-Propelled Artillery",41,15,37,2,95,"2022-04-11"
"13","Russia","Multiple Rocket Launchers",21,5,22,0,48,"2022-04-11"
"14","Russia","Anti-Aircraft Guns",0,0,4,0,4,"2022-04-11"
"15","Russia","Self-Propelled Anti-Aircraft Guns",5,2,7,0,14,"2022-04-11"
"16","Russia","Surface-To-Air Missile Systems",25,7,18,1,51,"2022-04-11"
"17","Russia","Radars",3,0,6,0,9,"2022-04-11"
"18","Russia","Jammers And Deception Systems",3,0,2,2,7,"2022-04-11"
"19","Russia","Aircraft",19,0,0,1,20,"2022-04-11"
"20","Russia","Helicopters",28,1,1,2,32,"2022-04-11"
"21","Russia","Unmanned Aerial Vehicles",18,0,10,0,28,"2022-04-11"
"22","Russia","Naval Ships",1,0,0,2,3,"2022-04-11"
"23","Russia","Logistics Trains",2,0,0,0,2,"2022-04-11"
"24","Russia","Trucks, Vehicles and Jeeps",484,61,228,14,787,"2022-04-11"
"25","Ukraine","All Types",339,35,342,23,739,"2022-04-11"
"26","Ukraine","Tanks",42,9,51,1,103,"2022-04-11"
"27","Ukraine","Armoured Fighting Vehicles",28,4,39,0,71,"2022-04-11"
"28","Ukraine","Infantry Fighting Vehicles",37,9,33,3,82,"2022-04-11"
"29","Ukraine","Armoured Personnel Carriers",6,2,23,1,32,"2022-04-11"
"30","Ukraine","Infantry Mobility Vehicles",16,1,33,1,51,"2022-04-11"
"31","Ukraine","Engineering Vehicles",2,0,7,0,9,"2022-04-11"
"32","Ukraine","Towed Artillery",8,3,11,3,25,"2022-04-11"
"33","Ukraine","Self-Propelled Artillery",8,1,7,4,20,"2022-04-11"
"34","Ukraine","Multiple Rocket Launchers",10,0,5,0,15,"2022-04-11"
"35","Ukraine","Anti-Aircraft Guns",0,0,2,0,2,"2022-04-11"
"36","Ukraine","Self-Propelled Anti-Aircraft Guns
",0,0,2,0,2,"2022-04-11"
"37","Ukraine","Surface-To-Air Missile Systems
",34,1,5,0,40,"2022-04-11"
"38","Ukraine","Radars And Communications Equipment",9,1,4,3,17,"2022-04-11"
"39","Ukraine","Aircraft",14,0,0,1,15,"2022-04-11"
"40","Ukraine","Helicopters",2,0,1,0,3,"2022-04-11"
"41","Ukraine","Unmanned Aerial Vehicles",10,0,2,0,12,"2022-04-11"
"42","Ukraine","Naval Ships",2,0,12,1,15,"2022-04-11"
"43","Ukraine","Trucks, Vehicles and Jeeps",97,5,117,5,224,"2022-04-11"
