"","country","equipment_type","destroyed","abandoned","captured","damaged","type_total","row_id","Date"
"1","Russia","All Types",11202,900,2903,719,15724,1,"2024-05-09"
"2","Russia","Tanks",2001,329,514,156,3000,2,"2024-05-09"
"3","Russia","Armoured Fighting Vehicles",926,94,267,34,1321,3,"2024-05-09"
"4","Russia","Infantry Fighting Vehicles",2866,329,615,144,3954,4,"2024-05-09"
"5","Russia","Armoured Personnel Carriers",294,27,92,18,431,5,"2024-05-09"
"6","Russia","Mine-Resistant Ambush Protected",39,1,11,5,56,6,"2024-05-09"
"7","Russia","Infantry Mobility Vehicles",172,3,52,14,241,7,"2024-05-09"
"8","Russia","Command Posts And Communications Stations",185,2,85,4,276,8,"2024-05-09"
"9","Russia","Engineering Vehicles And Equipment",257,42,151,17,467,9,"2024-05-09"
"10","Russia","Unmanned Ground Vehicles",3,0,0,0,3,10,"2024-05-09"
"11","Russia","Self-Propelled Anti-Tank Missile Systems",18,4,20,1,43,11,"2024-05-09"
"12","Russia","Artillery Support Vehicles And Equipment",62,1,54,0,117,12,"2024-05-09"
"13","Russia","Towed Artillery",212,5,95,50,362,13,"2024-05-09"
"14","Russia","Self-Propelled Artillery",573,7,108,42,730,14,"2024-05-09"
"15","Russia","Multiple Rocket Launchers",283,2,54,34,373,15,"2024-05-09"
"16","Russia","Anti-Aircraft Guns",30,0,18,1,49,16,"2024-05-09"
"17","Russia","Self-Propelled Anti-Aircraft Guns",14,2,8,2,26,17,"2024-05-09"
"18","Russia","Surface-To-Air Missile Systems",168,4,24,36,232,18,"2024-05-09"
"19","Russia","Radars",42,0,10,16,68,19,"2024-05-09"
"20","Russia","Jammers And Deception Systems",60,0,9,11,80,20,"2024-05-09"
"21","Russia","Aircraft",100,0,0,9,109,21,"2024-05-09"
"22","Russia","Helicopters",105,0,2,30,137,22,"2024-05-09"
"23","Russia","Unmanned Combat Aerial Vehicles",11,0,3,0,14,23,"2024-05-09"
"24","Russia","Reconnaissance Unmanned Aerial Vehicles",216,0,142,0,358,24,"2024-05-09"
"25","Russia","Naval Ships and Submarines",17,0,0,7,24,25,"2024-05-09"
"26","Russia","Trucks, Vehicles, and Jeeps",2548,48,569,88,3253,26,"2024-05-09"
"27","Ukraine","All Types",3964,225,1006,484,5679,1,"2024-05-09"
"28","Ukraine","Tanks",547,61,132,68,808,2,"2024-05-09"
"29","Ukraine","Armoured Fighting Vehicles",270,8,82,14,374,3,"2024-05-09"
"30","Ukraine","Infantry Fighting Vehicles",663,65,122,57,907,4,"2024-05-09"
"31","Ukraine","Armoured Personnel Carriers",291,39,94,30,454,5,"2024-05-09"
"32","Ukraine","Mine-Resistant Ambush Protected",147,15,11,30,203,6,"2024-05-09"
"33","Ukraine","Infantry Mobility Vehicles",283,9,118,38,448,7,"2024-05-09"
"34","Ukraine","Command Posts And Communications Stations",15,0,4,0,19,8,"2024-05-09"
"35","Ukraine","Engineering Vehicles And Equipment",99,7,27,21,154,9,"2024-05-09"
"36","Ukraine","Self-Propelled Anti-Tank Missile Systems",7,1,10,0,18,10,"2024-05-09"
"37","Ukraine","Artillery Support Vehicles And Equipment",13,0,13,0,26,11,"2024-05-09"
"38","Ukraine","Towed Artillery",110,2,18,71,201,12,"2024-05-09"
"39","Ukraine","Self-Propelled Artillery",239,0,24,71,334,13,"2024-05-09"
"40","Ukraine","Multiple Rocket Launchers",39,0,9,14,62,14,"2024-05-09"
"41","Ukraine","Anti-Aircraft Guns",0,0,4,0,4,15,"2024-05-09"
"42","Ukraine","Self-Propelled Anti-Aircraft Guns",10,1,3,2,16,16,"2024-05-09"
"43","Ukraine","Surface-To-Air Missile Systems
",124,1,6,16,147,17,"2024-05-09"
"44","Ukraine","Radars And Communications Equipment",79,1,13,15,108,18,"2024-05-09"
"45","Ukraine","Jammers And Deception Systems",4,0,1,2,7,19,"2024-05-09"
"46","Ukraine","Aircraft",83,0,1,2,86,20,"2024-05-09"
"47","Ukraine","Helicopters",40,0,3,1,44,21,"2024-05-09"
"48","Ukraine","Unmanned Combat Aerial Vehicles",26,0,1,0,27,22,"2024-05-09"
"49","Ukraine","Reconnaissance Unmanned Aerial Vehicles",203,0,108,1,312,23,"2024-05-09"
"50","Ukraine","Naval Ships",14,0,19,8,41,24,"2024-05-09"
"51","Ukraine","Trucks, Vehicles, and Jeeps",658,14,183,23,878,25,"2024-05-09"
