"","country","origin","system","status","url","date_recorded","sysID","imageID","statusID","matID","Date"
"30","Russia","Soviet Union","T-72AV","destroyed","https://i.postimg.cc/nrvf8dH7/75.jpg","2022-04-25",3,29,1,"7-3291","04/25/2022"
"156","Russia","Russia","T-72B Obr. 1989","destroyed","https://i.postimg.cc/prRKZ776/3321.jpg","2022-04-25",5,148,1,"7-51481","04/25/2022"
"180","Russia","Russia","T-72B Obr. 1989","captured","https://i.postimg.cc/wMkxsvDr/658.jpg","2022-04-25",5,168,3,"7-51683","04/25/2022"
"222","Russia","Russia","T-72B3","destroyed","https://i.postimg.cc/jjGLnTqr/554.jpg","2022-04-25",7,210,1,"7-72101","04/25/2022"
"223","Russia","Russia","T-72B3","destroyed","https://i.postimg.cc/0jvjZCJW/555.jpg","2022-04-25",7,211,1,"7-72111","04/25/2022"
"412","Russia","Russia","T-80U","destroyed","https://i.postimg.cc/vTqM1th1/v1.png","2022-04-25",10,387,1,"7-103871","04/25/2022"
"554","Russia","Russia","Unknown tank","destroyed","https://twitter.com/UAWeapons/status/1518654601611956229","2022-04-25",16,522,1,"7-165221","04/25/2022"
"555","Russia","Russia","Unknown tank","destroyed","https://twitter.com/UAWeapons/status/1518654644544802818","2022-04-25",16,523,1,"7-165231","04/25/2022"
"556","Russia","Russia","Unknown tank","destroyed","https://i.postimg.cc/9Q7zDbgR/g12.jpg","2022-04-25",16,524,1,"7-165241","04/25/2022"
"557","Russia","Russia","Unknown tank","destroyed","https://i.postimg.cc/pTqLw6r7/g11.jpg","2022-04-25",16,525,1,"7-165251","04/25/2022"
"558","Russia","Russia","Unknown tank","destroyed","https://i.postimg.cc/NGkncwgL/333.jpg","2022-04-25",16,526,1,"7-165261","04/25/2022"
"1115","Russia","Soviet Union","BMP-2","captured","https://i.postimg.cc/zvvMssWV/221.jpg","2022-04-25",39,1057,3,"7-3910573","04/25/2022"
"1152","Russia","Russia","BMP-3","destroyed","https://postimg.cc/pyns9btm","2022-04-25",41,1094,1,"7-4110941","04/25/2022"
"1153","Russia","Russia","BMP-3","destroyed","https://i.postimg.cc/NjKXKp8m/7766.jpg","2022-04-25",41,1095,1,"7-4110951","04/25/2022"
"1240","Russia","Soviet Union","BMD-2","destroyed","https://i.postimg.cc/Hs4Pk04p/443.png","2022-04-25",43,1177,1,"7-4311771","04/25/2022"
"1290","Russia","Soviet Union","BMD-2","captured","https://i.postimg.cc/V6rj0wxq/56.png","2022-04-25",43,1223,3,"7-4312233","04/25/2022"
"1392","Russia","Russia","BTR-82A","destroyed","https://i.postimg.cc/7hK7jc4t/d2.jpg","2022-04-25",45,1323,1,"7-4513231","04/25/2022"
