"","country","origin","system","status","url","sysID","imageID","statusID","matID","Date"
"7","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/P5zgmnd2/680.png",4,7,3,"7-473","2022-03-05"
"10","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/7LsDvrGm/b900.png",4,9,3,"7-493","2022-03-05"
"11","Russia","Soviet Union","T-72B","damaged","https://i.postimg.cc/5yfXPMZp/d47.png",4,10,1,"7-4101","2022-03-05"
"16","Russia","Soviet Union","T-72B","damaged","https://i.postimg.cc/W1mgwXF2/5gjj.png",4,14,1,"7-4141","2022-03-05"
"17","Russia","Soviet Union","T-72B","captured","https://i.postimg.cc/W1mgwXF2/5gjj.png",4,14,2,"7-4142","2022-03-05"
"21","Russia","Soviet Union","T-72B","captured","https://i.postimg.cc/HxqJby2G/488.png",4,18,2,"7-4182","2022-03-05"
"22","Russia","Soviet Union","T-72B","captured","https://i.postimg.cc/3Jk4mgVW/659.png",4,19,2,"7-4192","2022-03-05"
"45","Russia","Russia","T-72B3 Obr. 2016","captured","https://i.postimg.cc/cJfQLSyB/653.png",7,41,2,"7-7412","2022-03-05"
"46","Russia","Russia","T-72B3 Obr. 2016","captured","https://i.postimg.cc/CLV1kbgs/335.png",7,42,2,"7-7422","2022-03-05"
"48","Russia","Russia","T-72B3 Obr. 2016","captured","https://i.postimg.cc/2SLnLCmB/659.png",7,44,2,"7-7442","2022-03-05"
"53","Russia","Russia","T-72B3 Obr. 2016","captured","https://i.postimg.cc/QxbX7PSj/bo.jpg",7,49,2,"7-7492","2022-03-05"
"74","Russia","Russia","T-80U","abandoned","https://i.postimg.cc/90L44nrM/f58.png",9,69,4,"7-9694","2022-03-05"
"85","Russia","Russia","T-80U","captured","https://i.postimg.cc/HxYDSTTS/542.png",9,79,2,"7-9792","2022-03-05"
"86","Russia","Russia","T-80U","captured","https://i.postimg.cc/NFhVD8bY/659.png",9,80,2,"7-9802","2022-03-05"
"97","Russia","Russia","T-80BVM","captured","https://i.postimg.cc/pLG98wSz/3h.png",11,90,2,"7-11902","2022-03-05"
