"","country","origin","system","status","url","date_recorded","sysID","imageID","statusID","matID","Date"
"247","Russia","Russia","T-72B3","destroyed","https://twitter.com/UAWeapons/status/1523290805762686976","2022-05-08",7,234,1,"7-72341","05/08/2022"
"302","Russia","Russia","T-72B3","captured","https://i.postimg.cc/HnfR93tH/d1d.jpg","2022-05-08",7,287,3,"7-72873","05/08/2022"
"405","Russia","Soviet Union","T-80BV","destroyed","https://i.postimg.cc/W39PgMKb/63f.jpg","2022-05-08",9,384,1,"7-93841","05/08/2022"
"406","Russia","Soviet Union","T-80BV","destroyed","https://i.postimg.cc/ZRypGcSC/6529.png","2022-05-08",9,385,1,"7-93851","05/08/2022"
"424","Russia","Soviet Union","T-80BV","captured","https://i.postimg.cc/CxXtTwB7/g5.jpg","2022-05-08",9,399,3,"7-93993","05/08/2022"
"505","Russia","Russia","T-80BVM","destroyed","https://i.postimg.cc/0jpdhfs9/r2.jpg","2022-05-08",14,474,1,"7-144741","05/08/2022"
"674","Russia","Soviet Union","MT-LB","destroyed","https://i.postimg.cc/g2wrJ0xZ/652g.jpg","2022-05-08",19,640,1,"7-196401","05/08/2022"
"753","Russia","Soviet Union","MT-LBVM and MT-LBVMK","destroyed","https://postimg.cc/DSY3kXtc","2022-05-08",20,718,1,"7-207181","05/08/2022"
"805","Russia","Soviet Union","MT-LBVM and MT-LBVMK","captured","https://i.postimg.cc/qgVD3qkv/c4.jpg","2022-05-08",20,770,3,"7-207703","05/08/2022"
"806","Russia","Soviet Union","MT-LBVM and MT-LBVMK","captured","https://i.postimg.cc/NFrPFmvn/c5.jpg","2022-05-08",20,771,3,"7-207713","05/08/2022"
"901","Russia","Russia","Unknown BTR-80/BTR-82A","destroyed","https://i.postimg.cc/mrNXFBqb/f3.jpg","2022-05-08",33,859,1,"7-338591","05/08/2022"
"1243","Russia","Soviet Union","BMP-2","captured","https://i.postimg.cc/sggyDf2R/fss.jpg","2022-05-08",36,1180,3,"7-3611803","05/08/2022"
"1244","Russia","Soviet Union","BMP-2","captured","https://i.postimg.cc/k5fP00Cg/65.jpg","2022-05-08",36,1181,3,"7-3611813","05/08/2022"
"1747","Russia","Russia","KamAZ-63968 'Typhoon'","captured","https://i.postimg.cc/zBj0BNB9/4f7.png","2022-05-08",48,1656,3,"7-4816563","05/08/2022"
"1809","Russia","Russia","GAZ Tigr-M","destroyed","https://i.postimg.cc/h4YtYd47/4f2.jpg","2022-05-08",52,1716,1,"7-5217161","05/08/2022"
"2168","Russia","Soviet Union","152mm 2S3 Akatsiya","destroyed","https://twitter.com/UAWeapons/status/1522923005747372032","2022-05-08",114,2052,1,"7-11420521","05/08/2022"
"2447","Russia","Russia","Mi-8 transport helicopter","destroyed","https://i.postimg.cc/NFMqWfJp/47.png","2022-05-08",156,2305,1,"7-15623051","05/08/2022"
"2504","Russia","Russia","Orlan-10 reconnaissance UAV","destroyed","https://i.postimg.cc/ncgvFg30/g8.jpg","2022-05-08",165,2357,1,"7-16523571","05/08/2022"
"2516","Russia","Russia","Orlan-10 reconnaissance UAV","captured","https://i.postimg.cc/5N6BMbSX/g2.jpg","2022-05-08",165,2369,3,"7-16523693","05/08/2022"
"3369","Ukraine","Soviet Union","T-64BV","captured","https://i.postimg.cc/qqYpK8YH/d7.jpg","2022-05-08",1,3155,3,"380-131553","05/08/2022"
"3831","Ukraine","Soviet Union","9K33 Osa","destroyed","https://i.postimg.cc/LXpYYMP3/4f1.png","2022-05-08",126,3592,1,"380-12635921","05/08/2022"
