"","country","origin","system","status","url","date_recorded","sysID","imageID","statusID","matID","Date"
"3567","Russia","Russia","T-80BVM Obr. 2022","abandoned","https://i.postimg.cc/tTXBxL5w/1103-T-80BVM-Obr-2022-aband-13-07-25.jpg","2025-11-04",40,3244,3,"7-4032443","11/04/2025"
"7452","Russia","Soviet Union","BMP-1(P)","destroyed","https://i.postimg.cc/76xK2pVF/1102-BMP-1-P-destr-11-09-24.jpg","2025-11-04",81,6920,1,"7-8169201","11/04/2025"
"7830","Russia","Russia","55 BMP-1AM","destroyed","https://i.postimg.cc/vBQ0VpzK/1101-BMP-1AM-Basurmanin-destr-29-06-24.jpg","2025-11-04",83,7203,1,"7-8372031","11/04/2025"
"7831","Russia","Russia","55 BMP-1AM","destroyed","https://i.postimg.cc/Y9pdWJ3f/1100-BMP-1AM-Basurmanin-destr-29-06-24.jpg","2025-11-04",83,7204,1,"7-8372041","11/04/2025"
"25658","Ukraine","Soviet Union","BMP-1(P)","destroyed","https://i.postimg.cc/VkJQSb6F/2100-BMP-1-P-destr-30-04-24.jpg","2025-11-04",81,23864,1,"380-81238641","11/04/2025"
