"","country","origin","system","status","url","date_recorded","sysID","imageID","statusID","matID","Date"
"157","Russia","Soviet Union","T-72B","captured","https://i.postimg.cc/YCbHJVSt/988.jpg","2022-05-11",4,148,3,"7-41483","05/11/2022"
"255","Russia","Russia","T-72B3","destroyed","https://twitter.com/UAWeapons/status/1524360854514319361","2022-05-11",7,242,1,"7-72421","05/11/2022"
"413","Russia","Russia","T-72B3 Obr. 2016","captured","https://i.postimg.cc/C5X06fMk/985.jpg","2022-05-11",8,391,3,"7-83913","05/11/2022"
"639","Russia","Russia","Unknown tank","destroyed","https://i.postimg.cc/NMcs7XJn/5800.jpg","2022-05-11",17,605,1,"7-176051","05/11/2022"
"640","Russia","Russia","Unknown tank","destroyed","https://twitter.com/UAWeapons/status/1524370554438004736","2022-05-11",17,606,1,"7-176061","05/11/2022"
"836","Russia","Soviet Union","MT-LBVM and MT-LBVMK","captured","https://i.postimg.cc/sXrWQvpj/35.jpg","2022-05-11",20,800,3,"7-208003","05/11/2022"
"2234","Russia","Soviet Union","152mm 2S3 Akatsiya","destroyed","https://i.postimg.cc/nLNcP5dC/5477.jpg","2022-05-11",116,2113,1,"7-11621131","05/11/2022"
"2235","Russia","Soviet Union","152mm 2S3 Akatsiya","destroyed","https://i.postimg.cc/gkpn45Jg/434.png","2022-05-11",116,2114,1,"7-11621141","05/11/2022"
"2321","Russia","Soviet Union","122mm BM-21 Grad","destroyed","https://i.postimg.cc/1ztmWPsG/547.jpg","2022-05-11",120,2196,1,"7-12021961","05/11/2022"
"2349","Russia","Soviet Union","122mm BM-21 Grad","captured","https://i.postimg.cc/y8z4gKD1/87.jpg","2022-05-11",120,2220,3,"7-12022203","05/11/2022"
"2589","Russia","Russia","Orlan-10 reconnaissance UAV","captured","https://i.postimg.cc/zX4cH9kG/378.png","2022-05-11",167,2437,3,"7-16724373","05/11/2022"
"2591","Russia","Russia","Orlan-10 reconnaissance UAV","captured","https://i.postimg.cc/vBGZW9Dm/769.jpg","2022-05-11",167,2439,3,"7-16724393","05/11/2022"
"4020","Ukraine","Soviet Union","Mi-8 transport helicopter","destroyed","https://i.postimg.cc/J4BTqK7h/694.png","2022-05-11",158,3772,1,"380-15837721","05/11/2022"
"4029","Ukraine","Soviet Union","Tu-141 reconnaissance UAV (likely used as unmanned bait in order for Russia to reveal the location of air defence systems)","destroyed","https://i.postimg.cc/KcJnXTjy/370.png","2022-05-11",298,3781,1,"380-29837811","05/11/2022"
