"","country","origin","system","status","url","date_recorded","sysID","imageID","statusID","matID","Date"
"91","Russia","Soviet Union","19 T-62MV","destroyed","https://i.postimg.cc/YqhB8Zgz/1029-T-62-MV-destr-05-07-23.jpg","2024-02-11",7,84,1,"7-7841","02/11/2024"
"1572","Ukraine","Russia","Unknown T-72","destroyed","https://i.postimg.cc/9Q95H9L4/1025-unkn-t72-destr-09-02-24.png","2024-02-11",23,1432,1,"380-2314321","02/11/2024"
"1922","Ukraine","Soviet Union","T-80BV","captured","https://i.postimg.cc/DZndPYwd/2000-t80bv-destr-05-03-23.jpg","2024-02-11",25,1767,3,"380-2517673","02/11/2024"
"1923","Ukraine","Soviet Union","T-80BV","destroyed","https://i.postimg.cc/DZndPYwd/2000-t80bv-destr-05-03-23.jpg","2024-02-11",25,1767,1,"380-2517671","02/11/2024"
"1924","Ukraine","Soviet Union","T-80BV","destroyed","https://i.postimg.cc/bNWc5g9c/1018-t80bv-destr-09-02-24.jpg","2024-02-11",25,1768,1,"380-2517681","02/11/2024"
"3281","Ukraine","Soviet Union","MT-LB","destroyed","https://i.postimg.cc/ZKwNrBmM/1010-MT-LB-destr-28-12-23.jpg","2024-02-11",49,2961,1,"380-4929611","02/11/2024"
"3282","Ukraine","Soviet Union","MT-LB","destroyed","https://i.postimg.cc/L4BL8QbR/1027-mtlb-destr-09-02-24.jpg","2024-02-11",49,2962,1,"380-4929621","02/11/2024"
"4378","Ukraine","Soviet Union","BMP-1(P)","destroyed","https://i.postimg.cc/cLQZ3c4Z/1001-BMP-1-P-destr-24-12-23.jpg","2024-02-11",66,3971,1,"380-6639711","02/11/2024"
"4379","Ukraine","Soviet Union","BMP-1(P)","destroyed","https://i.postimg.cc/pTN523bf/1019-bmp1-destr-09-02-24.jpg","2024-02-11",66,3972,1,"380-6639721","02/11/2024"
"4380","Ukraine","Soviet Union","BMP-1(P)","destroyed","https://i.postimg.cc/Nj5KRQQ8/1021-bmp1-destr-09-02-24.jpg","2024-02-11",66,3973,1,"380-6639731","02/11/2024"
"4381","Ukraine","Soviet Union","BMP-1(P)","destroyed","https://i.postimg.cc/KYT4sQkR/1022-bmp1-destr-09-02-24.jpg","2024-02-11",66,3974,1,"380-6639741","02/11/2024"
"4382","Ukraine","Soviet Union","BMP-1(P)","destroyed","https://i.postimg.cc/B6GtWDHN/1024-bmp1-destr-09-02-24.jpg","2024-02-11",66,3975,1,"380-6639751","02/11/2024"
