"","country","origin","system","status","url","date_recorded","sysID","imageID","statusID","matID","Date"
"12","Russia","Soviet Union","4 Unknown T-54/55","damaged","https://i.postimg.cc/KjbMBZLR/1106-unkn-t54-55-dam-aband-31-03-24.jpg","2024-06-10",4,10,2,"7-4102","06/10/2024"
"13","Russia","Soviet Union","4 Unknown T-54/55","abandoned","https://i.postimg.cc/KjbMBZLR/1106-unkn-t54-55-dam-aband-31-03-24.jpg","2024-06-10",4,10,3,"7-4103","06/10/2024"
"7121","Russia","Soviet Union","189 Unknown BMP-1/2","destroyed","https://i.postimg.cc/ncZWcBst/1107-unkn-bmp-destr-10-06-24.jpg","2024-06-10",81,6357,1,"7-8163571","06/10/2024"
