"","country","origin","system","status","url","date_recorded","sysID","imageID","statusID","matID","Date"
"346","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/66bdS43W/1003-t72b-destr-09-06-22.jpg","2023-05-05",9,326,2,"7-93262","05/05/2023"
"347","Russia","Soviet Union","T-72B","destroyed","https://i.postimg.cc/3wZGZdVH/1017-t72b-destr-18-10-22.jpg","2023-05-05",9,327,2,"7-93272","05/05/2023"
"355","Russia","Soviet Union","T-72B","damaged","https://i.postimg.cc/LsSffzyT/1009-t72b-dam-01-05-23.jpg","2023-05-05",9,335,3,"7-93353","05/05/2023"
"985","Russia","Russia","T-72B3 Obr. 2016","destroyed","https://i.postimg.cc/V6Gb32zG/1002-t72b3m-destr-19-04-23.jpg","2023-05-05",15,909,2,"7-159092","05/05/2023"
"986","Russia","Russia","T-72B3 Obr. 2016","destroyed","https://i.postimg.cc/MHnjxtTW/1039-t72b3m-destr-05-05-23.jpg","2023-05-05",15,910,2,"7-159102","05/05/2023"
"1347","Russia","Soviet Union","281 T-80BV","destroyed","https://i.postimg.cc/TYZn28gB/1022-t80bv-destr-27-04-23.jpg","2023-05-05",17,1244,2,"7-1712442","05/05/2023"
"1914","Russia","Russia","229 Unknown tank","destroyed","https://i.postimg.cc/3JygHr4g/1029-unkn-tank-destr-30-11-22.jpg","2023-05-05",29,1748,2,"7-2917482","05/05/2023"
"1915","Russia","Russia","229 Unknown tank","destroyed","https://i.postimg.cc/Z5ppCfLn/1037-unkn-tank-destr-05-05-23.jpg","2023-05-05",29,1749,2,"7-2917492","05/05/2023"
"1946","Russia","Russia","229 Unknown tank","damaged","https://i.postimg.cc/0Q2wX91K/1018-2x-unkn-tank-dam-aband-02-05-23.jpg","2023-05-05",29,1772,3,"7-2917723","05/05/2023"
"1947","Russia","Russia","229 Unknown tank","abandoned","https://i.postimg.cc/0Q2wX91K/1018-2x-unkn-tank-dam-aband-02-05-23.jpg","2023-05-05",29,1772,4,"7-2917724","05/05/2023"
"2525","Russia","Soviet Union","167 MT-LBVM and MT-LBVMK","captured","https://i.postimg.cc/W3VgPMRK/1036-MT-LBVMK-capt-30-04-23.jpg","2023-05-05",38,2311,1,"7-3823111","05/05/2023"
"2726","Russia","Russia","Unknown AFV","destroyed","https://i.postimg.cc/pTB8VpRd/1038-unkn-afv-destr-05-05-23.jpg","2023-05-05",48,2503,2,"7-4825032","05/05/2023"
"3088","Russia","Soviet Union","368 BMP-1(P)","captured","https://i.postimg.cc/tgcR3bkz/1001-bmp1-capt-06-03-22.jpg","2023-05-05",49,2818,1,"7-4928181","05/05/2023"
"3586","Russia","Soviet Union","815 BMP-2(K)","destroyed","https://i.postimg.cc/8C7NP3Gf/1014-bmp2-destr-04-05-23.jpg","2023-05-05",51,3282,2,"7-5132822","05/05/2023"
"3587","Russia","Soviet Union","815 BMP-2(K)","destroyed","https://i.postimg.cc/VsnsC3Cj/1030-bmp2-destr-28-04-23.jpg","2023-05-05",51,3283,2,"7-5132832","05/05/2023"
"3902","Russia","Soviet Union","815 BMP-2(K)","captured","https://i.postimg.cc/sgD3bx0c/1019-bmp2-capt-02-05-23.jpg","2023-05-05",51,3532,1,"7-5135321","05/05/2023"
"4188","Russia","Russia","BMP-3","damaged","https://i.postimg.cc/tCbqt238/1023-bmp3-dam-27-04-23.jpg","2023-05-05",55,3797,3,"7-5537973","05/05/2023"
"4295","Russia","Russia","MT-LBM 6MB","destroyed","https://i.postimg.cc/0yW9vvTq/1011-6mb-destr-13-03-23.jpg","2023-05-05",57,3881,2,"7-5738812","05/05/2023"
"4439","Russia","Soviet Union","BMD-2","damaged","https://i.postimg.cc/pd3x9ZVG/1033-bmd2-dam-02-05-23.jpg","2023-05-05",59,4020,3,"7-5940203","05/05/2023"
"5183","Russia","Russia","44 Unknown BTR-80/BTR-82A","destroyed","https://i.postimg.cc/XJ8G6q0k/1010-unkn-btr-destr-30-11-22.jpg","2023-05-05",66,4703,2,"7-6647032","05/05/2023"
"5444","Russia","Russia","133 GAZ Tigr-M","destroyed","https://i.postimg.cc/ryjWvnV2/1020-tigr-m-destr-13-02-23.jpg","2023-05-05",77,4941,2,"7-7749412","05/05/2023"
"6146","Russia","Soviet Union","16 1V14 battery command and forward observer vehicle","captured","https://i.postimg.cc/BnLKPJxJ/1008-1v14-m-capt-31-03-22.jpg","2023-05-05",168,5568,1,"7-16855681","05/05/2023"
"6309","Russia","Soviet Union","84 152mm 2A65 Msta-B howitzer","destroyed","https://i.postimg.cc/NFdHmMJj/1012-msta-b-destr-03-05-23.jpg","2023-05-05",184,5720,2,"7-18457202","05/05/2023"
"6568","Russia","Soviet Union","152mm 2S3(M) Akatsiya","captured","https://i.postimg.cc/K86gnCNB/1035-2s3-dam-capt-03-05-23.jpg","2023-05-05",192,5959,1,"7-19259591","05/05/2023"
"6802","Russia","Soviet Union","114 122mm BM-21 Grad","destroyed","https://i.postimg.cc/HLb833ZK/1000-bm21-destr-04-05-23.jpg","2023-05-05",199,6177,2,"7-19961772","05/05/2023"
"6971","Russia","Soviet Union","9K33 Osa","damaged","https://i.postimg.cc/d3V7sFsP/1013-9-K33-Osa-dam-03-05-23.jpg","2023-05-05",211,6312,3,"7-21163123","05/05/2023"
"7374","Russia","Russia","Orlan-10","destroyed","https://i.postimg.cc/dQX93NCP/1004-orlan10-destr-01-05-23.jpg","2023-05-05",284,6695,2,"7-28466952","05/05/2023"
"7375","Russia","Russia","Orlan-10","destroyed","https://i.postimg.cc/tCxNxdd1/1005-orlan10-destr-18-12-22.jpg","2023-05-05",284,6696,2,"7-28466962","05/05/2023"
"7376","Russia","Russia","Orlan-10","destroyed","https://i.postimg.cc/kgPFFVwT/1006-orlan10-destr-21-02-23.jpg","2023-05-05",284,6697,2,"7-28466972","05/05/2023"
"7452","Russia","Russia","12 'Orlan-20' ''Kartograf''","destroyed","https://i.postimg.cc/rwGGh8PM/1034-orlan-kartograf-destr-03-05-23.jpg","2023-05-05",286,6773,2,"7-28667732","05/05/2023"
"7485","Russia","Russia","Eleron-3","captured","https://i.postimg.cc/6Q9rgDkR/1015-Eleron-3-capt-01-05-23.jpg","2023-05-05",290,6803,1,"7-29068031","05/05/2023"
"7499","Russia","Russia","ZALA 421-16<U+0415>2","destroyed","https://i.postimg.cc/NFrmRYXh/1007-ZALA-421-16-2-destr-30-01-23.jpg","2023-05-05",293,6817,2,"7-29368172","05/05/2023"
"8045","Russia","Russia","655 Ural-4320","destroyed","https://i.postimg.cc/RFnVC0fH/1016-Ural-4320-destr-29-04-23.jpg","2023-05-05",323,7327,2,"7-32373272","05/05/2023"
"8046","Russia","Russia","655 Ural-4320","destroyed","https://i.postimg.cc/JhsRKhp2/1032-ural4320-destr-03-05-23.jpg","2023-05-05",323,7328,2,"7-32373282","05/05/2023"
"9051","Russia","Russia","737 KamAZ 6x6","destroyed","https://i.postimg.cc/QN1xRHjL/1026-kamaz6x6-destr-27-04-23.jpg","2023-05-05",333,8241,2,"7-33382412","05/05/2023"
"9052","Russia","Russia","737 KamAZ 6x6","destroyed","https://i.postimg.cc/kXCX9q52/1027-kamaz6x6-destr-27-04-23.jpg","2023-05-05",333,8242,2,"7-33382422","05/05/2023"
"9053","Russia","Russia","737 KamAZ 6x6","destroyed","https://i.postimg.cc/HnwY5P6W/1028-kamaz6x6-destr-27-04-23.jpg","2023-05-05",333,8243,2,"7-33382432","05/05/2023"
"9061","Russia","Russia","737 KamAZ 6x6","damaged","https://i.postimg.cc/SRFQnp7t/1024-kamaz6x6-dam-27-04-23.jpg","2023-05-05",333,8250,3,"7-33382503","05/05/2023"
"9062","Russia","Russia","737 KamAZ 6x6","damaged","https://i.postimg.cc/GptmNKmz/1025-kamaz6x6-dam-27-04-23.jpg","2023-05-05",333,8251,3,"7-33382513","05/05/2023"
"9234","Russia","Russia","737 KamAZ 6x6","captured","https://i.postimg.cc/JhFzWXy8/1021-kamaz6x6-capt-30-04-22.jpg","2023-05-05",333,8385,1,"7-33383851","05/05/2023"
"9497","Russia","Soviet Union","UAZ-452 van","destroyed","https://i.postimg.cc/bwNyDgk8/1031-uaz452-destr-27-04-22.jpg","2023-05-05",343,8621,2,"7-34386212","05/05/2023"
"10099","Ukraine","Soviet Union","T-72AV","damaged","https://i.postimg.cc/LsXhkn3w/2016-t72av-dam-03-05-23.jpg","2023-05-05",365,9150,3,"380-36591503","05/05/2023"
"10302","Ukraine","Soviet Union","BRDM-2","destroyed","https://i.postimg.cc/xCjrNzGN/2012-brdm2-destr-27-04-23.jpg","2023-05-05",370,9334,2,"380-37093342","05/05/2023"
"10410","Ukraine","Soviet Union","MT-LB","destroyed","https://i.postimg.cc/R0L50Rtz/2006-mtlb-destr-01-05-23.jpg","2023-05-05",37,9441,2,"380-3794412","05/05/2023"
"10675","Ukraine","Soviet Union","BMP-1(P)","destroyed","https://i.postimg.cc/DzJ6jy2p/2003-bmp1-destr-01-05-23.jpg","2023-05-05",380,9700,2,"380-38097002","05/05/2023"
"10843","Ukraine","Soviet Union","124 BMP-2(K)","destroyed","https://i.postimg.cc/wjbFQsds/2005-bmp2-destr-31-03-22.jpg","2023-05-05",386,9854,2,"380-38698542","05/05/2023"
"10844","Ukraine","Soviet Union","124 BMP-2(K)","destroyed","https://i.postimg.cc/jjpXG02x/2009-bmp2-destr-04-05-23.jpg","2023-05-05",386,9855,2,"380-38698552","05/05/2023"
"10845","Ukraine","Soviet Union","124 BMP-2(K)","destroyed","https://i.postimg.cc/6pQYZfFX/2013-bmp2-destr-27-04-23.jpg","2023-05-05",386,9856,2,"380-38698562","05/05/2023"
"10875","Ukraine","Soviet Union","124 BMP-2(K)","captured","https://i.postimg.cc/QxmfVy4m/2002-bmp2-capt-30-04-23.jpg","2023-05-05",386,9882,1,"380-38698821","05/05/2023"
"11192","Ukraine","Netherlands","YPR-765","destroyed","https://i.postimg.cc/nLSzzpBx/2004-ypr765-destr-01-05-23.jpg","2023-05-05",400,10179,2,"380-400101792","05/05/2023"
"11292","Ukraine","Turkey","BMC Kirpi","destroyed","https://i.postimg.cc/pXQLjDzq/2015-kirpi-destr-03-05-23.jpg","2023-05-05",414,10268,2,"380-414102682","05/05/2023"
"11844","Ukraine","Soviet Union","122mm 2S1 Gvozdika","destroyed","https://i.postimg.cc/ryrmV6m6/2001-2s1-destr-29-04-23.jpg","2023-05-05",485,10782,2,"380-485107822","05/05/2023"
"11940","Ukraine","France","2 155mm Caesar","damaged","https://i.postimg.cc/vB6QZ9G7/2017-caesar-dam-04-05-23.jpg","2023-05-05",493,10876,3,"380-493108763","05/05/2023"
"12096","Ukraine","Ukraine","1 79K6 'Pelikan' 3D surveillance radar","destroyed","https://i.postimg.cc/TYvPhkLK/2011-79-K6-Pelikan-3-D-surveillance-radar-destr-02-04-23.jpg","2023-05-05",516,11029,2,"380-516110292","05/05/2023"
"12147","Ukraine","Ukraine","1 Bukovel-AD EW system","destroyed","https://i.postimg.cc/6QPWKzx5/2008-Bukovel-AD-EW-system-destr-05-05-23.jpg","2023-05-05",538,11076,2,"380-538110762","05/05/2023"
"12321","Ukraine","Ukraine","3 ITEC Skif","destroyed","https://i.postimg.cc/VkYLWdF1/2014-ITEC-Skif-UAV-destr-03-05-23.jpg","2023-05-05",556,11248,2,"380-556112482","05/05/2023"
"12338","Ukraine","United States","1 AeroVironment Quantix Recon UAV","captured","https://i.postimg.cc/nrBc0m5V/2007-Quantix-Recons-UAV-capt-29-04-23.jpg","2023-05-05",565,11265,1,"380-565112651","05/05/2023"
"12622","Ukraine","Soviet Union","ZiL-131","destroyed","https://i.postimg.cc/hGvDN6w5/2000-zil131-destr-29-04-23.jpg","2023-05-05",597,11533,2,"380-597115332","05/05/2023"
"12623","Ukraine","Soviet Union","ZiL-131","destroyed","https://i.postimg.cc/x1tjxnsm/2010-Zi-L-131-destr-01-05-23.jpg","2023-05-05",597,11534,2,"380-597115342","05/05/2023"
