"","country","origin","system","status","url","date_recorded","sysID","imageID","statusID","matID","Date"
"1161","Russia","Russia","Unknown AFV","destroyed","https://i.postimg.cc/FKkLXjVw/880.png","2022-06-13",35,1104,1,"7-3511041","06/13/2022"
"1162","Russia","Russia","Unknown AFV","destroyed","https://twitter.com/UAWeapons/status/1536379481992085511","2022-06-13",35,1105,1,"7-3511051","06/13/2022"
"1163","Russia","Russia","Unknown AFV","destroyed","https://twitter.com/UAWeapons/status/1536347694716702726","2022-06-13",35,1106,1,"7-3511061","06/13/2022"
"2703","Russia","Soviet Union","122mm BM-21 Grad","destroyed","https://twitter.com/RALee85/status/1536227546878074881","2022-06-13",122,2550,1,"7-12225501","06/13/2022"
"3011","Russia","Russia","'Orlan-20' ''Kartograf'' reconnaissance UAV","destroyed","https://i.postimg.cc/nrJ7kC7g/51.png","2022-06-13",172,2829,1,"7-17228291","06/13/2022"
