"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",53.19148,50.99738,307.32,0.66,0.73,"2025-07-06",18,"N20","nominal","2.0NRT",282.56,2.66,"N"
"2",54.1592,48.35936,300.86,0.49,0.65,"2025-07-06",18,"N20","nominal","2.0NRT",281.84,1.79,"N"
"3",53.54914,49.49054,298.52,0.57,0.69,"2025-07-06",18,"N20","nominal","2.0NRT",283.88,0.94,"N"
"4",54.44636,45.87885,296.08,0.39,0.6,"2025-07-06",18,"N20","nominal","2.0NRT",283.11,1.02,"N"
"5",54.44328,45.86897,301.11,0.39,0.59,"2025-07-06",18,"N20","nominal","2.0NRT",280.73,0.69,"N"
"6",53.87457,45.85759,299.66,0.41,0.61,"2025-07-06",18,"N20","nominal","2.0NRT",282.77,0.65,"N"
"7",53.87519,45.85799,301.02,0.41,0.61,"2025-07-06",18,"N20","nominal","2.0NRT",282.77,0.82,"N"
"8",55.98234,38.10339,297.38,0.57,0.43,"2025-07-06",18,"N20","nominal","2.0NRT",279.85,0.79,"N"
"9",55.98277,38.1057,301.78,0.57,0.43,"2025-07-06",18,"N20","nominal","2.0NRT",279.35,1,"N"
"10",55.55626,37.76576,320.91,0.57,0.43,"2025-07-06",20,"N20","nominal","2.0NRT",282.05,2.39,"N"
"11",55.25899,38.74398,304.63,0.41,0.45,"2025-07-06",20,"N20","nominal","2.0NRT",282.45,1.14,"N"
"12",55.06142,38.83784,316.32,0.42,0.45,"2025-07-06",20,"N20","nominal","2.0NRT",284.84,2.08,"N"
"13",52.05147,47.44231,301.45,0.55,0.68,"2025-07-06",20,"N20","nominal","2.0NRT",286.72,1.08,"N"
"14",55.05883,36.56898,296.23,0.53,0.42,"2025-07-06",20,"N20","nominal","2.0NRT",278.11,0.65,"N"
"15",55.05687,36.56953,306.98,0.53,0.42,"2025-07-06",20,"N20","nominal","2.0NRT",279.36,1.26,"N"
"16",54.07908,39.97422,339.16,0.5,0.49,"2025-07-06",20,"N20","nominal","2.0NRT",281.61,10.61,"N"
"17",54.24517,38.87491,296.26,0.45,0.47,"2025-07-06",20,"N20","nominal","2.0NRT",281.47,0.58,"N"
"18",54.21308,38.92636,311.82,0.45,0.47,"2025-07-06",20,"N20","nominal","2.0NRT",284.53,1.96,"N"
"19",54.08577,38.17941,298.16,0.43,0.46,"2025-07-06",20,"N20","nominal","2.0NRT",284.51,0.76,"N"
"20",54.1692,37.71398,315.67,0.41,0.45,"2025-07-06",20,"N20","nominal","2.0NRT",281.48,2.69,"N"
"21",54.15726,37.72591,301.96,0.41,0.45,"2025-07-06",20,"N20","nominal","2.0NRT",283.75,1.64,"N"
"22",51.44432,45.94119,299.73,0.51,0.66,"2025-07-06",20,"N20","nominal","2.0NRT",286.04,0.45,"N"
"23",51.44555,44.92571,297.85,0.47,0.64,"2025-07-06",20,"N20","nominal","2.0NRT",281.19,0.43,"N"
"24",52.66374,39.63202,295.84,0.53,0.5,"2025-07-06",20,"N20","nominal","2.0NRT",283.45,1.01,"N"
"25",52.66405,39.6335,296.82,0.53,0.5,"2025-07-06",20,"N20","nominal","2.0NRT",283.34,1.06,"N"
"26",52.56801,39.7033,302.24,0.54,0.51,"2025-07-06",20,"N20","nominal","2.0NRT",283.83,2.09,"N"
"27",52.56055,39.6187,310.51,0.54,0.5,"2025-07-06",20,"N20","nominal","2.0NRT",285.35,7.87,"N"
"28",52.55854,39.62598,300.82,0.54,0.51,"2025-07-06",20,"N20","nominal","2.0NRT",287.77,3.02,"N"
"29",52.55629,39.61557,340.34,0.54,0.5,"2025-07-06",20,"N20","nominal","2.0NRT",287.42,7.87,"N"
