"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",68.66357,136.02319,328.82,0.45,0.63,"2024-07-24",13,"N20","nominal","2.0NRT",285.87,2.84,"D"
"2",68.65992,136.01767,329.25,0.45,0.63,"2024-07-24",13,"N20","nominal","2.0NRT",287.77,2.84,"D"
"3",68.65627,136.01218,330.24,0.45,0.63,"2024-07-24",13,"N20","nominal","2.0NRT",287.55,4.34,"D"
"4",68.65264,136.0067,333.95,0.46,0.63,"2024-07-24",13,"N20","nominal","2.0NRT",286.26,4.34,"D"
"5",68.65146,136.02092,334.2,0.45,0.63,"2024-07-24",13,"N20","nominal","2.0NRT",288.58,10.26,"D"
"6",68.66154,136.01758,340.5,0.45,0.63,"2024-07-24",13,"N20","nominal","2.0NRT",287.89,5.31,"D"
"7",68.65788,136.01215,334.73,0.45,0.63,"2024-07-24",13,"N20","nominal","2.0NRT",287.97,5.31,"D"
"8",68.28326,134.72928,331.75,0.5,0.66,"2024-07-24",13,"N20","nominal","2.0NRT",288.51,6.88,"D"
"9",68.28006,134.72482,328.75,0.5,0.66,"2024-07-24",13,"N20","nominal","2.0NRT",289.56,4.19,"D"
"10",68.46365,134.69489,327.45,0.48,0.65,"2024-07-24",13,"N20","nominal","2.0NRT",288.62,5.11,"D"
"11",68.44174,134.60907,336.76,0.49,0.65,"2024-07-24",13,"N20","nominal","2.0NRT",286.45,2.88,"D"
"12",69.34978,135.71825,328.17,0.41,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",289.23,5.55,"D"
"13",69.34635,135.713,332.16,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",289.51,4.1,"D"
"14",69.34294,135.70778,331.33,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",289.88,4.1,"D"
"15",69.33946,135.70242,327.72,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",288.47,4.12,"D"
"16",69.33598,135.69707,326.12,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",287.88,4.12,"D"
"17",69.33256,135.69183,339.26,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",288.56,4.97,"D"
"18",69.32923,135.68674,328.17,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",288.18,4.97,"D"
"19",69.32597,135.68172,348.02,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",291.56,5.5,"D"
"20",69.32264,135.67662,333.26,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",290.87,5.5,"D"
"21",69.34866,135.71925,326.41,0.41,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",288.12,7.12,"D"
"22",69.34516,135.71399,331.4,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",288.44,4.44,"D"
"23",69.34171,135.7088,328.54,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",288.96,4.44,"D"
"24",69.33818,135.70346,328.6,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",288.18,4.17,"D"
"25",69.33471,135.69823,325.65,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",286.96,4.17,"D"
"26",69.33131,135.69313,335.85,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",288.13,11.27,"D"
"27",69.32464,135.68307,347.98,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",291.8,6.6,"D"
"28",69.32127,135.67798,329.62,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",290.15,6.6,"D"
"29",69.32111,135.65964,335.73,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",288.14,7.41,"D"
"30",69.31341,135.62993,330.2,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",288.23,4.13,"D"
"31",69.30984,135.62456,326.83,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",288.11,4.23,"D"
"32",69.3063,135.61925,342.86,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",291.06,4.23,"D"
"33",69.29202,135.59781,330.37,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",286.86,3.65,"D"
"34",69.30934,135.60567,332.32,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",288.22,4.23,"D"
"35",69.29479,135.5838,334.96,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",289,3.65,"D"
"36",69.36446,135.67064,342.69,0.41,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",285.73,4.52,"D"
"37",69.35806,135.60655,346.58,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",287.87,8.81,"D"
"38",68.616,134.52682,339.12,0.48,0.64,"2024-07-24",13,"N20","nominal","2.0NRT",288.11,4.28,"D"
"39",69.29033,135.46814,367,0.42,0.61,"2024-07-24",13,"N20","high","2.0NRT",291.69,7.65,"D"
"40",69.29381,135.47337,333.47,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",288.41,7.65,"D"
"41",62.14904,150.93402,325.52,0.61,0.71,"2024-07-24",9,"N20","nominal","2.0NRT",283.02,3.17,"D"
"42",68.63309,134.38524,325.35,0.48,0.64,"2024-07-24",13,"N20","nominal","2.0NRT",287.54,2.93,"D"
"43",62.14778,150.92995,327.42,0.61,0.71,"2024-07-24",9,"N20","nominal","2.0NRT",283.62,4.41,"D"
"44",68.61477,134.35951,335.89,0.48,0.65,"2024-07-24",13,"N20","nominal","2.0NRT",288.75,4.61,"D"
"45",68.61118,134.35449,325.63,0.48,0.65,"2024-07-24",13,"N20","nominal","2.0NRT",287.54,3.64,"D"
"46",68.58427,134.29837,325.43,0.48,0.65,"2024-07-24",13,"N20","nominal","2.0NRT",286.15,6.15,"D"
"47",68.63298,134.39018,332.42,0.48,0.64,"2024-07-24",13,"N20","nominal","2.0NRT",287.66,3.77,"D"
"48",68.61428,134.36438,334.73,0.48,0.65,"2024-07-24",13,"N20","nominal","2.0NRT",289.06,3.45,"D"
"49",68.61064,134.35938,329.55,0.48,0.65,"2024-07-24",13,"N20","nominal","2.0NRT",288.51,3.45,"D"
"50",68.57979,134.29855,332.73,0.48,0.65,"2024-07-24",13,"N20","nominal","2.0NRT",287.76,5.17,"D"
"51",69.37513,135.1283,348.45,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",310.68,18.66,"D"
"52",69.3717,135.12317,347.7,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",296.46,21.54,"D"
"53",69.36832,135.1181,344.67,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",285.7,21.54,"D"
"54",69.37863,135.13353,356.52,0.42,0.61,"2024-07-24",13,"N20","low","2.0NRT",287.34,18.66,"D"
"55",69.38126,135.11926,354.62,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",288.94,18.66,"D"
"56",69.37774,135.11401,325.87,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",290.61,18.66,"D"
"57",69.36749,135.09865,342.34,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",288.76,9.57,"D"
"58",69.3839,135.10504,339.07,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",289.8,7.21,"D"
"59",69.39011,135.09613,337.2,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",289.46,6.55,"D"
"60",69.37388,135.13094,347.44,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",308.48,30.13,"D"
"61",69.37044,135.12587,348.94,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",293.4,27.97,"D"
"62",69.37738,135.13608,356.03,0.42,0.61,"2024-07-24",13,"N20","low","2.0NRT",287.36,30.13,"D"
"63",69.37999,135.1218,352.32,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",288.58,5.56,"D"
"64",69.37649,135.11664,338.49,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",290.32,5.56,"D"
"65",69.37305,135.11157,325.56,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",284.98,4.61,"D"
"66",69.36963,135.10655,349.12,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",286.95,4.61,"D"
"67",69.36622,135.10156,349.45,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",290.95,8.79,"D"
"68",69.38264,135.10757,343.59,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",289.81,5.56,"D"
"69",69.37568,135.09734,327.41,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",286.19,4.61,"D"
"70",69.38888,135.09863,339.12,0.42,0.61,"2024-07-24",13,"N20","nominal","2.0NRT",289.4,6.9,"D"
"71",69.30212,134.9169,326.67,0.43,0.62,"2024-07-24",13,"N20","nominal","2.0NRT",286.03,2.33,"D"
