"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",66.71007,80.44412,342.75,0.74,0.76,"2026-05-31",48,"N20","nominal","2.0NRT",275.05,8.8,"D"
"2",66.6693,80.46232,338.86,0.74,0.76,"2026-05-31",48,"N20","nominal","2.0NRT",276.94,4.9,"D"
"3",66.66287,80.46818,337.92,0.74,0.76,"2026-05-31",48,"N20","nominal","2.0NRT",275.56,4.9,"D"
"4",65.85889,76.95319,344.92,0.77,0.78,"2026-05-31",48,"N20","nominal","2.0NRT",276.68,7.54,"D"
"5",65.82862,76.87016,336.22,0.77,0.78,"2026-05-31",48,"N20","nominal","2.0NRT",277.06,5.08,"D"
"6",70.38153,68.41301,325.24,0.32,0.55,"2026-05-31",48,"N20","nominal","2.0NRT",279.96,1.53,"D"
"7",67.83962,58.93883,352.19,0.33,0.55,"2026-05-31",50,"N20","nominal","2.0NRT",283.53,3.56,"D"
"8",67.17982,56.62843,339.23,0.32,0.55,"2026-05-31",50,"N20","nominal","2.0NRT",284.14,2.32,"D"
"9",59.13429,37.79329,329.2,0.51,0.5,"2026-05-31",52,"N20","nominal","2.0NRT",279.47,2.86,"D"
"10",30.75828,27.46594,295.73,0.71,0.75,"2026-05-31",102,"N20","nominal","2.0NRT",284.09,0.83,"N"
"11",30.76021,27.10286,306.55,0.68,0.74,"2026-05-31",102,"N20","nominal","2.0NRT",284.43,1.41,"N"
"12",30.82478,26.46798,300.04,0.62,0.72,"2026-05-31",102,"N20","nominal","2.0NRT",284.58,0.71,"N"
"13",30.61926,26.70581,298.07,0.65,0.73,"2026-05-31",102,"N20","nominal","2.0NRT",284.43,0.8,"N"
"14",30.67224,26.36879,311.05,0.62,0.71,"2026-05-31",102,"N20","nominal","2.0NRT",284.84,1.39,"N"
"15",30.36802,27.22889,308.19,0.71,0.75,"2026-05-31",102,"N20","nominal","2.0NRT",283.94,1.14,"N"
"16",30.36708,27.22653,305.01,0.71,0.75,"2026-05-31",102,"N20","nominal","2.0NRT",283.75,1.19,"N"
