"","latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight"
"1",-33.31657,18.84562,299.74,0.46,0.39,2022-04-02,1,1,"VIIRS","n","2.0NRT",288.4,0.7,"N"
"2",-28.20714,23.54782,300.61,0.46,0.47,2022-04-02,1,1,"VIIRS","n","2.0NRT",286.66,0.84,"N"
"3",-27.41179,18.8179,299.05,0.41,0.37,2022-04-02,1,1,"VIIRS","n","2.0NRT",288.24,0.65,"N"
"4",-33.72098,18.57865,300.11,0.45,0.39,2022-04-02,1,1,"VIIRS","n","2.0NRT",284.64,0.73,"N"
"5",-33.25461,18.82934,298.62,0.45,0.39,2022-04-02,1,1,"VIIRS","n","2.0NRT",287.13,0.43,"N"
"6",-32.94036,18.75819,310.73,0.45,0.39,2022-04-02,1,1,"VIIRS","n","2.0NRT",288.01,1.8,"N"
"7",68.62473,57.99633,339.75,0.36,0.57,2022-04-02,111,1,"VIIRS","n","2.0NRT",259.05,2.59,"N"
"8",68.61868,57.97224,367,0.36,0.57,2022-04-02,111,1,"VIIRS","h","2.0NRT",260.57,7.29,"N"
"9",59.13159,37.79337,355.08,0.4,0.6,2022-04-02,113,1,"VIIRS","n","2.0NRT",268.17,6.34,"N"
"10",59.40231,28.49203,343.97,0.41,0.45,2022-04-02,115,1,"VIIRS","n","2.0NRT",272.13,3.81,"N"
"11",60.28519,22.28947,301.74,0.42,0.38,2022-04-02,115,1,"VIIRS","n","2.0NRT",266.71,1.1,"N"
"12",57.06212,9.97614,337.32,0.46,0.39,2022-04-02,115,1,"VIIRS","n","2.0NRT",279.28,4.03,"N"
"13",57.81726,4.53338,332.96,0.46,0.47,2022-04-02,115,1,"VIIRS","n","2.0NRT",277.24,3.06,"N"
"14",58.27774,6.89068,326.99,0.39,0.44,2022-04-02,115,1,"VIIRS","n","2.0NRT",271.23,3.18,"N"
"15",58.0856,11.82429,307.53,0.43,0.38,2022-04-02,115,1,"VIIRS","n","2.0NRT",270.95,1.08,"N"
"16",58.35907,12.38138,310.7,0.42,0.38,2022-04-02,115,1,"VIIRS","n","2.0NRT",269.57,1.15,"N"
"17",57.70915,18.8065,303.84,0.4,0.37,2022-04-02,115,1,"VIIRS","n","2.0NRT",272.28,0.85,"N"
"18",58.67259,17.13464,307.85,0.38,0.36,2022-04-02,115,1,"VIIRS","n","2.0NRT",269.16,0.99,"N"
"19",59.28261,25.80198,324.59,0.52,0.42,2022-04-02,115,1,"VIIRS","n","2.0NRT",262.3,3.84,"N"
"20",55.57786,4.75556,295.15,0.43,0.46,2022-04-02,117,1,"VIIRS","n","2.0NRT",277.14,0.44,"N"
"21",57.01202,1.83481,314.82,0.57,0.52,2022-04-02,117,1,"VIIRS","n","2.0NRT",277.11,2.14,"N"
"22",56.37454,10.03981,295.03,0.45,0.39,2022-04-02,117,1,"VIIRS","n","2.0NRT",268.97,0.74,"N"
"23",53.57121,-0.59565,295.78,0.34,0.56,2022-04-02,117,1,"VIIRS","n","2.0NRT",263.98,0.44,"N"
"24",53.56602,-0.5962,299.33,0.34,0.56,2022-04-02,117,1,"VIIRS","n","2.0NRT",263.47,0.52,"N"
"25",51.77986,-3.54801,295.55,0.44,0.62,2022-04-02,117,1,"VIIRS","n","2.0NRT",268.24,0.8,"N"
