"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",54.04645,159.44086,367,0.33,0.56,"2022-08-08",58,1,"high","2.0NRT",324.42,21.58,"D"
"2",55.72466,157.03197,341.52,0.35,0.57,"2022-08-08",58,1,"nominal","2.0NRT",296.61,4.93,"D"
"3",60.67405,154.54628,337.59,0.55,0.51,"2022-08-08",100,1,"nominal","2.0NRT",291.16,5.49,"D"
"4",60.67437,154.53719,333.97,0.55,0.51,"2022-08-08",100,1,"nominal","2.0NRT",291.91,3.39,"D"
"5",60.71991,153.46875,334.59,0.58,0.52,"2022-08-08",100,1,"nominal","2.0NRT",297.19,5.82,"D"
"6",60.71809,153.46367,328.75,0.58,0.52,"2022-08-08",100,1,"nominal","2.0NRT",297.45,2.65,"D"
"7",60.73115,153.48651,338.65,0.58,0.52,"2022-08-08",100,1,"nominal","2.0NRT",295.1,11.21,"D"
"8",60.72833,153.47768,343.99,0.58,0.52,"2022-08-08",100,1,"nominal","2.0NRT",303.79,21.17,"D"
"9",60.72244,153.45915,326.8,0.58,0.52,"2022-08-08",100,1,"low","2.0NRT",301.18,5.41,"D"
"10",61.83626,153.05151,343.78,0.54,0.51,"2022-08-08",100,1,"nominal","2.0NRT",299.19,19.58,"D"
"11",61.84018,153.04602,354.95,0.54,0.51,"2022-08-08",100,1,"nominal","2.0NRT",300.14,20.07,"D"
"12",61.85675,153.08165,334.5,0.54,0.51,"2022-08-08",100,1,"nominal","2.0NRT",296.68,7.69,"D"
"13",61.85576,153.06021,328.34,0.54,0.51,"2022-08-08",100,1,"nominal","2.0NRT",295.7,2.71,"D"
"14",61.84003,153.05067,344.28,0.54,0.51,"2022-08-08",100,1,"nominal","2.0NRT",300.62,22.3,"D"
"15",61.83773,153.0433,334.87,0.54,0.51,"2022-08-08",100,1,"nominal","2.0NRT",302.62,22.3,"D"
"16",61.85302,153.05618,331.69,0.54,0.51,"2022-08-08",100,1,"nominal","2.0NRT",296.46,6.78,"D"
"17",61.49433,151.23441,352.09,0.63,0.54,"2022-08-08",100,1,"nominal","2.0NRT",301.26,12.74,"D"
"18",61.48763,151.2142,344,0.63,0.54,"2022-08-08",100,1,"nominal","2.0NRT",297.73,13.21,"D"
"19",61.48426,151.20409,340.76,0.63,0.54,"2022-08-08",100,1,"nominal","2.0NRT",300.14,13.21,"D"
"20",61.50234,151.2402,331.38,0.63,0.54,"2022-08-08",100,1,"nominal","2.0NRT",295.79,5.66,"D"
"21",61.49886,151.22969,332.63,0.63,0.54,"2022-08-08",100,1,"nominal","2.0NRT",301.31,12.74,"D"
"22",61.50218,151.23399,332.52,0.63,0.54,"2022-08-08",100,1,"nominal","2.0NRT",297.27,4.46,"D"
"23",61.26987,149.80992,340.65,0.35,0.57,"2022-08-08",100,1,"nominal","2.0NRT",303.33,8.26,"D"
"24",61.26137,149.78564,347.75,0.35,0.57,"2022-08-08",100,1,"nominal","2.0NRT",303.04,12.38,"D"
"25",61.25976,149.78107,352.36,0.35,0.57,"2022-08-08",100,1,"nominal","2.0NRT",315.17,12.38,"D"
"26",61.25819,149.77661,325.43,0.35,0.57,"2022-08-08",100,1,"nominal","2.0NRT",294.88,16.26,"D"
"27",61.24259,149.73216,330.75,0.35,0.57,"2022-08-08",100,1,"nominal","2.0NRT",298.03,5.74,"D"
"28",61.24905,149.73199,367,0.35,0.57,"2022-08-08",100,1,"high","2.0NRT",299.88,14.3,"D"
"29",61.20048,149.59409,367,0.36,0.57,"2022-08-08",100,1,"high","2.0NRT",293.73,19.78,"D"
"30",61.1934,149.57404,367,0.36,0.57,"2022-08-08",100,1,"high","2.0NRT",300.12,8.15,"D"
"31",61.26949,149.7903,341.83,0.35,0.57,"2022-08-08",100,1,"nominal","2.0NRT",296.38,10.15,"D"
"32",61.26576,149.77965,337.6,0.35,0.57,"2022-08-08",100,1,"nominal","2.0NRT",294.13,12.38,"D"
"33",61.26408,149.77486,355.42,0.35,0.57,"2022-08-08",100,1,"nominal","2.0NRT",299.28,12.38,"D"
"34",61.25879,149.75977,332.09,0.35,0.57,"2022-08-08",100,1,"nominal","2.0NRT",295.16,3.27,"D"
"35",61.24685,149.72572,353.61,0.35,0.57,"2022-08-08",100,1,"nominal","2.0NRT",300.87,5.74,"D"
"36",61.19816,149.58752,343.03,0.36,0.57,"2022-08-08",100,1,"nominal","2.0NRT",305.58,29.68,"D"
"37",61.20442,149.58665,367,0.36,0.57,"2022-08-08",100,1,"high","2.0NRT",291.36,23.78,"D"
"38",61.25616,149.7337,343.56,0.35,0.57,"2022-08-08",100,1,"nominal","2.0NRT",296.91,3.81,"D"
"39",61.25366,149.72658,345.58,0.35,0.57,"2022-08-08",100,1,"nominal","2.0NRT",295.74,3.81,"D"
"40",61.20211,149.58012,343.94,0.36,0.57,"2022-08-08",100,1,"nominal","2.0NRT",305.16,33.8,"D"
"41",61.19759,149.56731,327.03,0.36,0.57,"2022-08-08",100,1,"nominal","2.0NRT",295.67,2.19,"D"
"42",61.25767,149.73351,344.39,0.35,0.57,"2022-08-08",100,1,"nominal","2.0NRT",295.41,4.22,"D"
"43",61.20297,149.58049,352.14,0.36,0.57,"2022-08-08",100,1,"nominal","2.0NRT",301.57,31.81,"D"
"44",61.19836,149.56766,327.88,0.36,0.57,"2022-08-08",100,1,"nominal","2.0NRT",295.27,12.83,"D"
"45",61.24312,149.61906,340.24,0.35,0.57,"2022-08-08",100,1,"nominal","2.0NRT",294.72,3.8,"D"
"46",61.25816,149.62442,367,0.35,0.57,"2022-08-08",100,1,"high","2.0NRT",297.53,5.93,"D"
"47",61.26033,149.61206,327.28,0.35,0.57,"2022-08-08",100,1,"nominal","2.0NRT",296.98,5.93,"D"
