"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",42.75147,26.73309,305.58,0.53,0.5,"2026-08-14",54,"N20","nominal","2.0NRT",283.87,1.29,"N"
"2",41.26265,31.42285,305.94,0.49,0.65,"2026-08-14",54,"N20","nominal","2.0NRT",289.15,2.56,"N"
"3",41.26101,31.42829,301.69,0.5,0.65,"2026-08-14",54,"N20","nominal","2.0NRT",289.31,1.01,"N"
"4",41.2594,31.43357,300.18,0.5,0.65,"2026-08-14",54,"N20","nominal","2.0NRT",288.3,1.01,"N"
"5",41.25313,31.41125,317.44,0.49,0.65,"2026-08-14",54,"N20","nominal","2.0NRT",288.03,2.1,"N"
"6",39.608,33.60925,295.35,0.71,0.75,"2026-08-14",54,"N20","nominal","2.0NRT",284.98,0.49,"N"
"7",39.51624,33.65445,313.39,0.72,0.76,"2026-08-14",54,"N20","nominal","2.0NRT",284.92,3.81,"N"
"8",39.50985,33.65083,333.15,0.72,0.76,"2026-08-14",54,"N20","nominal","2.0NRT",285.79,3.81,"N"
"9",39.51245,33.64299,301.99,0.72,0.76,"2026-08-14",54,"N20","nominal","2.0NRT",285.02,3.81,"N"
"10",39.50603,33.63949,305.35,0.72,0.76,"2026-08-14",54,"N20","nominal","2.0NRT",284.3,2.2,"N"
"11",39.50349,33.64714,306.78,0.72,0.76,"2026-08-14",54,"N20","nominal","2.0NRT",285.03,2.2,"N"
"12",40.7692,29.52787,306.45,0.41,0.61,"2026-08-14",54,"N20","nominal","2.0NRT",287.37,1.19,"N"
"13",41.02024,28.55151,301.46,0.36,0.58,"2026-08-14",54,"N20","nominal","2.0NRT",287.58,0.93,"N"
"14",41.01907,28.55576,302.11,0.36,0.58,"2026-08-14",54,"N20","nominal","2.0NRT",288.02,0.93,"N"
"15",39.50901,33.6499,338.08,0.72,0.76,"2026-08-14",54,"N20","nominal","2.0NRT",286.19,3.96,"N"
"16",39.51157,33.64205,298.37,0.72,0.76,"2026-08-14",54,"N20","nominal","2.0NRT",284.77,6.34,"N"
"17",39.50665,33.65712,295.6,0.72,0.76,"2026-08-14",54,"N20","nominal","2.0NRT",284.83,3.96,"N"
"18",39.50265,33.64619,303.08,0.72,0.76,"2026-08-14",54,"N20","nominal","2.0NRT",284.62,3.96,"N"
"19",61.14643,28.79829,297.35,0.39,0.37,"2026-08-14",50,"N20","nominal","2.0NRT",284.36,1.1,"N"
"20",59.52994,34.14989,316.51,0.53,0.42,"2026-08-14",50,"N20","nominal","2.0NRT",281.75,3.08,"N"
"21",59.91255,32.36018,295.21,0.47,0.4,"2026-08-14",50,"N20","nominal","2.0NRT",282.97,0.6,"N"
"22",60.5225,28.13275,309.63,0.39,0.36,"2026-08-14",50,"N20","nominal","2.0NRT",279.54,0.41,"N"
"23",59.38597,28.45991,323.16,0.41,0.37,"2026-08-14",50,"N20","nominal","2.0NRT",284.74,1.89,"N"
"24",59.38549,28.46035,320.81,0.41,0.37,"2026-08-14",50,"N20","nominal","2.0NRT",284.5,2.45,"N"
"25",59.06128,28.1363,298.3,0.41,0.37,"2026-08-14",50,"N20","nominal","2.0NRT",280.77,0.92,"N"
"26",55.06137,38.83392,306.22,0.35,0.57,"2026-08-14",50,"N20","nominal","2.0NRT",280.53,0.76,"N"
"27",54.55523,39.73325,296.19,0.4,0.6,"2026-08-14",50,"N20","nominal","2.0NRT",278.48,0.59,"N"
"28",54.37159,38.23279,299.93,0.36,0.57,"2026-08-14",50,"N20","nominal","2.0NRT",279.83,0.5,"N"
"29",54.08447,38.18292,296.77,0.36,0.58,"2026-08-14",50,"N20","nominal","2.0NRT",281.3,0.66,"N"
"30",54.16713,37.71292,300.41,0.35,0.56,"2026-08-14",50,"N20","nominal","2.0NRT",279.39,0.86,"N"
"31",54.15204,37.72313,295.24,0.35,0.56,"2026-08-14",50,"N20","nominal","2.0NRT",279.8,0.92,"N"
"32",52.56247,39.62363,303.44,0.47,0.64,"2026-08-14",50,"N20","nominal","2.0NRT",281.16,0.84,"N"
