"","latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight"
"1",61.783,54.65907,295.56,0.72,0.75,2022-04-13,105,1,"VIIRS","n","2.0NRT",273.65,0.92,"N"
"2",64.6574,24.42986,315.9,0.39,0.36,2022-04-13,107,1,"VIIRS","n","2.0NRT",269.19,8.4,"N"
"3",64.64674,24.42863,299.32,0.39,0.36,2022-04-13,107,1,"VIIRS","n","2.0NRT",270.89,1.02,"N"
"4",59.52804,34.1465,303.62,0.54,0.51,2022-04-13,107,1,"VIIRS","n","2.0NRT",272.19,1.39,"N"
"5",59.53172,34.14814,298.21,0.54,0.51,2022-04-13,107,1,"VIIRS","n","2.0NRT",270.78,1.22,"N"
"6",64.66393,21.28379,314.97,0.39,0.36,2022-04-13,107,1,"VIIRS","n","2.0NRT",272.67,2.03,"N"
"7",59.33583,50.73544,311.14,0.78,0.78,2022-04-13,107,1,"VIIRS","n","2.0NRT",271.48,4.05,"N"
"8",59.33076,50.74519,299.63,0.79,0.78,2022-04-13,107,1,"VIIRS","n","2.0NRT",272.76,3.71,"N"
"9",59.8686,44.49447,308.77,0.51,0.66,2022-04-13,107,1,"VIIRS","n","2.0NRT",268.99,1.62,"N"
"10",59.86661,44.49582,306.67,0.51,0.66,2022-04-13,107,1,"VIIRS","n","2.0NRT",269,1.68,"N"
"11",58.45241,46.86055,295.29,0.69,0.74,2022-04-13,107,1,"VIIRS","n","2.0NRT",271.5,2.16,"N"
"12",58.44819,46.86952,313.95,0.69,0.74,2022-04-13,107,1,"VIIRS","n","2.0NRT",272.41,2.16,"N"
"13",58.44958,46.86071,313.88,0.69,0.74,2022-04-13,107,1,"VIIRS","n","2.0NRT",271.97,3.26,"N"
"14",58.44538,46.86973,295.37,0.69,0.74,2022-04-13,107,1,"VIIRS","n","2.0NRT",271.67,2.92,"N"
"15",64.65871,24.42225,326.03,0.39,0.36,2022-04-13,107,1,"VIIRS","n","2.0NRT",270.77,8.4,"N"
"16",64.64364,24.42569,326.41,0.39,0.36,2022-04-13,107,1,"VIIRS","n","2.0NRT",271.23,3.3,"N"
"17",60.1311,16.17874,330.61,0.4,0.37,2022-04-13,109,1,"VIIRS","n","2.0NRT",256.07,3.26,"N"
"18",59.38511,28.46298,308.87,0.56,0.43,2022-04-13,109,1,"VIIRS","n","2.0NRT",272.28,2.13,"N"
"19",59.38553,28.46031,306.34,0.56,0.43,2022-04-13,109,1,"VIIRS","n","2.0NRT",271.62,2.19,"N"
"20",60.30101,25.52424,302.5,0.45,0.39,2022-04-13,109,1,"VIIRS","n","2.0NRT",272.05,1.51,"N"
"21",57.70917,18.80373,307.26,0.39,0.36,2022-04-13,109,1,"VIIRS","n","2.0NRT",272.76,1.27,"N"
"22",52.55345,39.57914,300.9,0.77,0.77,2022-04-13,109,1,"VIIRS","n","2.0NRT",278.5,8.12,"N"
"23",52.55724,39.57006,353.37,0.77,0.77,2022-04-13,109,1,"VIIRS","n","2.0NRT",279.84,8.12,"N"
"24",52.53946,39.63353,322.26,0.77,0.77,2022-04-13,109,1,"VIIRS","n","2.0NRT",279.17,4.93,"N"
"25",52.55474,39.57043,298.01,0.77,0.77,2022-04-13,109,1,"VIIRS","n","2.0NRT",278.5,7.98,"N"
"26",52.53672,39.63367,312.08,0.77,0.77,2022-04-13,109,1,"VIIRS","n","2.0NRT",278.73,4.07,"N"
"27",52.54469,39.61485,296.51,0.77,0.77,2022-04-13,109,1,"VIIRS","n","2.0NRT",278.78,3.99,"N"
"28",52.56059,39.57722,367,0.77,0.77,2022-04-13,109,1,"VIIRS","h","2.0NRT",280.83,7.98,"N"
"29",52.56056,39.6186,307.19,0.77,0.77,2022-04-13,109,1,"VIIRS","n","2.0NRT",279.6,4.7,"N"
"30",58.68243,17.1342,343.61,0.39,0.36,2022-04-13,109,1,"VIIRS","n","2.0NRT",254.64,6.86,"N"
