"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",54.61146,160.29852,367,0.51,0.49,"2026-09-13",111,"N20","high","2.0NRT",290.4,36.68,"D"
"2",66.42438,58.0463,318.33,0.52,0.67,"2026-09-13",124,"N20","nominal","2.0NRT",278.11,1.71,"N"
"3",66.43079,56.60619,321.23,0.49,0.65,"2026-09-13",124,"N20","nominal","2.0NRT",277.75,4.24,"N"
"4",66.43458,56.60767,303.43,0.49,0.65,"2026-09-13",124,"N20","nominal","2.0NRT",276.4,3.01,"N"
"5",66.43095,56.61407,305.25,0.49,0.65,"2026-09-13",124,"N20","nominal","2.0NRT",279.36,3.01,"N"
"6",65.0284,56.72164,295.71,0.59,0.7,"2026-09-13",124,"N20","nominal","2.0NRT",274.86,0.7,"N"
"7",65.04656,56.67249,335.01,0.59,0.7,"2026-09-13",124,"N20","nominal","2.0NRT",275.55,3.6,"N"
"8",59.52992,34.14074,306.07,0.34,0.56,"2026-09-13",128,"N20","nominal","2.0NRT",277.94,1.28,"N"
"9",59.52826,34.14566,311.23,0.34,0.56,"2026-09-13",128,"N20","nominal","2.0NRT",281.22,1.28,"N"
"10",54.24716,38.86659,295.31,0.79,0.78,"2026-09-13",128,"N20","nominal","2.0NRT",276.45,1.27,"N"
"11",54.21539,38.9171,299.26,0.8,0.78,"2026-09-13",128,"N20","nominal","2.0NRT",277.39,2.19,"N"
"12",54.21831,38.92152,296.72,0.8,0.78,"2026-09-13",128,"N20","nominal","2.0NRT",277.13,2.12,"N"
"13",54.16756,37.71056,298.18,0.73,0.76,"2026-09-13",128,"N20","nominal","2.0NRT",276.64,1.66,"N"
"14",55.48774,28.60491,297.21,0.32,0.55,"2026-09-13",128,"N20","nominal","2.0NRT",270.32,2.49,"N"
"15",55.48466,28.5962,323.8,0.32,0.55,"2026-09-13",128,"N20","nominal","2.0NRT",271.56,2.49,"N"
"16",55.48328,28.6007,349.94,0.32,0.55,"2026-09-13",128,"N20","nominal","2.0NRT",271.38,2.49,"N"
"17",69.26777,57.28551,331.49,0.34,0.56,"2026-09-13",124,"N20","nominal","2.0NRT",280.77,3.58,"N"
"18",69.2652,57.29043,327.83,0.34,0.56,"2026-09-13",124,"N20","nominal","2.0NRT",280.89,3.21,"N"
"19",69.26799,57.29592,345.57,0.34,0.56,"2026-09-13",124,"N20","nominal","2.0NRT",280.95,1.89,"N"
"20",69.26506,57.28375,305.2,0.34,0.56,"2026-09-13",124,"N20","nominal","2.0NRT",280.52,1.89,"N"
"21",68.61682,57.96769,321.43,0.38,0.59,"2026-09-13",124,"N20","nominal","2.0NRT",281.15,1.77,"N"
"22",68.6002,57.98003,305.56,0.38,0.59,"2026-09-13",124,"N20","nominal","2.0NRT",279.52,0.6,"N"
"23",68.64578,57.68958,311.78,0.38,0.58,"2026-09-13",124,"N20","nominal","2.0NRT",277.88,1.62,"N"
"24",68.64295,57.69484,300.32,0.38,0.59,"2026-09-13",124,"N20","nominal","2.0NRT",278.22,1.5,"N"
"25",53.30287,143.20264,327.59,0.44,0.38,"2026-09-13",251,"N20","nominal","2.0NRT",291.18,2.82,"D"
"26",57.58803,139.30125,334.27,0.46,0.39,"2026-09-13",253,"N20","nominal","2.0NRT",296.94,8.47,"D"
"27",58.19135,138.22403,325.47,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",287.34,2.85,"D"
"28",58.19959,138.24364,336.13,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",285.45,6.23,"D"
"29",58.19801,138.23631,343.44,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",293.51,6.23,"D"
"30",58.19643,138.22905,327.62,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",291.55,4.3,"D"
"31",58.19481,138.22156,340.11,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",292.28,4.3,"D"
"32",58.20456,138.2482,327.55,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",285.61,3.88,"D"
"33",58.20296,138.2408,337.95,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",293.19,6.23,"D"
"34",58.19825,138.21904,328.51,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",290.76,4.3,"D"
"35",58.20636,138.23807,329.04,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",292.26,7.98,"D"
"36",58.2051,138.21382,327.08,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",287.43,5.73,"D"
"37",58.2332,138.27013,333.12,0.47,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",286.7,7.01,"D"
"38",58.23158,138.26268,342.94,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",288.93,7.01,"D"
"39",58.22998,138.25525,339.84,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",289,7.6,"D"
"40",58.21368,138.17966,339.79,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",292.65,7.87,"D"
"41",58.23656,138.26732,346.18,0.47,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",288.65,9.76,"D"
"42",58.23497,138.2599,347.6,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",292.18,9.76,"D"
"43",58.21543,138.16933,334.41,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",290.83,5.98,"D"
"44",58.24918,138.19745,328.83,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",286.39,3.89,"D"
"45",58.25259,138.19478,330.1,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",282.22,3.89,"D"
"46",58.27946,138.18996,349.01,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",290.88,6.34,"D"
"47",58.27786,138.18254,341.66,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",281.38,6.34,"D"
"48",58.28444,138.19449,344.3,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",285.7,11.12,"D"
"49",58.28281,138.187,338.05,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",283.09,6.34,"D"
"50",58.29624,138.19373,327.53,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",285.74,18.99,"D"
"51",58.29965,138.19109,340.68,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",296.25,18.99,"D"
"52",58.298,138.18347,350.98,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",309.2,18.99,"D"
"53",58.30305,138.18842,326.34,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",286.9,5.9,"D"
"54",58.30141,138.18082,343.21,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",291.96,5.9,"D"
"55",58.30647,138.18579,342.08,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",290.1,5.9,"D"
"56",58.31155,138.19086,345.46,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",289.32,8.87,"D"
"57",58.32003,138.19322,347.16,0.47,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",298.82,9.32,"D"
"58",58.31837,138.18558,341.34,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",296.02,9.32,"D"
"59",58.32345,138.19063,341.46,0.47,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",293.88,9.32,"D"
"60",58.32182,138.18303,338.95,0.48,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",284.97,9.32,"D"
"61",58.32689,138.18813,337.89,0.47,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",296.54,8.24,"D"
"62",58.43921,137.58615,330.27,0.49,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",285.78,4.49,"D"
"63",58.45494,137.58412,344.54,0.49,0.4,"2026-09-13",253,"N20","nominal","2.0NRT",288.9,8.86,"D"
