"","latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight"
"1",65.56345,22.22637,300.78,0.5,0.41,2022-05-06,35,1,"VIIRS","n","2.0NRT",271.02,1.26,"N"
"2",65.56448,22.21567,303.97,0.5,0.41,2022-05-06,35,1,"VIIRS","n","2.0NRT",271.29,1.26,"N"
"3",52.00484,44.82172,303.47,0.66,0.73,2022-05-06,37,1,"VIIRS","n","2.0NRT",265.31,1.31,"N"
"4",56.38353,30.25994,302.64,0.45,0.39,2022-05-06,37,1,"VIIRS","n","2.0NRT",270.94,0.99,"N"
"5",54.21302,38.92579,303.96,0.33,0.55,2022-05-06,37,1,"VIIRS","n","2.0NRT",276.83,1.14,"N"
"6",56.28251,30.95788,299.76,0.47,0.4,2022-05-06,37,1,"VIIRS","n","2.0NRT",272.25,1.63,"N"
"7",54.22038,39.52091,298.62,0.35,0.57,2022-05-06,37,1,"VIIRS","n","2.0NRT",266.73,0.52,"N"
"8",54.22137,39.523,299.21,0.35,0.57,2022-05-06,37,1,"VIIRS","n","2.0NRT",266.45,0.58,"N"
"9",55.61169,34.66026,299.76,0.42,0.45,2022-05-06,37,1,"VIIRS","n","2.0NRT",268.96,0.64,"N"
"10",54.76453,38.32946,301.24,0.61,0.53,2022-05-06,37,1,"VIIRS","n","2.0NRT",269.57,1.46,"N"
"11",60.21804,32.12173,302.7,0.43,0.38,2022-05-06,37,1,"VIIRS","n","2.0NRT",274.07,0.83,"N"
"12",55.58393,51.95179,312.9,0.79,0.78,2022-05-06,37,1,"VIIRS","n","2.0NRT",270.14,1.77,"N"
"13",55.60156,51.9035,303.19,0.79,0.78,2022-05-06,37,1,"VIIRS","n","2.0NRT",269.25,1.45,"N"
"14",55.58928,51.95042,315.07,0.79,0.78,2022-05-06,37,1,"VIIRS","n","2.0NRT",270.51,2.6,"N"
"15",59.05188,15.57639,296.82,0.42,0.45,2022-05-06,37,1,"VIIRS","n","2.0NRT",276.77,0.91,"N"
"16",59.05156,15.5823,296.96,0.42,0.45,2022-05-06,37,1,"VIIRS","n","2.0NRT",277.02,0.54,"N"
"17",59.41979,8.96261,302.24,0.36,0.58,2022-05-06,37,1,"VIIRS","n","2.0NRT",274.44,1.5,"N"
"18",57.20809,34.34903,326.3,0.56,0.43,2022-05-06,37,1,"VIIRS","n","2.0NRT",272.76,5.74,"N"
"19",57.20813,34.34679,342.81,0.56,0.43,2022-05-06,37,1,"VIIRS","n","2.0NRT",271.75,8.25,"N"
"20",53.79877,45.49723,299.83,0.59,0.7,2022-05-06,37,1,"VIIRS","n","2.0NRT",265.7,0.94,"N"
