"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",63.91896,77.64456,355.75,0.69,0.74,"2026-06-08",1,"N20","nominal","2.0NRT",284,9.84,"D"
"2",26.25335,32.97017,308.56,0.35,0.56,"2026-06-08",11,"N20","nominal","2.0NRT",294.73,1.16,"N"
"3",22.79078,28.13167,309.35,0.41,0.45,"2026-06-08",13,"N20","nominal","2.0NRT",293.5,1.62,"N"
"4",20.59628,30.29461,326.03,0.62,0.54,"2026-06-08",13,"N20","nominal","2.0NRT",295.47,6.02,"N"
"5",14.89222,26.00296,302.47,0.42,0.45,"2026-06-08",16,"N20","nominal","2.0NRT",291.71,0.72,"N"
"6",14.88813,26.00214,302.15,0.42,0.45,"2026-06-08",16,"N20","nominal","2.0NRT",291.77,0.72,"N"
"7",14.88744,26.00589,308.04,0.42,0.45,"2026-06-08",16,"N20","nominal","2.0NRT",292.45,1.51,"N"
"8",14.88606,26.01341,303.49,0.42,0.45,"2026-06-08",16,"N20","nominal","2.0NRT",293.13,0.89,"N"
"9",14.88196,26.0126,306.45,0.42,0.45,"2026-06-08",16,"N20","nominal","2.0NRT",293.54,1.11,"N"
"10",14.88125,26.01643,311.62,0.42,0.45,"2026-06-08",16,"N20","nominal","2.0NRT",294.01,1.11,"N"
"11",14.88055,26.02027,319.29,0.42,0.45,"2026-06-08",16,"N20","nominal","2.0NRT",294.57,1.8,"N"
"12",14.87573,26.02335,311.24,0.42,0.45,"2026-06-08",16,"N20","nominal","2.0NRT",294.27,1.8,"N"
"13",12.70685,28.9046,302.08,0.35,0.57,"2026-06-08",16,"N20","nominal","2.0NRT",287.66,0.41,"N"
"14",12.44694,26.58889,307.45,0.5,0.49,"2026-06-08",16,"N20","nominal","2.0NRT",292.89,1.51,"N"
"15",12.44391,26.59054,305.75,0.5,0.49,"2026-06-08",16,"N20","nominal","2.0NRT",292.92,1.2,"N"
"16",12.13668,26.87997,303,0.53,0.5,"2026-06-08",16,"N20","nominal","2.0NRT",291.34,0.88,"N"
"17",11.34674,26.98753,304.59,0.55,0.51,"2026-06-08",16,"N20","nominal","2.0NRT",292.34,0.99,"N"
"18",10.33418,31.10315,304.28,0.55,0.68,"2026-06-08",16,"N20","nominal","2.0NRT",286.1,1.54,"N"
"19",46.77521,48.14098,303.77,0.58,0.7,"2026-06-08",5,"N20","nominal","2.0NRT",283.47,1.09,"N"
"20",46.77182,48.12982,295.91,0.58,0.7,"2026-06-08",5,"N20","nominal","2.0NRT",283.3,1.41,"N"
"21",49.70171,37.64511,299.23,0.53,0.42,"2026-06-08",5,"N20","nominal","2.0NRT",284.31,0.99,"N"
"22",49.67924,37.61755,297.39,0.52,0.42,"2026-06-08",5,"N20","nominal","2.0NRT",282.87,0.72,"N"
"23",49.65524,37.65191,299.72,0.53,0.42,"2026-06-08",5,"N20","nominal","2.0NRT",284.22,0.9,"N"
"24",49.65654,37.65318,297.94,0.53,0.42,"2026-06-08",5,"N20","nominal","2.0NRT",283.61,0.82,"N"
"25",49.27097,37.53085,318.03,0.53,0.42,"2026-06-08",5,"N20","nominal","2.0NRT",285.13,2.24,"N"
"26",49.2611,37.55679,301.89,0.53,0.42,"2026-06-08",5,"N20","nominal","2.0NRT",282.8,0.85,"N"
"27",48.82504,39.28219,299.59,0.42,0.45,"2026-06-08",5,"N20","nominal","2.0NRT",281.78,0.65,"N"
"28",48.82751,39.28405,300.23,0.42,0.45,"2026-06-08",5,"N20","nominal","2.0NRT",282.38,1.55,"N"
"29",49.01712,37.93443,301.62,0.56,0.43,"2026-06-08",5,"N20","nominal","2.0NRT",282.83,1.11,"N"
"30",48.97484,38.0101,298.94,0.56,0.43,"2026-06-08",5,"N20","nominal","2.0NRT",284.75,0.79,"N"
"31",48.97105,38.00821,295.14,0.56,0.43,"2026-06-08",5,"N20","nominal","2.0NRT",283.24,0.4,"N"
"32",49.0111,37.79352,298.71,0.55,0.43,"2026-06-08",5,"N20","nominal","2.0NRT",282.93,0.81,"N"
"33",48.61564,38.36448,298.42,0.39,0.44,"2026-06-08",5,"N20","nominal","2.0NRT",285.14,0.64,"N"
"34",48.46577,38.76239,310.21,0.41,0.45,"2026-06-08",5,"N20","nominal","2.0NRT",289,1.36,"N"
"35",48.46312,38.75493,304.06,0.41,0.45,"2026-06-08",5,"N20","nominal","2.0NRT",289.48,1.99,"N"
"36",48.58402,37.60876,306.21,0.55,0.43,"2026-06-08",5,"N20","nominal","2.0NRT",285.63,1.12,"N"
"37",48.58026,37.6069,301.47,0.55,0.43,"2026-06-08",5,"N20","nominal","2.0NRT",285.45,1.12,"N"
"38",48.55117,37.67991,303.48,0.56,0.43,"2026-06-08",5,"N20","nominal","2.0NRT",286.43,0.89,"N"
"39",48.45395,37.08852,298.96,0.53,0.42,"2026-06-08",5,"N20","nominal","2.0NRT",286.66,0.65,"N"
"40",48.40905,37.0976,298.3,0.53,0.42,"2026-06-08",5,"N20","nominal","2.0NRT",286.37,1.01,"N"
"41",48.40754,37.10449,318.35,0.53,0.42,"2026-06-08",5,"N20","nominal","2.0NRT",287.23,2.56,"N"
"42",48.11706,37.93677,299.87,0.39,0.44,"2026-06-08",5,"N20","nominal","2.0NRT",286.16,0.99,"N"
"43",44.91655,48.96083,325.21,0.73,0.76,"2026-06-08",5,"N20","nominal","2.0NRT",284.52,4.67,"N"
"44",48.09911,37.92158,299.51,0.39,0.44,"2026-06-08",5,"N20","nominal","2.0NRT",288.41,0.73,"N"
"45",48.09796,37.92659,302.89,0.39,0.44,"2026-06-08",5,"N20","nominal","2.0NRT",287.46,0.73,"N"
"46",45.00171,48.48079,367,0.69,0.74,"2026-06-08",5,"N20","high","2.0NRT",285.58,8.99,"N"
"47",44.9989,48.4887,327.85,0.69,0.74,"2026-06-08",5,"N20","nominal","2.0NRT",285.79,13.32,"N"
"48",48.0607,37.95807,301.01,0.39,0.44,"2026-06-08",5,"N20","nominal","2.0NRT",289.29,0.49,"N"
"49",45.00453,48.47287,305.19,0.69,0.74,"2026-06-08",5,"N20","nominal","2.0NRT",284.6,8.99,"N"
"50",48.05684,37.95617,301.6,0.39,0.44,"2026-06-08",5,"N20","nominal","2.0NRT",287.91,0.49,"N"
"51",47.83128,38.47497,298.21,0.42,0.45,"2026-06-08",5,"N20","nominal","2.0NRT",286.5,1.4,"N"
