"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",69.15572,112.70818,331.61,0.6,0.71,"2025-08-22",28,"N20","nominal","2.0NRT",284.02,8.48,"D"
"2",67.04279,166.62357,328.76,0.44,0.38,"2025-08-22",24,"N20","nominal","2.0NRT",284.57,3.64,"D"
"3",41.26518,31.42277,308.89,0.41,0.61,"2025-08-22",41,"N20","nominal","2.0NRT",293.52,1.02,"N"
"4",41.26386,31.42736,304.08,0.41,0.61,"2025-08-22",41,"N20","nominal","2.0NRT",293.34,1.02,"N"
"5",41.25861,31.42475,306.34,0.41,0.61,"2025-08-22",41,"N20","nominal","2.0NRT",290.77,2.12,"N"
"6",41.256,31.41294,319.86,0.41,0.61,"2025-08-22",41,"N20","nominal","2.0NRT",291.35,1.92,"N"
"7",41.26477,31.42547,306.87,0.41,0.61,"2025-08-22",41,"N20","nominal","2.0NRT",293.84,1.11,"N"
"8",41.26349,31.43004,302.61,0.41,0.61,"2025-08-22",41,"N20","nominal","2.0NRT",292.19,1.11,"N"
"9",41.25824,31.42742,315.86,0.41,0.61,"2025-08-22",41,"N20","nominal","2.0NRT",291.55,1.11,"N"
"10",41.25687,31.41098,306.95,0.41,0.61,"2025-08-22",41,"N20","nominal","2.0NRT",290.09,1.09,"N"
"11",41.25558,31.41558,315.07,0.41,0.61,"2025-08-22",41,"N20","nominal","2.0NRT",291.09,1.09,"N"
"12",40.75986,30.64693,299.83,0.39,0.59,"2025-08-22",41,"N20","nominal","2.0NRT",288.93,0.6,"N"
"13",41.2287,28.6059,301.44,0.6,0.53,"2025-08-22",41,"N20","nominal","2.0NRT",288.28,1.02,"N"
"14",40.75753,29.76111,316.53,0.35,0.57,"2025-08-22",41,"N20","nominal","2.0NRT",293.43,1.67,"N"
"15",40.7841,29.59981,304.34,0.34,0.56,"2025-08-22",41,"N20","nominal","2.0NRT",292.4,1,"N"
"16",41.02203,28.55244,308.58,0.6,0.53,"2025-08-22",41,"N20","nominal","2.0NRT",291.12,1.29,"N"
"17",40.98184,28.68733,312.43,0.61,0.54,"2025-08-22",41,"N20","nominal","2.0NRT",290.84,1.22,"N"
"18",41.0228,28.55412,309.06,0.6,0.53,"2025-08-22",41,"N20","nominal","2.0NRT",291.78,1.85,"N"
"19",40.98336,28.68959,310.91,0.61,0.54,"2025-08-22",41,"N20","nominal","2.0NRT",290.96,1.61,"N"
"20",39.74691,30.19592,296.85,0.39,0.6,"2025-08-22",41,"N20","nominal","2.0NRT",286.24,0.89,"N"
"21",39.48816,30.03921,296.58,0.39,0.6,"2025-08-22",41,"N20","nominal","2.0NRT",284.19,0.63,"N"
"22",39.48521,30.04159,305.86,0.39,0.6,"2025-08-22",41,"N20","nominal","2.0NRT",287.26,1.27,"N"
"23",40.01767,27.00643,300.03,0.53,0.5,"2025-08-22",41,"N20","nominal","2.0NRT",289.22,1.22,"N"
"24",39.86414,26.2428,307.62,0.49,0.49,"2025-08-22",41,"N20","nominal","2.0NRT",293.66,1.09,"N"
"25",38.65932,30.61533,302.52,0.44,0.63,"2025-08-22",41,"N20","nominal","2.0NRT",286.48,1.22,"N"
"26",38.66175,30.61914,297.91,0.44,0.63,"2025-08-22",41,"N20","nominal","2.0NRT",284.92,0.7,"N"
"27",38.65652,30.61589,299.5,0.44,0.63,"2025-08-22",41,"N20","nominal","2.0NRT",286.12,0.7,"N"
"28",39.10284,27.51773,304.41,0.6,0.53,"2025-08-22",41,"N20","nominal","2.0NRT",290.39,2.07,"N"
"29",38.75295,26.93738,316.62,0.57,0.52,"2025-08-22",41,"N20","nominal","2.0NRT",292.95,2.4,"N"
"30",38.74528,26.94807,306.69,0.57,0.52,"2025-08-22",41,"N20","nominal","2.0NRT",293.04,1.37,"N"
"31",38.74072,26.94624,312.84,0.57,0.52,"2025-08-22",41,"N20","nominal","2.0NRT",295.09,3.89,"N"
"32",38.42878,27.2157,304.85,0.6,0.53,"2025-08-22",43,"N20","nominal","2.0NRT",294.68,1.05,"N"
"33",37.25294,30.44113,302.38,0.47,0.64,"2025-08-22",43,"N20","nominal","2.0NRT",291.9,0.46,"N"
"34",31.12176,29.81089,305.69,0.64,0.72,"2025-08-22",43,"N20","nominal","2.0NRT",295.32,2.15,"N"
"35",31.123,29.81087,307.58,0.64,0.72,"2025-08-22",43,"N20","nominal","2.0NRT",295.15,2.25,"N"
"36",30.86296,27.60017,312.14,0.48,0.65,"2025-08-22",43,"N20","nominal","2.0NRT",293.08,1.42,"N"
