"","latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight"
"1",19.4099,-155.28308,367,0.54,0.68,2022-02-25,22,1,"VIIRS","h","2.0NRT",323.29,21.16,"D"
"2",19.40116,-155.28542,367,0.54,0.68,2022-02-25,22,1,"VIIRS","h","2.0NRT",319.03,15.02,"D"
"3",19.40161,-155.28012,341.3,0.54,0.68,2022-02-25,22,1,"VIIRS","n","2.0NRT",307.1,15.02,"D"
"4",19.40069,-155.29097,348.65,0.54,0.68,2022-02-25,22,1,"VIIRS","n","2.0NRT",317.21,23.85,"D"
"5",19.40366,-155.28232,367,0.54,0.68,2022-02-25,22,1,"VIIRS","h","2.0NRT",326.02,21.77,"D"
"6",19.40316,-155.28769,367,0.54,0.68,2022-02-25,22,1,"VIIRS","h","2.0NRT",327.22,21.77,"D"
"7",19.40742,-155.28609,355.01,0.54,0.68,2022-02-25,22,1,"VIIRS","n","2.0NRT",324.4,15.02,"D"
"8",19.40788,-155.28065,367,0.54,0.68,2022-02-25,22,1,"VIIRS","h","2.0NRT",316.37,15.02,"D"
"9",68.41373,83.6273,320.15,0.61,0.71,2022-02-25,43,1,"VIIRS","n","2.0NRT",257.86,4.23,"N"
"10",70.91878,74.76383,348.44,0.35,0.57,2022-02-25,43,1,"VIIRS","n","2.0NRT",252.03,3.53,"N"
"11",70.88743,74.57363,335.15,0.35,0.57,2022-02-25,43,1,"VIIRS","n","2.0NRT",252.21,2.52,"N"
"12",68.61661,57.97266,336.5,0.57,0.52,2022-02-25,45,1,"VIIRS","n","2.0NRT",261.74,11.51,"N"
"13",68.61761,57.96973,350.19,0.57,0.52,2022-02-25,45,1,"VIIRS","n","2.0NRT",261.51,9.16,"N"
"14",64.64458,24.42549,298.57,0.4,0.37,2022-02-25,47,1,"VIIRS","n","2.0NRT",269.66,0.68,"N"
"15",64.66479,21.28428,327.88,0.44,0.39,2022-02-25,47,1,"VIIRS","n","2.0NRT",269.17,3.29,"N"
"16",65.76373,24.18376,330.01,0.41,0.37,2022-02-25,47,1,"VIIRS","n","2.0NRT",266.56,3.81,"N"
"17",65.56493,22.22525,342.94,0.44,0.38,2022-02-25,47,1,"VIIRS","n","2.0NRT",259.2,27.03,"N"
"18",55.5437,37.91031,299.75,0.35,0.57,2022-02-25,49,1,"VIIRS","n","2.0NRT",265.27,0.56,"N"
"19",58.36125,12.37954,315.92,0.42,0.45,2022-02-25,49,1,"VIIRS","n","2.0NRT",271.35,1.27,"N"
"20",52.55668,39.57201,322.93,0.52,0.67,2022-02-25,49,1,"VIIRS","n","2.0NRT",271.96,4.12,"N"
"21",58.35709,12.37836,307.37,0.42,0.45,2022-02-25,49,1,"VIIRS","n","2.0NRT",270.89,1.45,"N"
"22",52.55744,39.57354,314.05,0.52,0.67,2022-02-25,49,1,"VIIRS","n","2.0NRT",271.56,2.34,"N"
"23",52.54291,39.61354,299.12,0.52,0.67,2022-02-25,49,1,"VIIRS","n","2.0NRT",267.32,0.9,"N"
"24",52.53806,39.62685,316.55,0.52,0.67,2022-02-25,49,1,"VIIRS","n","2.0NRT",268.9,2.2,"N"
"25",52.56139,39.62217,295.04,0.52,0.67,2022-02-25,49,1,"VIIRS","n","2.0NRT",268.95,1.11,"N"
