"","latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight"
"50",54.87723,22.81574,307.02,0.4,0.37,2022-03-14,33,1,"VIIRS","n","2.0NRT",264.15,1.04,"N"
"51",54.82455,22.55075,313.89,0.41,0.37,2022-03-14,33,1,"VIIRS","n","2.0NRT",265.77,1.58,"N"
"52",54.95535,21.48098,295.14,0.43,0.38,2022-03-14,33,1,"VIIRS","n","2.0NRT",267.18,0.46,"N"
"53",54.94041,21.57213,309.87,0.43,0.38,2022-03-14,33,1,"VIIRS","n","2.0NRT",266.18,0.91,"N"
"54",54.97405,22.48532,324.23,0.41,0.37,2022-03-14,33,1,"VIIRS","n","2.0NRT",265.59,2.17,"N"
"55",40.44237,27.13947,297.51,0.44,0.46,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.93,0.87,"N"
"56",40.75816,29.76084,297.94,0.58,0.52,2022-03-14,35,1,"VIIRS","n","2.0NRT",273.04,1.61,"N"
"57",41.44493,21.93627,325.5,0.4,0.37,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.59,5.84,"N"
"58",41.44409,21.94097,323.98,0.4,0.37,2022-03-14,35,1,"VIIRS","n","2.0NRT",279.07,5.84,"N"
"59",41.43993,21.94467,301.44,0.4,0.37,2022-03-14,35,1,"VIIRS","n","2.0NRT",273.42,1.17,"N"
"60",41.96613,19.55013,326.48,0.38,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",271.92,9.28,"N"
"61",40.74731,29.76344,305.07,0.58,0.52,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.22,2.48,"N"
"62",41.96542,19.55472,300.64,0.38,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.71,9.64,"N"
"63",41.96285,19.54923,326.38,0.38,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",271.88,9.28,"N"
"64",41.96215,19.55382,300.03,0.38,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",273.65,9.64,"N"
"65",40.75762,29.75968,298.62,0.58,0.52,2022-03-14,35,1,"VIIRS","n","2.0NRT",272.16,1.48,"N"
"66",42.01488,21.46748,310.96,0.39,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",270.54,1.48,"N"
"67",40.76957,29.52925,297.11,0.56,0.52,2022-03-14,35,1,"VIIRS","n","2.0NRT",273.86,2.15,"N"
"68",42.01567,21.46281,303.04,0.39,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.05,1.22,"N"
"69",44.08002,22.10341,308.51,0.39,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.95,1.08,"N"
"70",44.10466,18.04967,314.31,0.41,0.37,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.11,1.37,"N"
"71",43.40954,17.26805,297.45,0.43,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",267.03,0.68,"N"
"72",44.01283,19.88932,299.32,0.39,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.16,0.92,"N"
"73",43.6688,17.7192,307.48,0.42,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",271.18,1.9,"N"
"74",44.21605,17.89646,311.48,0.42,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",269.06,0.92,"N"
"75",41.17531,32.63255,302.64,0.39,0.59,2022-03-14,35,1,"VIIRS","n","2.0NRT",270.01,1.37,"N"
"76",54.44315,21.22464,297.02,0.43,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",266.41,0.94,"N"
"77",54.51956,20.53277,303.94,0.45,0.39,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.98,0.84,"N"
"78",54.47895,20.75214,306.07,0.44,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",267.04,1.14,"N"
"79",54.35122,21.6712,302.76,0.42,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.63,0.68,"N"
"80",54.34863,21.66356,297.21,0.42,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.51,0.6,"N"
"81",54.36449,21.48136,302.55,0.42,0.38,2022-03-14,35,1,"VIIRS","n","2.0NRT",267.9,0.95,"N"
"82",54.3831,20.61413,299.63,0.44,0.39,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.54,0.89,"N"
"83",54.3823,20.62091,302.36,0.44,0.39,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.86,0.79,"N"
"84",54.52308,20.53399,297.38,0.45,0.39,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.87,0.84,"N"
"85",53.26233,24.44992,301.75,0.38,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",270.75,0.79,"N"
"86",54.3839,20.60735,302.02,0.44,0.39,2022-03-14,35,1,"VIIRS","n","2.0NRT",268.43,0.89,"N"
"87",50.05574,36.3584,337.72,0.63,0.54,2022-03-14,35,1,"VIIRS","n","2.0NRT",260.97,7.96,"N"
"88",52.15229,10.40295,309.93,0.33,0.56,2022-03-14,35,1,"VIIRS","n","2.0NRT",273.6,2.12,"N"
"89",49.24484,24.20964,311.89,0.39,0.36,2022-03-14,35,1,"VIIRS","n","2.0NRT",267.46,1.28,"N"
"90",48.51224,10.85668,301,0.6,0.53,2022-03-14,35,1,"VIIRS","n","2.0NRT",263.36,1,"N"
"91",48.26334,14.32775,299.18,0.41,0.45,2022-03-14,35,1,"VIIRS","n","2.0NRT",273.17,1.09,"N"
"92",46.92056,24.40417,301.26,0.41,0.37,2022-03-14,35,1,"VIIRS","n","2.0NRT",267.61,1.04,"N"
"93",50.04037,18.48633,326.56,0.46,0.39,2022-03-14,35,1,"VIIRS","n","2.0NRT",271.96,2.99,"N"
"94",48.2091,20.36155,302.42,0.4,0.37,2022-03-14,35,1,"VIIRS","n","2.0NRT",269.65,0.96,"N"
"95",48.27891,14.34217,315.28,0.41,0.45,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.43,3.8,"N"
"96",48.27526,14.33578,319.91,0.41,0.45,2022-03-14,35,1,"VIIRS","n","2.0NRT",275.52,3.91,"N"
"97",44.77528,33.86028,297.71,0.35,0.57,2022-03-14,35,1,"VIIRS","n","2.0NRT",265.93,0.82,"N"
"98",48.27477,14.34137,336.43,0.41,0.45,2022-03-14,35,1,"VIIRS","n","2.0NRT",276.71,3.91,"N"
"99",48.27575,14.33018,315.33,0.41,0.45,2022-03-14,35,1,"VIIRS","n","2.0NRT",277.38,1.66,"N"
"100",48.27625,14.32457,302.69,0.41,0.45,2022-03-14,35,1,"VIIRS","n","2.0NRT",277.33,1.66,"N"
