"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",66.20122,70.98756,330.78,0.75,0.77,"2026-02-12",111,"N20","nominal","2.0NRT",236.41,4.71,"N"
"2",66.42313,58.042,321.07,0.49,0.65,"2026-02-12",113,"N20","nominal","2.0NRT",241.61,2.06,"N"
"3",65.04404,56.66276,340.73,0.55,0.68,"2026-02-12",113,"N20","nominal","2.0NRT",244.05,4.42,"N"
"4",65.04353,56.66982,335.51,0.55,0.68,"2026-02-12",113,"N20","nominal","2.0NRT",246.76,5.37,"N"
"5",71.18134,71.9928,343.47,0.36,0.57,"2026-02-12",113,"N20","nominal","2.0NRT",236.85,3.78,"N"
"6",71.18225,71.99403,330.81,0.36,0.57,"2026-02-12",113,"N20","nominal","2.0NRT",235.29,4.39,"N"
"7",71.18091,71.99407,337.25,0.45,0.63,"2026-02-12",249,"N20","nominal","2.0NRT",242.56,3.47,"N"
"8",71.18152,71.99003,330.41,0.45,0.63,"2026-02-12",249,"N20","nominal","2.0NRT",241.21,3.09,"N"
"9",68.61877,57.9723,332.06,0.64,0.72,"2026-02-12",251,"N20","nominal","2.0NRT",241.79,4.11,"N"
"10",33.25768,131.6507,330.54,0.38,0.36,"2026-02-12",416,"N20","nominal","2.0NRT",298.46,3.21,"D"
"11",33.26097,131.64998,332,0.38,0.36,"2026-02-12",416,"N20","nominal","2.0NRT",299.52,3.21,"D"
"12",33.25972,131.64182,334.08,0.38,0.36,"2026-02-12",416,"N20","nominal","2.0NRT",295.13,4.48,"D"
"13",33.26691,131.64449,333.16,0.38,0.36,"2026-02-12",416,"N20","nominal","2.0NRT",297.09,4.5,"D"
"14",30.44724,117.23943,326.44,0.68,0.74,"2026-02-12",416,"N20","nominal","2.0NRT",291.6,4.93,"D"
"15",31.3961,120.74572,336.12,0.4,0.6,"2026-02-12",416,"N20","nominal","2.0NRT",289.5,2.71,"D"
"16",31.40143,120.7439,348.32,0.4,0.6,"2026-02-12",416,"N20","nominal","2.0NRT",285.95,3.18,"D"
"17",31.39737,120.74703,339.94,0.4,0.6,"2026-02-12",416,"N20","nominal","2.0NRT",286.21,4.13,"D"
"18",31.39633,120.74295,330.27,0.4,0.6,"2026-02-12",416,"N20","nominal","2.0NRT",292.95,4.13,"D"
"19",30.45063,117.23838,327.42,0.67,0.74,"2026-02-12",416,"N20","nominal","2.0NRT",290.81,3.94,"D"
"20",31.77099,121.445,342.79,0.36,0.57,"2026-02-12",416,"N20","nominal","2.0NRT",289.2,4.05,"D"
"21",31.77011,121.44132,338.49,0.36,0.57,"2026-02-12",416,"N20","nominal","2.0NRT",288.7,4.28,"D"
"22",33.79889,130.99168,334.19,0.39,0.36,"2026-02-12",416,"N20","nominal","2.0NRT",297.57,2.36,"D"
"23",31.13585,118.17607,337.14,0.57,0.69,"2026-02-12",416,"N20","nominal","2.0NRT",292.79,5.53,"D"
"24",34.16776,131.21854,327.14,0.38,0.36,"2026-02-12",416,"N20","nominal","2.0NRT",291.2,2.25,"D"
"25",35.35347,139.8732,331.61,0.55,0.51,"2026-02-12",416,"N20","nominal","2.0NRT",289.99,5.66,"D"
"26",31.96212,119.37846,337.27,0.47,0.64,"2026-02-12",416,"N20","nominal","2.0NRT",290.16,3.51,"D"
"27",31.93664,118.23647,338.73,0.54,0.68,"2026-02-12",416,"N20","nominal","2.0NRT",286.14,4.14,"D"
"28",32.62552,118.80385,330.73,0.48,0.65,"2026-02-12",416,"N20","nominal","2.0NRT",289.26,3.75,"D"
"29",31.86155,115.74165,326.58,0.75,0.77,"2026-02-12",416,"N20","nominal","2.0NRT",288.57,2.81,"D"
"30",32.31017,117.07204,367,0.62,0.71,"2026-02-12",416,"N20","high","2.0NRT",291.06,18.59,"D"
"31",31.92189,115.64043,332.08,0.76,0.77,"2026-02-12",416,"N20","nominal","2.0NRT",290.41,4.84,"D"
"32",32.30993,117.07082,367,0.62,0.71,"2026-02-12",416,"N20","high","2.0NRT",291.4,15.22,"D"
"33",31.92039,115.64122,332.84,0.76,0.77,"2026-02-12",416,"N20","nominal","2.0NRT",290.03,4.42,"D"
"34",34.92434,127.73889,326.26,0.45,0.39,"2026-02-12",418,"N20","nominal","2.0NRT",293.89,2.63,"D"
"35",32.11657,115.64735,335.72,0.75,0.77,"2026-02-12",418,"N20","nominal","2.0NRT",289.68,8.33,"D"
"36",32.11548,115.64749,339.87,0.75,0.77,"2026-02-12",418,"N20","nominal","2.0NRT",290.28,7.4,"D"
"37",33.51561,120.22331,329.48,0.38,0.59,"2026-02-12",418,"N20","nominal","2.0NRT",288.54,2.2,"D"
"38",35.44256,127.77348,329.46,0.44,0.38,"2026-02-12",418,"N20","nominal","2.0NRT",289.06,2.41,"D"
"39",32.54399,115.41105,326.47,0.75,0.77,"2026-02-12",418,"N20","nominal","2.0NRT",286.32,2.75,"D"
"40",35.99876,129.40097,326.69,0.39,0.37,"2026-02-12",418,"N20","nominal","2.0NRT",294.26,1.63,"D"
"41",35.99733,129.39235,331.95,0.39,0.37,"2026-02-12",418,"N20","nominal","2.0NRT",291.54,1.55,"D"
"42",36.02927,129.39783,331.79,0.39,0.37,"2026-02-12",418,"N20","nominal","2.0NRT",293.48,2.76,"D"
"43",36.5528,129.13162,325.39,0.4,0.37,"2026-02-12",418,"N20","nominal","2.0NRT",285.79,1.19,"D"
"44",36.44042,128.27927,327.79,0.41,0.37,"2026-02-12",418,"N20","nominal","2.0NRT",284.82,2.23,"D"
"45",37.48335,129.05762,337.66,0.39,0.36,"2026-02-12",418,"N20","nominal","2.0NRT",293.09,4.04,"D"
"46",35.93227,119.05737,327.28,0.39,0.59,"2026-02-12",418,"N20","nominal","2.0NRT",290.66,3.82,"D"
"47",36.73087,119.72906,326.98,0.34,0.56,"2026-02-12",418,"N20","nominal","2.0NRT",291.89,1.14,"D"
"48",38.04412,125.19807,328.22,0.51,0.41,"2026-02-12",418,"N20","nominal","2.0NRT",283.39,1.76,"D"
"49",36.51184,118.10502,326.94,0.42,0.61,"2026-02-12",418,"N20","nominal","2.0NRT",286.95,2.64,"D"
"50",37.47076,120.32841,327.87,0.6,0.53,"2026-02-12",418,"N20","nominal","2.0NRT",286.48,3.84,"D"
"51",39.03023,127.48616,325.94,0.41,0.37,"2026-02-12",418,"N20","nominal","2.0NRT",289.52,1.76,"D"
"52",36.7996,117.05076,367,0.47,0.64,"2026-02-12",418,"N20","high","2.0NRT",290.19,11.04,"D"
"53",37.27335,118.47858,325.09,0.38,0.59,"2026-02-12",418,"N20","nominal","2.0NRT",291.03,1.56,"D"
"54",36.91018,116.68209,328.95,0.49,0.65,"2026-02-12",418,"N20","nominal","2.0NRT",287.75,1.92,"D"
"55",39.44156,127.20688,346.66,0.41,0.37,"2026-02-12",418,"N20","nominal","2.0NRT",290.08,6.95,"D"
