"","latitude","longitude","brightness","scan","track","acq_date","acq_time","satellite","instrument","confidence","version","bright_t31","frp","daynight"
"1",65.5645,22.21789,344.52,0.4,0.44,2022-04-26,24,1,"VIIRS","n","2.0NRT",274.96,5.81,"N"
"2",65.56386,22.22651,333,0.4,0.44,2022-04-26,24,1,"VIIRS","n","2.0NRT",275.32,5.18,"N"
"3",64.66425,21.28249,346.78,0.41,0.45,2022-04-26,24,1,"VIIRS","n","2.0NRT",277.83,8.87,"N"
"4",58.87064,57.55344,302.01,0.64,0.72,2022-04-26,24,1,"VIIRS","n","2.0NRT",270.54,0.82,"N"
"5",66.31222,14.17629,298.7,0.34,0.56,2022-04-26,24,1,"VIIRS","n","2.0NRT",269.32,0.22,"N"
"6",52.5481,39.63608,327.18,0.61,0.53,2022-04-26,26,1,"VIIRS","n","2.0NRT",278.1,4.22,"N"
"7",52.55967,39.61497,329.6,0.61,0.53,2022-04-26,26,1,"VIIRS","n","2.0NRT",282.23,3.44,"N"
"8",49.99712,45.58326,304.52,0.63,0.72,2022-04-26,26,1,"VIIRS","n","2.0NRT",274.86,1.34,"N"
"9",52.52996,39.64191,312.05,0.61,0.53,2022-04-26,26,1,"VIIRS","n","2.0NRT",274.51,4.17,"N"
"10",52.55126,39.56846,295.92,0.61,0.53,2022-04-26,26,1,"VIIRS","n","2.0NRT",279.4,21.42,"N"
"11",52.53915,39.62914,316.84,0.61,0.53,2022-04-26,26,1,"VIIRS","n","2.0NRT",277.42,2.08,"N"
"12",52.54152,39.62095,298.52,0.61,0.53,2022-04-26,26,1,"VIIRS","n","2.0NRT",278.2,2.08,"N"
"13",52.54388,39.6128,296.42,0.61,0.53,2022-04-26,26,1,"VIIRS","n","2.0NRT",277.31,1.46,"N"
"14",52.5557,39.57198,345.76,0.61,0.53,2022-04-26,26,1,"VIIRS","n","2.0NRT",282.17,21.42,"N"
"15",52.546,39.6244,301.13,0.61,0.53,2022-04-26,26,1,"VIIRS","n","2.0NRT",280.84,4.22,"N"
"16",52.55548,39.59163,298.76,0.61,0.53,2022-04-26,26,1,"VIIRS","n","2.0NRT",280.45,1.66,"N"
"17",54.21332,38.92342,298.47,0.51,0.49,2022-04-26,26,1,"VIIRS","n","2.0NRT",280.16,1.04,"N"
"18",54.2151,38.92472,302.99,0.51,0.49,2022-04-26,26,1,"VIIRS","n","2.0NRT",281.27,2.03,"N"
"19",58.36312,12.37785,303.52,0.35,0.57,2022-04-26,26,1,"VIIRS","n","2.0NRT",275.25,0.72,"N"
"20",58.36185,12.37873,315.53,0.35,0.57,2022-04-26,26,1,"VIIRS","n","2.0NRT",275.72,1.28,"N"
"21",52.05428,47.4373,295.12,0.62,0.71,2022-04-26,26,1,"VIIRS","n","2.0NRT",278.34,2.28,"N"
"22",54.16676,37.71568,300.06,0.46,0.47,2022-04-26,26,1,"VIIRS","n","2.0NRT",278.96,1.16,"N"
"23",54.14973,37.72604,299.45,0.46,0.47,2022-04-26,26,1,"VIIRS","n","2.0NRT",279.85,1.42,"N"
"24",53.98875,38.22674,298.54,0.49,0.48,2022-04-26,26,1,"VIIRS","n","2.0NRT",276.66,1,"N"
"25",52.66631,39.63609,295.57,0.6,0.53,2022-04-26,26,1,"VIIRS","n","2.0NRT",280,1.51,"N"
"26",50.7475,45.45264,299.17,0.59,0.7,2022-04-26,26,1,"VIIRS","n","2.0NRT",277.16,1.52,"N"
"27",52.56177,39.62663,297.15,0.61,0.53,2022-04-26,26,1,"VIIRS","n","2.0NRT",279.57,3.44,"N"
"28",54.17075,37.71873,309.2,0.46,0.47,2022-04-26,26,1,"VIIRS","n","2.0NRT",279.43,1.16,"N"
