"","latitude","longitude","bright_ti4","scan","track","acq_date","acq_time","satellite","confidence","version","bright_ti5","frp","daynight"
"1",51.84854,49.90367,295.04,0.46,0.63,"2025-01-12",0,"N20","nominal","2.0NRT",264.66,0.47,"N"
"2",54.16816,37.71732,314.5,0.44,0.38,"2025-01-12",0,"N20","nominal","2.0NRT",267.08,2.24,"N"
"3",55.48622,28.59682,306.19,0.45,0.39,"2025-01-12",0,"N20","nominal","2.0NRT",262.57,1.14,"N"
"4",31.40269,31.59652,298.69,0.45,0.47,"2025-01-12",5,"N20","nominal","2.0NRT",282.17,0.73,"N"
"5",51.09797,35.27045,296.63,0.43,0.38,"2025-01-12",0,"N20","nominal","2.0NRT",269.38,0.7,"N"
"6",51.89099,29.34151,317.38,0.4,0.37,"2025-01-12",0,"N20","nominal","2.0NRT",270.75,1.27,"N"
"7",51.88806,29.33317,303.89,0.4,0.37,"2025-01-12",0,"N20","nominal","2.0NRT",269.34,1.27,"N"
"8",50.61096,36.55495,298.52,0.47,0.4,"2025-01-12",0,"N20","nominal","2.0NRT",272.73,1.03,"N"
"9",46.77443,48.12792,339.62,0.58,0.7,"2025-01-12",0,"N20","nominal","2.0NRT",269.76,3.96,"N"
"10",31.21529,31.87011,307.39,0.47,0.48,"2025-01-12",5,"N20","nominal","2.0NRT",281.33,1.16,"N"
"11",46.7768,48.12101,317.62,0.58,0.7,"2025-01-12",0,"N20","nominal","2.0NRT",269.15,3.96,"N"
"12",30.72474,33.77496,306.05,0.62,0.54,"2025-01-12",5,"N20","nominal","2.0NRT",282.3,1.87,"N"
"13",30.70253,33.84835,319.64,0.63,0.54,"2025-01-12",5,"N20","nominal","2.0NRT",284.3,5.68,"N"
"14",46.77205,48.13487,296.65,0.58,0.7,"2025-01-12",0,"N20","nominal","2.0NRT",268.09,2.67,"N"
"15",31.35225,30.31656,316.76,0.39,0.44,"2025-01-12",5,"N20","nominal","2.0NRT",284.35,0.88,"N"
"16",31.12318,29.81376,319.67,0.55,0.43,"2025-01-12",5,"N20","nominal","2.0NRT",286.29,2.74,"N"
"17",31.11663,29.80606,298.35,0.55,0.43,"2025-01-12",5,"N20","nominal","2.0NRT",286.21,0.83,"N"
"18",10.18437,29.81366,297.79,0.45,0.63,"2025-01-12",11,"N20","nominal","2.0NRT",287.65,0.58,"N"
"19",10.51398,27.84856,319.83,0.33,0.55,"2025-01-12",11,"N20","nominal","2.0NRT",291.05,1.59,"N"
"20",50.23114,33.35166,319.98,0.4,0.37,"2025-01-12",0,"N20","nominal","2.0NRT",268.63,0.75,"N"
"21",31.09262,29.86523,305.7,0.55,0.43,"2025-01-12",5,"N20","nominal","2.0NRT",283.74,0.55,"N"
"22",10.67646,26.94019,301.39,0.57,0.52,"2025-01-12",11,"N20","nominal","2.0NRT",288.98,1.6,"N"
"23",50.22786,33.35023,304.96,0.4,0.37,"2025-01-12",0,"N20","nominal","2.0NRT",267.8,0.75,"N"
"24",48.53595,34.64289,326.86,0.44,0.39,"2025-01-12",2,"N20","nominal","2.0NRT",276.05,4.6,"N"
"25",10.50449,27.8437,336.78,0.33,0.55,"2025-01-12",11,"N20","nominal","2.0NRT",290.07,1.85,"N"
"26",48.47186,34.96637,296.87,0.45,0.39,"2025-01-12",2,"N20","nominal","2.0NRT",273.36,0.8,"N"
"27",10.50117,27.86148,333.79,0.33,0.55,"2025-01-12",11,"N20","nominal","2.0NRT",290.55,2.02,"N"
"28",31.02972,29.7517,319.36,0.55,0.43,"2025-01-12",5,"N20","nominal","2.0NRT",284.66,1.59,"N"
"29",48.53253,34.64133,326,0.44,0.39,"2025-01-12",2,"N20","nominal","2.0NRT",272.19,4.6,"N"
"30",30.99518,29.84359,295.02,0.55,0.43,"2025-01-12",5,"N20","nominal","2.0NRT",284.01,0.75,"N"
"31",10.67175,26.93931,319.12,0.57,0.52,"2025-01-12",11,"N20","nominal","2.0NRT",289.32,1.6,"N"
"32",10.50394,27.84666,305.74,0.33,0.55,"2025-01-12",11,"N20","nominal","2.0NRT",289.42,1.85,"N"
"33",48.53025,34.61498,302.8,0.44,0.39,"2025-01-12",2,"N20","nominal","2.0NRT",271.16,1.59,"N"
"34",10.66704,26.93843,329.54,0.57,0.52,"2025-01-12",11,"N20","nominal","2.0NRT",289.87,4.61,"N"
"35",48.51996,34.6294,322.39,0.44,0.39,"2025-01-12",2,"N20","nominal","2.0NRT",273.27,2.77,"N"
"36",10.04947,30.17084,297.88,0.48,0.65,"2025-01-12",11,"N20","nominal","2.0NRT",287.7,0.59,"N"
"37",48.47146,34.63175,295.65,0.44,0.39,"2025-01-12",2,"N20","nominal","2.0NRT",272.81,1.36,"N"
"38",10.63283,27.07087,311.21,0.58,0.52,"2025-01-12",11,"N20","nominal","2.0NRT",289.28,1.57,"N"
"39",47.87543,35.1537,298.82,0.47,0.4,"2025-01-12",2,"N20","nominal","2.0NRT",271.03,0.5,"N"
"40",10.18692,29.40112,321.44,0.43,0.62,"2025-01-12",11,"N20","nominal","2.0NRT",289.53,1.85,"N"
"41",47.86841,35.15049,302.44,0.47,0.4,"2025-01-12",2,"N20","nominal","2.0NRT",273.23,1.68,"N"
"42",30.38248,30.56397,310.88,0.41,0.45,"2025-01-12",5,"N20","nominal","2.0NRT",285.58,1.44,"N"
"43",10.18766,29.39731,300.78,0.43,0.62,"2025-01-12",11,"N20","nominal","2.0NRT",289.4,0.83,"N"
"44",47.87407,33.41488,300.51,0.42,0.38,"2025-01-12",2,"N20","nominal","2.0NRT",273.54,1.42,"N"
"45",47.86762,33.42993,317.31,0.42,0.38,"2025-01-12",2,"N20","nominal","2.0NRT",270.52,1.87,"N"
"46",30.93439,27.55588,303.48,0.44,0.38,"2025-01-12",5,"N20","nominal","2.0NRT",280.99,0.98,"N"
