"","country","system","captured","destroyed","abandoned","damaged","total","Date"
"1",NA,"120mm mortar",1,0,0,0,1,2022-02-26
"2",NA,"122mm 2S1 Gvozdika",2,0,0,0,2,2022-02-26
"3",NA,"122mm BM-21 'Grad'",2,2,0,0,4,2022-02-26
"4",NA,"152mm 2A65 Msta-B howitzer",2,2,2,1,7,2022-02-26
"5",NA,"1L22 'Parol'",0,1,0,1,2,2022-02-26
"6",NA,"2K22M1 Tunguska",0,0,1,1,2,2022-02-26
"7",NA,"5P85D (launcher for S-300PS)",0,1,0,0,1,2022-02-26
"8",NA,"9A310M1-2 TELAR (launcher and radar for Buk-M1-2)",0,0,0,1,1,2022-02-26
"9",NA,"9K33 Osa",0,2,0,0,2,2022-02-26
"10",NA,"9M113 Konkurs",1,0,0,0,1,2022-02-26
"11",NA,"9P149 Shturm-S ATGM carrier",0,1,0,0,1,2022-02-26
"12",NA,"An-26 transport aircraft",0,2,0,0,2,2022-02-26
"13",NA,"BMD-2",0,1,0,0,1,2022-02-26
"14",NA,"BMD-4",0,0,1,0,1,2022-02-26
"15",NA,"BMP-1",0,2,4,0,6,2022-02-26
"16",NA,"BMP-2",3,2,4,2,11,2022-02-26
"17",NA,"BRDM-2",0,0,7,0,7,2022-02-26
"18",NA,"BREM-K armoured recovery vehicle",1,0,0,0,1,2022-02-26
"19",NA,"BRM-1K",1,0,0,0,1,2022-02-26
"20",NA,"BTR-3",1,0,0,0,1,2022-02-26
"21",NA,"BTR-4",2,2,1,0,5,2022-02-26
"22",NA,"BTR-70",1,0,1,0,2,2022-02-26
"23",NA,"Buk-M1",0,1,0,0,1,2022-02-26
"24",NA,"GAZ Tigr-M",2,3,0,1,6,2022-02-26
"25",NA,"GAZ-66",4,2,2,3,11,2022-02-26
"26",NA,"HMMWV",0,1,0,0,1,2022-02-26
"27",NA,"IMR-2 combat engineering vehicle",0,1,0,0,1,2022-02-26
"28",NA,"Iveco LMV 'Rys'",1,0,0,0,1,2022-02-26
"29",NA,"Ka-52 'Alligator'",0,1,0,1,2,2022-02-26
"30",NA,"KamAZ",0,1,0,0,1,2022-02-26
"31",NA,"KamAZ 6x6",8,9,1,2,20,2022-02-26
"32",NA,"KamAZ-5350 with crane",0,1,0,0,1,2022-02-26
"33",NA,"KamAZ-5350 with EOV-3523 excavator",3,0,0,0,3,2022-02-26
"34",NA,"KamAZ-6350 8x8",2,2,0,2,6,2022-02-26
"35",NA,"KamAZ-63968 Typhoon",2,0,0,0,2,2022-02-26
"36",NA,"Kozak-2",0,1,0,0,1,2022-02-26
"37",NA,"KrAZ-6322",5,1,0,0,6,2022-02-26
"38",NA,"MAZ",0,3,0,1,4,2022-02-26
"39",NA,"MAZ-537",0,1,0,0,1,2022-02-26
"40",NA,"MBT LAW 'NLAW'",1,0,0,0,1,2022-02-26
"41",NA,"MT-LB",3,1,0,0,4,2022-02-26
"42",NA,"MT-LB Ambulance",0,0,1,0,1,2022-02-26
"43",NA,"MT-LB with ZU-23 AA gun",0,1,0,0,1,2022-02-26
"44",NA,"MT-LBu",1,0,1,1,3,2022-02-26
"45",NA,"P-14 'Tall King'",0,0,0,1,1,2022-02-26
"46",NA,"P-35/37 'Bar Lock'",0,1,0,0,1,2022-02-26
"47",NA,"PRV-13 'Odd Pair'",0,1,0,0,1,2022-02-26
"48",NA,"R-149MA1 unified command and staff vehicle",1,0,0,0,1,2022-02-26
"49",NA,"R-419L1 communication station",0,0,1,0,1,2022-02-26
"50",NA,"Su-25 strike aircraft",0,1,0,0,1,2022-02-26
"51",NA,"Su-27 fighter aircraft",0,2,0,0,2,2022-02-26
"52",NA,"Su-30SM",0,1,0,0,1,2022-02-26
"53",NA,"T-64BV",0,3,5,1,9,2022-02-26
"54",NA,"T-72B",0,1,1,0,2,2022-02-26
"55",NA,"T-72B Obr. 1989",1,0,0,0,1,2022-02-26
"56",NA,"T-72B3",0,1,0,1,2,2022-02-26
"57",NA,"T-80BV",1,0,0,0,1,2022-02-26
"58",NA,"T-80BVM",0,1,0,0,1,2022-02-26
"59",NA,"TMM-3 bridge layer",4,1,0,0,5,2022-02-26
"60",NA,"Tor-M2",0,1,0,0,1,2022-02-26
"61",NA,"UAZ-469",1,0,0,0,1,2022-02-26
"62",NA,"Unknown BTR",0,0,1,0,1,2022-02-26
"63",NA,"Unknown truck",1,5,1,0,7,2022-02-26
"64",NA,"Ural-375D",1,1,0,0,2,2022-02-26
"65",NA,"Ural-4320",4,5,1,2,12,2022-02-26
"66",NA,"Ural-4320 Wrecker",1,0,0,1,2,2022-02-26
"67",NA,"ZiL-131",0,3,1,0,4,2022-02-26
