"","country","system","captured","abandoned","destroyed","damaged","total","Date"
"1","Russia","120mm 2B11/2S12",2,0,0,0,2,2022-03-04
"2","Russia","120mm 2B11/2S12A",1,0,0,0,1,2022-03-04
"3","Russia","120mm 2S9 Nona",0,1,1,0,2,2022-03-04
"4","Russia","122mm 2B17 Tornado-G",0,0,1,0,1,2022-03-04
"5","Russia","122mm 2S1 Gvozdika",0,1,0,0,1,2022-03-04
"6","Russia","122mm BM-21 'Grad'",4,2,4,1,11,2022-03-04
"7","Russia","122mm D-30 howitzer 2A18",0,3,1,0,4,2022-03-04
"8","Russia","152mm 2A65 Msta-B howitzer",2,0,3,1,6,2022-03-04
"9","Russia","152mm 2S19 Msta-S",2,4,1,0,7,2022-03-04
"10","Russia","152mm 2S3 Akatsiya",1,2,1,0,4,2022-03-04
"11","Russia","1V119 artillery battalion fire direction vehicle",1,0,0,0,1,2022-03-04
"12","Russia","1V13 battery fire control center",0,1,0,0,1,2022-03-04
"13","Russia","220mm TOS-1A",1,0,0,0,1,2022-03-04
"14","Russia","2K22M1 Tunguska",0,4,2,1,7,2022-03-04
"15","Russia","2S1 with ZU-23 AA gun",1,0,0,0,1,2022-03-04
"16","Russia","9A310M1 TELAR (for Buk-M1-2)",0,0,1,1,2,2022-03-04
"17","Russia","9A310M2 TELAR (for Buk-M2)",0,0,1,0,1,2022-03-04
"18","Russia","9A39M1 TEL (for Buk-M1-2)",0,0,1,0,1,2022-03-04
"19","Russia","9A39M2 TEL (for Buk-M2)",0,0,1,0,1,2022-03-04
"20","Russia","9K33 Osa",2,1,1,0,4,2022-03-04
"21","Russia","9K333 Verba",1,0,0,0,1,2022-03-04
"22","Russia","9K35 Strela-10",1,3,0,0,4,2022-03-04
"23","Russia","9K38 Igla",1,0,0,0,1,2022-03-04
"24","Russia","9M111 Fagot",2,0,0,0,2,2022-03-04
"25","Russia","9M113 Konkurs",4,0,0,0,4,2022-03-04
"26","Russia","9M113M Konkurs-M",1,0,0,0,1,2022-03-04
"27","Russia","9M114 Kokon",1,0,0,0,1,2022-03-04
"28","Russia","9P149 Shturm-S ATGM carrier",0,1,1,0,2,2022-03-04
"29","Russia","9T452 transporter-loader (for BM-27 'Uragan' MRL)",0,0,1,0,1,2022-03-04
"30","Russia","9М131F Metis-M1",1,0,0,0,1,2022-03-04
"31","Russia","An-26 transport aircraft",0,0,1,0,1,2022-03-04
"32","Russia","Barnaul-T 9С932-1 automated system for air defence units",1,1,0,0,2,2022-03-04
"33","Russia","BAT-2 heavy engineering vehicle",0,0,1,0,1,2022-03-04
"34","Russia","BMD-2",4,5,3,2,14,2022-03-04
"35","Russia","BMD-4M",1,1,1,0,3,2022-03-04
"36","Russia","BMP-1(P)",2,0,0,0,2,2022-03-04
"37","Russia","BMP-1Khs",0,1,0,0,1,2022-03-04
"38","Russia","BMP-2",8,11,12,5,36,2022-03-04
"39","Russia","BMP-2K",0,1,0,0,1,2022-03-04
"40","Russia","BMP-3",6,2,2,0,10,2022-03-04
"41","Russia","BREM-K armoured recovery vehicle",2,0,0,0,2,2022-03-04
"42","Russia","BRM-1K",0,0,3,0,3,2022-03-04
"43","Russia","BTR-80",11,2,5,1,19,2022-03-04
"44","Russia","BTR-82A",7,5,5,2,19,2022-03-04
"45","Russia","BTR-D",1,7,4,0,12,2022-03-04
"46","Russia","BTR-MDM",1,0,0,0,1,2022-03-04
"47","Russia","E95M (likely used as unmanned bait in order for Ukraine to reveal the location of air defence systems)",1,0,0,0,1,2022-03-04
"48","Russia","Fuel train",0,0,2,0,2,2022-03-04
"49","Russia","GAZ Sobol",0,1,1,0,2,2022-03-04
"50","Russia","GAZ Tigr-M",7,1,10,1,19,2022-03-04
"51","Russia","GAZ-3308",0,2,0,0,2,2022-03-04
"52","Russia","GAZ-66",1,0,0,0,1,2022-03-04
"53","Russia","IMR-2 combat engineering vehicle",0,0,1,0,1,2022-03-04
"54","Russia","Iveco LMV 'Rys'",1,1,3,0,5,2022-03-04
"55","Russia","K-4386 Typhoon-VDV",0,0,1,0,1,2022-03-04
"56","Russia","Ka-52 'Alligator' attack helicopter",0,2,1,2,5,2022-03-04
"57","Russia","KamAZ 6x6",18,14,39,3,74,2022-03-04
"58","Russia","KamAZ Avtozaks",1,0,2,0,3,2022-03-04
"59","Russia","KamAZ with armoured cabin",0,1,1,0,2,2022-03-04
"60","Russia","KamAZ-5350 with crane",0,0,1,0,1,2022-03-04
