"","country","system","abandoned","captured","damaged","destroyed","total","Date"
"1","Russia","-BMD 2.00",7,28,2,23,60,"2022-03-28"
"2","Russia","(Unknown) vehicle",0,1,0,11,12,"2022-03-28"
"3","Russia","100mm MT-12 anti-tank gun",0,1,0,0,1,"2022-03-28"
"4","Russia","120mm 2B11/2S12",0,5,0,0,5,"2022-03-28"
"5","Russia","120mm 2B11/2S12A",0,1,0,0,1,"2022-03-28"
"6","Russia","120mm 2B16 Nona-K howitzer",2,1,0,0,3,"2022-03-28"
"7","Russia","120mm 2S23 Nona-SVK",0,9,0,0,9,"2022-03-28"
"8","Russia","120mm 2S34 Khosta",0,1,0,0,1,"2022-03-28"
"9","Russia","120mm 2S9 Nona",1,4,0,2,7,"2022-03-28"
"10","Russia","122mm 2B17 Tornado-G",0,0,0,2,2,"2022-03-28"
"11","Russia","122mm 2S1 Gvozdika",1,3,0,2,6,"2022-03-28"
"12","Russia","122mm BM-21 'Grad'",6,12,2,11,31,"2022-03-28"
"13","Russia","122mm D-30 howitzer 2A18",3,5,0,1,9,"2022-03-28"
"14","Russia","152mm 2A65 Msta-B howitzer",1,3,2,4,10,"2022-03-28"
"15","Russia","152mm 2S19 Msta-S",10,9,0,8,27,"2022-03-28"
"16","Russia","152mm 2S3 Akatsiya",6,2,2,6,16,"2022-03-28"
"17","Russia","152mm 2S33 Msta-SM2",0,3,0,0,3,"2022-03-28"
"18","Russia","1L261 (for 1L260 Zoopark-1M counter-battery radar complex)",0,1,0,0,1,"2022-03-28"
"19","Russia","1RL257 Krasukha-4 command post",0,1,0,0,1,"2022-03-28"
"20","Russia","1V119 artillery fire direction vehicle",0,5,0,1,6,"2022-03-28"
"21","Russia","1V13 battery fire control center",3,2,0,1,6,"2022-03-28"
"22","Russia","1V14 battery command and forward observer vehicle",1,1,0,0,2,"2022-03-28"
"23","Russia","220mm BM-27 'Uragan'",0,2,0,3,5,"2022-03-28"
"24","Russia","220mm TOS-1A",1,1,0,0,2,"2022-03-28"
"25","Russia","23mm ZU-23",0,3,0,0,3,"2022-03-28"
"26","Russia","2K22M1 Tunguska",5,0,1,2,8,"2022-03-28"
"27","Russia","2S1 with ZU-23 AA gun",0,1,0,0,1,"2022-03-28"
"28","Russia","9A310M1 TELAR (for Buk-M1-2)",0,0,1,2,3,"2022-03-28"
"29","Russia","9A310M2 TELAR (for Buk-M2)",0,0,0,5,5,"2022-03-28"
"30","Russia","9A330 Tor TLAR (for 9K330 Tor-M)",2,2,1,0,5,"2022-03-28"
"31","Russia","9A331 TLAR (for 9K331 Tor-M1)",1,1,0,4,6,"2022-03-28"
"32","Russia","9A331M TLAR (for 9K332 Tor-M2)",0,2,0,1,3,"2022-03-28"
"33","Russia","9A39M1 TEL (for Buk-M1-2)",0,0,0,2,2,"2022-03-28"
"34","Russia","9A39M2 TEL (for Buk-M2)",0,0,0,2,2,"2022-03-28"
"35","Russia","9K33 Osa",2,2,1,2,7,"2022-03-28"
"36","Russia","9K333 Verba",0,1,0,0,1,"2022-03-28"
"37","Russia","9K35 Strela-10",3,3,0,0,6,"2022-03-28"
"38","Russia","9K38 Igla",0,4,0,0,4,"2022-03-28"
"39","Russia","9M111 Fagot",0,3,0,0,3,"2022-03-28"
"40","Russia","9M113 Konkurs",0,14,0,0,14,"2022-03-28"
"41","Russia","9M113M Konkurs-M",0,1,0,0,1,"2022-03-28"
"42","Russia","9M114 Kokon",2,0,0,0,2,"2022-03-28"
"43","Russia","9P149 Shturm-S ATGM carrier",2,2,0,3,7,"2022-03-28"
"44","Russia","9S18М1(-3) (for Buk-M3)",0,0,0,1,1,"2022-03-28"
"45","Russia","9S470M1 (or variant thereof) command post (for Buk-M1/2)",0,0,0,1,1,"2022-03-28"
"46","Russia","9T217 transloader (for 9K33 Osa)",0,1,0,1,2,"2022-03-28"
"47","Russia","9T452 transporter-loader (for BM-27 'Uragan' MRL)",0,0,0,2,2,"2022-03-28"
"48","Russia","9М131 Metis-M",0,2,0,0,2,"2022-03-28"
"49","Russia","9М131F Metis-M1",0,1,0,0,1,"2022-03-28"
"50","Russia","9М133 Kornet",0,1,0,0,1,"2022-03-28"
"51","Russia","An-26 transport aircraft",0,0,0,1,1,"2022-03-28"
"52","Russia","Armoured SUV",0,1,1,0,2,"2022-03-28"
"53","Russia","Barnaul-T 9С932-1 automated system for air defence units",1,3,0,0,4,"2022-03-28"
"54","Russia","BAT-2 heavy engineering vehicle",0,0,0,1,1,"2022-03-28"
"55","Russia","BMD-1KSh-A command vehicle",0,0,0,1,1,"2022-03-28"
"56","Russia","BMD-4M",1,9,0,5,15,"2022-03-28"
"57","Russia","BMK-130M/BMK-150 towing and motor boat",1,0,0,0,1,"2022-03-28"
"58","Russia","BMP-1(P)",0,11,1,11,23,"2022-03-28"
"59","Russia","BMP-1Khs",1,0,0,1,2,"2022-03-28"
"60","Russia","BMP-2",13,27,7,63,110,"2022-03-28"
"61","Russia","BMP-2K",1,0,0,0,1,"2022-03-28"
"62","Russia","BMP-3",1,16,1,24,42,"2022-03-28"
"63","Russia","BRDM-2",0,0,0,1,1,"2022-03-28"
"64","Russia","BREM-1 armoured recovery vehicle",0,2,0,0,2,"2022-03-28"
"65","Russia","BREM-Ch ''BREM-4'' armoured recovery vehicle",0,1,0,1,2,"2022-03-28"
"66","Russia","BREM-K armoured recovery vehicle",0,2,0,0,2,"2022-03-28"
"67","Russia","BRM-1K",0,0,0,6,6,"2022-03-28"
"68","Russia","BTR-80",6,26,1,19,52,"2022-03-28"
"69","Russia","BTR-82A",8,16,3,31,58,"2022-03-28"
"70","Russia","BTR-D",11,14,0,6,31,"2022-03-28"
"71","Russia","BTR-D APC with UR-67 mine clearing charge",0,1,0,0,1,"2022-03-28"
"72","Russia","BTR-MDM 'Rakushka'",0,5,1,0,6,"2022-03-28"
"73","Russia","BTR-ZD 'Skrezhet'",0,1,0,0,1,"2022-03-28"
"74","Russia","Civilian KamAZ 6x6 converted for military use",0,0,0,1,1,"2022-03-28"
"75","Russia","E95M target drone (likely used as unmanned bait in order for Ukraine to reveal the location of air defence systems)",0,1,0,0,1,"2022-03-28"
"76","Russia","Eleron-3 reconnaissance UAV",0,3,0,0,3,"2022-03-28"
"77","Russia","Fara ground surveillance radar",0,1,0,0,1,"2022-03-28"
"78","Russia","Forpost reconnaissance UAV",0,0,0,1,1,"2022-03-28"
"79","Russia","Fuel train",0,0,0,2,2,"2022-03-28"
"80","Russia","GAZ Sobol",1,0,0,1,2,"2022-03-28"
"81","Russia","GAZ Tigr",1,0,0,0,1,"2022-03-28"
"82","Russia","GAZ Tigr-M",3,18,4,24,49,"2022-03-28"
"83","Russia","GAZ-3308",3,0,0,0,3,"2022-03-28"
"84","Russia","GAZ-66",1,4,0,3,8,"2022-03-28"
"85","Russia","GMZ-3 minelayer",0,1,0,0,1,"2022-03-28"
"86","Russia","IMR-2 combat engineering vehicle",2,3,0,1,6,"2022-03-28"
"87","Russia","Iveco LMV 'Rys'",1,2,2,13,18,"2022-03-28"
"88","Russia","K-53949 'Linza'",0,1,0,0,1,"2022-03-28"
"89","Russia","K-53949 Typhoon-K",1,2,0,1,4,"2022-03-28"
"90","Russia","Ka-52 'Alligator' attack helicopter",2,0,3,4,9,"2022-03-28"
"91","Russia","KamAZ 4x4",1,2,0,2,5,"2022-03-28"
"92","Russia","KamAZ 6x6",20,74,14,97,205,"2022-03-28"
"93","Russia","KamAZ 8x8",0,0,0,2,2,"2022-03-28"
"94","Russia","KamAZ Avtozaks",1,1,0,3,5,"2022-03-28"
"95","Russia","KamAZ with armoured cabin",2,2,0,1,5,"2022-03-28"
"96","Russia","KamAZ-5350 with crane",0,0,0,1,1,"2022-03-28"
"97","Russia","KamAZ-5350 with EOV-3523 excavator",0,3,0,2,5,"2022-03-28"
"98","Russia","KamAZ-5350 with KS-45719-7M crane",0,0,0,2,2,"2022-03-28"
"99","Russia","KamAZ-6350 8x8 artillery tractor",0,0,2,3,5,"2022-03-28"
"100","Russia","KamAZ-63968 'Typhoon'",2,2,0,4,8,"2022-03-28"
"101","Russia","KrAZ-22B",0,1,0,1,2,"2022-03-28"
"102","Russia","Mi-24V/P attack helicopter",0,0,0,3,3,"2022-03-28"
"103","Russia","Mi-28 attack helicopter",0,0,0,1,1,"2022-03-28"
"104","Russia","Mi-35M attack helicopter",0,0,0,4,4,"2022-03-28"
"105","Russia","Mi-8 transport helicopter",1,0,0,5,6,"2022-03-28"
"106","Russia","MP-2IM signals vehicle",1,0,0,0,1,"2022-03-28"
"107","Russia","MT-LB",19,58,0,30,107,"2022-03-28"
"108","Russia","MT-LB Ambulance",0,0,0,1,1,"2022-03-28"
"109","Russia","MT-LB with ZU-23 AA gun",0,0,0,3,3,"2022-03-28"
"110","Russia","MT-LBM 6MB",1,0,0,0,1,"2022-03-28"
"111","Russia","MT-LBu",4,7,0,6,17,"2022-03-28"
"112","Russia","MTU-72 bridge layer",0,1,0,0,1,"2022-03-28"
"113","Russia","Orlan-10 reconnaissance UAV",0,3,0,5,8,"2022-03-28"
"114","Russia","P-260-U signal vehicle (for Redut-2US signal and communications system)",0,2,0,2,4,"2022-03-28"
"115","Russia","Pantsir-S1",1,3,0,3,7,"2022-03-28"
"116","Russia","PMP floating bridge",0,0,0,2,2,"2022-03-28"
"117","Russia","Pontoon bridge",0,1,0,2,3,"2022-03-28"
"118","Russia","Project 03160 Raptor class patrol boat",0,0,1,0,1,"2022-03-28"
"119","Russia","Project 1171 Tapir class landing ship 'Saratov (BDK-65)'",0,0,0,1,1,"2022-03-28"
"120","Russia","Project 775 Ropucha class landing ship",0,0,1,0,1,"2022-03-28"
"121","Russia","PTS-3 tracked amphibious transport",2,0,0,0,2,"2022-03-28"
"122","Russia","R-149MA1 command and staff vehicle",3,6,1,4,14,"2022-03-28"
"123","Russia","R-149MA3 command and staff vehicle",0,5,2,5,12,"2022-03-28"
